,count
f1,431
accuracy,285
exactmatch,229
bleu,147
rouge,111
bertscore,94
perplexity,87
recall,61
precision,61
aucroc,60
pass1,51
cohenskappa,48
latency,45
top1accuracy,44
cider,42
brierscore,41
mrr,37
spearman,37
attacksuccess,34
successrate,33
taskaccuracy,32
rocauc,31
tasksuccess,28
throughput,26
pearson,26
mae,25
humanrating,25
codebleu,25
ndcg10,23
attacksuccessrate,23
rmse,22
winrate,20
auc,16
calibrationerror,16
ndcg,15
refusalrate,15
map,14
kldivergence,14
humanevaluation,14
recall10,14
kendalltau,14
auprc,14
tokenthroughput,14
cpuutilization,13
tokenspersecond,13
toxicityscore,13
demographicparity,13
expectedcalibrationerror,12
passk,12
hallucinationrate,12
answeraccuracy,11
testpassrate,11
iou,11
ece,10
p50latency,10
r2,10
hits10,10
executionaccuracy,9
hitrate10,9
meanabsoluteerror,9
tokencost,9
meteor,9
collisionrate,8
energypertoken,8
tasksuccessrate,8
gqaaccuracy,8
recall20,8
stepaccuracy,8
krippendorffalpha,8
recall1,8
peakmemory,8
r2score,8
sampleefficiency,8
meansquarederror,8
comet,8
responselatency,7
equalizedodds,7
wer,7
adjustedrand,7
mape,7
editdistance,7
branchcoverage,7
mmlu,7
humanpreference,7
mutationscore,7
jailbreakrate,6
selfbleu,6
clipscore,6
tokenefficiency,6
memoryusage,6
recall5,6
chamferdistance,6
meanlatency,6
endtoendlatency,6
helpfulnessscore,6
rewardscore,6
chrf,6
quadratickappa,6
bugdetectionrate,6
inferencelatency,6
categoryevaluationmetricsitems,5
rewardvariance,5
averagereward,5
p99latency,5
statementcoverage,5
prauc,5
silhouettescore,5
mse,5
cooperationrate,5
factcc,5
compilationrate,5
tokencount,5
tokenusage,5
responsetime,5
hitrate,5
bitspertoken,5
categoryevaluationmetricvalues,5
logloss,5
cyclomaticcomplexity,4
runtime,4
precision10,4
spl,4
sharperatio,4
usersatisfaction,4
jensenshannondivergence,4
cleanaccuracy,4
distinct2,4
linecoverage,4
toxicityrate,4
codecoverage,4
tasktime,4
modelsize,4
recallk,4
meanreciprocalrank,4
equalopportunity,4
tokenaccuracy,4
robustnessscore,4
averageprecision,4
gflops,4
namermsecategorypropertyregression,3
meaniou,3
syntaxaccuracy,3
acceptancerate,3
tokenentropy,3
mos,3
compilesuccess,3
cosinesimilarity,3
learninggain,3
spice,3
energyefficiency,3
selfconsistency,3
nasatlx,3
episodereward,3
averagelatency,3
coherencescore,3
generalizationgap,3
socialwelfare,3
requestthroughput,3
namemrr10categoryranking,3
gpt4judge,3
computationtime,3
fleisskappa,3
communicationoverhead,3
empathyscore,3
