,count,percent
f1,431,10.45
accuracy,285,6.91
exactmatch,229,5.55
bleu,147,3.56
rouge,111,2.69
bertscore,94,2.28
perplexity,87,2.11
recall,61,1.48
precision,61,1.48
aucroc,60,1.45
pass1,51,1.24
cohenskappa,48,1.16
latency,45,1.09
top1accuracy,44,1.07
cider,42,1.02
brierscore,41,0.99
mrr,37,0.9
spearman,37,0.9
attacksuccess,34,0.82
successrate,33,0.8
taskaccuracy,32,0.78
rocauc,31,0.75
tasksuccess,28,0.68
throughput,26,0.63
pearson,26,0.63
mae,25,0.61
humanrating,25,0.61
codebleu,25,0.61
ndcg10,23,0.56
attacksuccessrate,23,0.56
rmse,22,0.53
winrate,20,0.48
auc,16,0.39
calibrationerror,16,0.39
ndcg,15,0.36
refusalrate,15,0.36
map,14,0.34
kldivergence,14,0.34
humanevaluation,14,0.34
recall10,14,0.34
kendalltau,14,0.34
auprc,14,0.34
tokenthroughput,14,0.34
cpuutilization,13,0.32
tokenspersecond,13,0.32
toxicityscore,13,0.32
demographicparity,13,0.32
expectedcalibrationerror,12,0.29
passk,12,0.29
hallucinationrate,12,0.29
answeraccuracy,11,0.27
testpassrate,11,0.27
iou,11,0.27
ece,10,0.24
p50latency,10,0.24
r2,10,0.24
hits10,10,0.24
executionaccuracy,9,0.22
hitrate10,9,0.22
meanabsoluteerror,9,0.22
tokencost,9,0.22
meteor,9,0.22
collisionrate,8,0.19
energypertoken,8,0.19
tasksuccessrate,8,0.19
gqaaccuracy,8,0.19
recall20,8,0.19
stepaccuracy,8,0.19
krippendorffalpha,8,0.19
recall1,8,0.19
peakmemory,8,0.19
r2score,8,0.19
sampleefficiency,8,0.19
meansquarederror,8,0.19
comet,8,0.19
responselatency,7,0.17
equalizedodds,7,0.17
wer,7,0.17
adjustedrand,7,0.17
mape,7,0.17
editdistance,7,0.17
branchcoverage,7,0.17
mmlu,7,0.17
humanpreference,7,0.17
mutationscore,7,0.17
jailbreakrate,6,0.15
selfbleu,6,0.15
clipscore,6,0.15
tokenefficiency,6,0.15
memoryusage,6,0.15
recall5,6,0.15
chamferdistance,6,0.15
meanlatency,6,0.15
endtoendlatency,6,0.15
helpfulnessscore,6,0.15
rewardscore,6,0.15
chrf,6,0.15
quadratickappa,6,0.15
bugdetectionrate,6,0.15
inferencelatency,6,0.15
categoryevaluationmetricsitems,5,0.12
rewardvariance,5,0.12
averagereward,5,0.12
p99latency,5,0.12
statementcoverage,5,0.12
prauc,5,0.12
silhouettescore,5,0.12
mse,5,0.12
cooperationrate,5,0.12
factcc,5,0.12
compilationrate,5,0.12
tokencount,5,0.12
tokenusage,5,0.12
responsetime,5,0.12
hitrate,5,0.12
bitspertoken,5,0.12
categoryevaluationmetricvalues,5,0.12
logloss,5,0.12
cyclomaticcomplexity,4,0.1
runtime,4,0.1
precision10,4,0.1
spl,4,0.1
sharperatio,4,0.1
usersatisfaction,4,0.1
jensenshannondivergence,4,0.1
cleanaccuracy,4,0.1
distinct2,4,0.1
linecoverage,4,0.1
toxicityrate,4,0.1
codecoverage,4,0.1
tasktime,4,0.1
modelsize,4,0.1
recallk,4,0.1
meanreciprocalrank,4,0.1
equalopportunity,4,0.1
tokenaccuracy,4,0.1
robustnessscore,4,0.1
averageprecision,4,0.1
gflops,4,0.1
namermsecategorypropertyregression,3,0.07
meaniou,3,0.07
syntaxaccuracy,3,0.07
acceptancerate,3,0.07
tokenentropy,3,0.07
mos,3,0.07
compilesuccess,3,0.07
cosinesimilarity,3,0.07
learninggain,3,0.07
spice,3,0.07
energyefficiency,3,0.07
selfconsistency,3,0.07
nasatlx,3,0.07
episodereward,3,0.07
averagelatency,3,0.07
coherencescore,3,0.07
generalizationgap,3,0.07
socialwelfare,3,0.07
requestthroughput,3,0.07
namemrr10categoryranking,3,0.07
gpt4judge,3,0.07
computationtime,3,0.07
fleisskappa,3,0.07
communicationoverhead,3,0.07
empathyscore,3,0.07
optimalitygap,3,0.07
harmlessnessscore,3,0.07
negativeloglikelihood,3,0.07
ckasimilarity,3,0.07
consistencyscore,3,0.07
truthfulqascore,3,0.07
pass10,3,0.07
sequenceaccuracy,3,0.07
costpertoken,3,0.07
qafacteval,3,0.07
jensenshannon,3,0.07
errorrate,3,0.07
memoryfootprint,3,0.07
executionsuccess,3,0.07
tokenlatency,3,0.07
solutionaccuracy,3,0.07
sloviolations,3,0.07
schemaaccuracy,3,0.07
averagereturn,3,0.07
cronbachalpha,3,0.07
clickthroughrate,3,0.07
makespan,3,0.07
fid,3,0.07
mauve,3,0.07
robustaccuracy,3,0.07
temporalconsistency,3,0.07
namepass1categoryfunctionalcorrectness,2,0.05
cputime,2,0.05
safetyviolations,2,0.05
piirecall,2,0.05
querylatency,2,0.05
userrating,2,0.05
biasscore,2,0.05
toolaccuracy,2,0.05
