,percent
f1,10.45
accuracy,6.91
exactmatch,5.55
bleu,3.56
rouge,2.69
bertscore,2.28
perplexity,2.11
recall,1.48
precision,1.48
aucroc,1.45
pass1,1.24
cohenskappa,1.16
latency,1.09
top1accuracy,1.07
cider,1.02
brierscore,0.99
mrr,0.9
spearman,0.9
attacksuccess,0.82
successrate,0.8
taskaccuracy,0.78
rocauc,0.75
tasksuccess,0.68
throughput,0.63
pearson,0.63
mae,0.61
humanrating,0.61
codebleu,0.61
ndcg10,0.56
attacksuccessrate,0.56
rmse,0.53
winrate,0.48
auc,0.39
calibrationerror,0.39
ndcg,0.36
refusalrate,0.36
map,0.34
kldivergence,0.34
humanevaluation,0.34
recall10,0.34
kendalltau,0.34
auprc,0.34
tokenthroughput,0.34
cpuutilization,0.32
tokenspersecond,0.32
toxicityscore,0.32
demographicparity,0.32
expectedcalibrationerror,0.29
passk,0.29
hallucinationrate,0.29
answeraccuracy,0.27
testpassrate,0.27
iou,0.27
ece,0.24
p50latency,0.24
r2,0.24
hits10,0.24
executionaccuracy,0.22
hitrate10,0.22
meanabsoluteerror,0.22
tokencost,0.22
meteor,0.22
collisionrate,0.19
energypertoken,0.19
tasksuccessrate,0.19
gqaaccuracy,0.19
recall20,0.19
stepaccuracy,0.19
krippendorffalpha,0.19
recall1,0.19
peakmemory,0.19
r2score,0.19
sampleefficiency,0.19
meansquarederror,0.19
comet,0.19
responselatency,0.17
equalizedodds,0.17
wer,0.17
adjustedrand,0.17
mape,0.17
editdistance,0.17
branchcoverage,0.17
mmlu,0.17
humanpreference,0.17
mutationscore,0.17
jailbreakrate,0.15
selfbleu,0.15
clipscore,0.15
tokenefficiency,0.15
memoryusage,0.15
recall5,0.15
chamferdistance,0.15
meanlatency,0.15
endtoendlatency,0.15
helpfulnessscore,0.15
rewardscore,0.15
chrf,0.15
quadratickappa,0.15
bugdetectionrate,0.15
inferencelatency,0.15
categoryevaluationmetricsitems,0.12
rewardvariance,0.12
averagereward,0.12
p99latency,0.12
statementcoverage,0.12
prauc,0.12
silhouettescore,0.12
mse,0.12
cooperationrate,0.12
factcc,0.12
compilationrate,0.12
tokencount,0.12
tokenusage,0.12
responsetime,0.12
hitrate,0.12
bitspertoken,0.12
categoryevaluationmetricvalues,0.12
logloss,0.12
cyclomaticcomplexity,0.1
runtime,0.1
precision10,0.1
spl,0.1
sharperatio,0.1
usersatisfaction,0.1
jensenshannondivergence,0.1
cleanaccuracy,0.1
distinct2,0.1
linecoverage,0.1
toxicityrate,0.1
codecoverage,0.1
tasktime,0.1
modelsize,0.1
recallk,0.1
meanreciprocalrank,0.1
equalopportunity,0.1
tokenaccuracy,0.1
robustnessscore,0.1
averageprecision,0.1
gflops,0.1
namermsecategorypropertyregression,0.07
meaniou,0.07
syntaxaccuracy,0.07
acceptancerate,0.07
tokenentropy,0.07
mos,0.07
compilesuccess,0.07
cosinesimilarity,0.07
learninggain,0.07
spice,0.07
energyefficiency,0.07
selfconsistency,0.07
nasatlx,0.07
episodereward,0.07
averagelatency,0.07
coherencescore,0.07
generalizationgap,0.07
socialwelfare,0.07
requestthroughput,0.07
namemrr10categoryranking,0.07
gpt4judge,0.07
computationtime,0.07
fleisskappa,0.07
communicationoverhead,0.07
empathyscore,0.07
optimalitygap,0.07
harmlessnessscore,0.07
negativeloglikelihood,0.07
ckasimilarity,0.07
consistencyscore,0.07
truthfulqascore,0.07
pass10,0.07
sequenceaccuracy,0.07
costpertoken,0.07
qafacteval,0.07
jensenshannon,0.07
errorrate,0.07
memoryfootprint,0.07
executionsuccess,0.07
tokenlatency,0.07
solutionaccuracy,0.07
sloviolations,0.07
schemaaccuracy,0.07
averagereturn,0.07
cronbachalpha,0.07
clickthroughrate,0.07
makespan,0.07
fid,0.07
mauve,0.07
robustaccuracy,0.07
temporalconsistency,0.07
namepass1categoryfunctionalcorrectness,0.05
cputime,0.05
safetyviolations,0.05
piirecall,0.05
querylatency,0.05
userrating,0.05
biasscore,0.05
