,count
llama3,302
gpt4o,265
gpt41,262
llama3170b,241
mistral8x7b,202
gpt4,114
llama318b,109
claude35,66
llama270b,65
mistrallarge,61
codellama,55
qwen2vl,43
llava,37
llama31,31
claude35sonnet,29
gptneox,28
mt5large,25
starcoder2,24
blip2,23
codellama13b,22
xgboost,22
videollama,22
qwen2572b,20
randomforest,18
ppo,17
roberta,16
deepseekr1,16
deepseekcoder,16
llava16,16
phi3mini,16
llama2,16
graphsage,15
gpt2small,15
claude3,14
debertav3,13
qwen27b,13
gpt2medium,13
medpalm2,12
gptj6b,12
logisticregression,12
llavanext,11
xlmroberta,11
gptneox20b,11
gpt4omini,11
t5xxl,10
llama213b,10
llava15,9
gemini15,9
gpt4v,9
robertabase,9
robertalarge,9
qwen2,8
opt67b,8
sasrec,8
gptj,8
gemini15pro,7
mbert,7
qwen25,7
gpt2,7
gpt4turbo,7
gpt35,7
biogpt,7
bert4rec,7
categorymodelsitems,7
qwen2audio,6
gpt2xl,6
mistralinstruct,6
lightgcn,6
debertav3large,6
phi3,6
timesformer,6
llamaguard,6
minigpt4,6
categorymodelvalues,6
colbert,6
longformer,5
whisperlarge,5
mt5,5
lightgbm,5
resnet18,5
gemma2,5
instructblip,5
gemma7b,5
distilbert,5
claude3opus,5
clinicalbert,5
llama27bchat,5
bert,5
decisiontransformer,4
scibert,4
gpt41mini,4
codellama70b,4
wav2vec2,4
colbertv2,4
gpt35turbo,4
starcoder215b,4
yolov8,4
deepseekmoe,4
llama7b,4
llavamed,4
clip,4
mbertbase,4
dqn,4
minilm,4
diffusionlm,4
stablediffusion,4
resnet50,4
gat,4
bioclinicalbert,4
deepseekv2,4
reactagent,4
bm25,4
codebert,4
pythia12b,3
medflamingo,3
gcn,3
mistral,3
pointtransformer,3
deepqnetwork,3
videomae,3
clipvitl,3
rgcn,3
mbart50,3
bgelarge,3
fedavg,3
salmonn,3
llavaonevision,3
e5large,3
deepseekmath,3
gemma227b,3
t5xl,3
temporalfusiontransformer,3
t5base,3
llavavideo,3
namellama31categoryllm,3
namegpt4ominicategoryllm,3
deepseekv2vl,3
rt2,3
pythia28b,3
clinicalt5,3
allminilml6v2,3
clipvitb16,3
geminivision,3
graphormer,3
legalbert,3
softactorcritic,3
videochat2,3
pointnet,3
qmix,3
chinesebert,2
meditron,2
nllb200,2
llava3d,2
graphneuralnetwork,2
rotate,2
flamingo,2
efficientnetb4,2
bloom176b,2
complex,2
dkt,2
codet5,2
clipvit,2
typecategoricalvalues,2
meditron7b,2
hgt,2
mt5small,2
llama38binstruct,2
qwen253binstruct,2
distilgpt2,2
qwen253b,2
falcon7b,2
biobert,2
isolationforest,2
e5base,2
mobilebert,2
swintransformer,2
deberta,2
transe,2
flant5,2
graphwavenet,2
gurobioptimizer,2
textembedding3large,2
schnet,2
switchtransformer,2
gemini25flash,2
llavamoe,2
palm2,2
arabertv2,2
openaiclip,2
internvlchat,2
banglabert,2
pythia410m,2
gaussianprocess,2
namegpt41categoryproprietaryllm,2
xlmr,2
fedprox,2
nsgaii,2
tinyllama,2
visiontransformer,2
pysr,1
wizardmath7b,1
smolvlm2large,1
smolvlm2medium,1
smolvlm2small,1
smolvlm2tiny,1
fastdownward,1
routertransformer,1
chemberta,1
molt5,1
bertopic,1
siglip,1
internvideo2,1
marianmt,1
palme,1
sguardv1,1
dinov2base,1
gptneo,1
nhits,1
patchtst,1
fedproxlstm,1
fedavgcnn,1
hflflowllm,1
googlecloudnlp,1
azuretextanalytics,1
amazoncomprehend,1
mistralmedium,1
namelightgcncategoryrecommender,1
namesasreccategoryrecommender,1
namebert4reccategoryrecommender,1
namellama3categorytargetmodel,1
namegpt4ocategorysafetyevaluator,1
typearraydescriptionlistofmodelorarchitecturenamestobeusedintheexperimentitemstypestring,1
motiongpt,1
