,count,percent
llama3,302,9.19
gpt4o,265,8.07
gpt41,262,7.98
llama3170b,241,7.34
mistral8x7b,202,6.15
gpt4,114,3.47
llama318b,109,3.32
claude35,66,2.01
llama270b,65,1.98
mistrallarge,61,1.86
codellama,55,1.67
qwen2vl,43,1.31
llava,37,1.13
llama31,31,0.94
claude35sonnet,29,0.88
gptneox,28,0.85
mt5large,25,0.76
starcoder2,24,0.73
blip2,23,0.7
codellama13b,22,0.67
xgboost,22,0.67
videollama,22,0.67
qwen2572b,20,0.61
randomforest,18,0.55
ppo,17,0.52
roberta,16,0.49
deepseekr1,16,0.49
deepseekcoder,16,0.49
llava16,16,0.49
phi3mini,16,0.49
llama2,16,0.49
graphsage,15,0.46
gpt2small,15,0.46
claude3,14,0.43
debertav3,13,0.4
qwen27b,13,0.4
gpt2medium,13,0.4
medpalm2,12,0.37
gptj6b,12,0.37
logisticregression,12,0.37
llavanext,11,0.33
xlmroberta,11,0.33
gptneox20b,11,0.33
gpt4omini,11,0.33
t5xxl,10,0.3
llama213b,10,0.3
llava15,9,0.27
gemini15,9,0.27
gpt4v,9,0.27
robertabase,9,0.27
robertalarge,9,0.27
qwen2,8,0.24
opt67b,8,0.24
sasrec,8,0.24
gptj,8,0.24
gemini15pro,7,0.21
mbert,7,0.21
qwen25,7,0.21
gpt2,7,0.21
gpt4turbo,7,0.21
gpt35,7,0.21
biogpt,7,0.21
bert4rec,7,0.21
categorymodelsitems,7,0.21
qwen2audio,6,0.18
gpt2xl,6,0.18
mistralinstruct,6,0.18
lightgcn,6,0.18
debertav3large,6,0.18
phi3,6,0.18
timesformer,6,0.18
llamaguard,6,0.18
minigpt4,6,0.18
categorymodelvalues,6,0.18
colbert,6,0.18
longformer,5,0.15
whisperlarge,5,0.15
mt5,5,0.15
lightgbm,5,0.15
resnet18,5,0.15
gemma2,5,0.15
instructblip,5,0.15
gemma7b,5,0.15
distilbert,5,0.15
claude3opus,5,0.15
clinicalbert,5,0.15
