,percent
llama3,9.19
gpt4o,8.07
gpt41,7.98
llama3170b,7.34
mistral8x7b,6.15
gpt4,3.47
llama318b,3.32
claude35,2.01
llama270b,1.98
mistrallarge,1.86
codellama,1.67
qwen2vl,1.31
llava,1.13
llama31,0.94
claude35sonnet,0.88
gptneox,0.85
mt5large,0.76
starcoder2,0.73
blip2,0.7
codellama13b,0.67
xgboost,0.67
videollama,0.67
qwen2572b,0.61
randomforest,0.55
ppo,0.52
roberta,0.49
deepseekr1,0.49
deepseekcoder,0.49
llava16,0.49
phi3mini,0.49
llama2,0.49
graphsage,0.46
gpt2small,0.46
claude3,0.43
debertav3,0.4
qwen27b,0.4
gpt2medium,0.4
medpalm2,0.37
gptj6b,0.37
logisticregression,0.37
llavanext,0.33
xlmroberta,0.33
gptneox20b,0.33
gpt4omini,0.33
t5xxl,0.3
llama213b,0.3
llava15,0.27
gemini15,0.27
gpt4v,0.27
robertabase,0.27
robertalarge,0.27
qwen2,0.24
opt67b,0.24
sasrec,0.24
gptj,0.24
gemini15pro,0.21
mbert,0.21
qwen25,0.21
gpt2,0.21
gpt4turbo,0.21
gpt35,0.21
biogpt,0.21
bert4rec,0.21
categorymodelsitems,0.21
qwen2audio,0.18
gpt2xl,0.18
mistralinstruct,0.18
lightgcn,0.18
debertav3large,0.18
phi3,0.18
timesformer,0.18
llamaguard,0.18
minigpt4,0.18
categorymodelvalues,0.18
colbert,0.18
longformer,0.15
whisperlarge,0.15
mt5,0.15
lightgbm,0.15
resnet18,0.15
gemma2,0.15
instructblip,0.15
gemma7b,0.15
distilbert,0.15
claude3opus,0.15
clinicalbert,0.15
llama27bchat,0.15
bert,0.15
decisiontransformer,0.12
scibert,0.12
gpt41mini,0.12
codellama70b,0.12
wav2vec2,0.12
colbertv2,0.12
gpt35turbo,0.12
starcoder215b,0.12
yolov8,0.12
deepseekmoe,0.12
llama7b,0.12
llavamed,0.12
clip,0.12
mbertbase,0.12
dqn,0.12
minilm,0.12
diffusionlm,0.12
stablediffusion,0.12
resnet50,0.12
gat,0.12
bioclinicalbert,0.12
deepseekv2,0.12
reactagent,0.12
bm25,0.12
codebert,0.12
pythia12b,0.09
medflamingo,0.09
gcn,0.09
mistral,0.09
pointtransformer,0.09
deepqnetwork,0.09
videomae,0.09
clipvitl,0.09
rgcn,0.09
mbart50,0.09
bgelarge,0.09
fedavg,0.09
salmonn,0.09
llavaonevision,0.09
e5large,0.09
deepseekmath,0.09
gemma227b,0.09
t5xl,0.09
temporalfusiontransformer,0.09
t5base,0.09
llavavideo,0.09
namellama31categoryllm,0.09
namegpt4ominicategoryllm,0.09
deepseekv2vl,0.09
rt2,0.09
pythia28b,0.09
clinicalt5,0.09
allminilml6v2,0.09
clipvitb16,0.09
geminivision,0.09
graphormer,0.09
legalbert,0.09
softactorcritic,0.09
videochat2,0.09
pointnet,0.09
qmix,0.09
chinesebert,0.06
meditron,0.06
nllb200,0.06
llava3d,0.06
graphneuralnetwork,0.06
rotate,0.06
flamingo,0.06
efficientnetb4,0.06
bloom176b,0.06
complex,0.06
dkt,0.06
codet5,0.06
clipvit,0.06
typecategoricalvalues,0.06
meditron7b,0.06
hgt,0.06
mt5small,0.06
llama38binstruct,0.06
qwen253binstruct,0.06
distilgpt2,0.06
qwen253b,0.06
falcon7b,0.06
biobert,0.06
isolationforest,0.06
e5base,0.06
mobilebert,0.06
swintransformer,0.06
deberta,0.06
transe,0.06
flant5,0.06
graphwavenet,0.06
gurobioptimizer,0.06
textembedding3large,0.06
schnet,0.06
switchtransformer,0.06
gemini25flash,0.06
llavamoe,0.06
palm2,0.06
arabertv2,0.06
openaiclip,0.06
internvlchat,0.06
banglabert,0.06
pythia410m,0.06
gaussianprocess,0.06
namegpt41categoryproprietaryllm,0.06
xlmr,0.06
fedprox,0.06
nsgaii,0.06
tinyllama,0.06
visiontransformer,0.06
pysr,0.03
wizardmath7b,0.03
smolvlm2large,0.03
smolvlm2medium,0.03
smolvlm2small,0.03
smolvlm2tiny,0.03
fastdownward,0.03
routertransformer,0.03
chemberta,0.03
molt5,0.03
bertopic,0.03
siglip,0.03
internvideo2,0.03
marianmt,0.03
palme,0.03
sguardv1,0.03
dinov2base,0.03
gptneo,0.03
nhits,0.03
patchtst,0.03
fedproxlstm,0.03
fedavgcnn,0.03
hflflowllm,0.03
googlecloudnlp,0.03
azuretextanalytics,0.03
amazoncomprehend,0.03
mistralmedium,0.03
namelightgcncategoryrecommender,0.03
namesasreccategoryrecommender,0.03
namebert4reccategoryrecommender,0.03
namellama3categorytargetmodel,0.03
namegpt4ocategorysafetyevaluator,0.03
typearraydescriptionlistofmodelorarchitecturenamestobeusedintheexperimentitemstypestring,0.03
motiongpt,0.03
glm4,0.03
qwen253bssb,0.03
qwen253bgrpo,0.03
koelectrabase,0.03
airl,0.03
ll3da,0.03
pointllm,0.03
dalle3,0.03
videoencoderobjectdetectorscenemodellanguagemodel,0.03
fastspeech2,0.03
vits,0.03
lambdamart,0.03
nameclaude3opuscategoryllmjudge,0.03
namellama370bcategoryllmjudge,0.03
namegpt4ocategoryllmjudge,0.03
lenet5,0.03
fasttext,0.03
word2vec,0.03
opt13b,0.03
salmonnguard,0.03
clipvitb32,0.03
autoformer,0.03
informer,0.03
gorillallm,0.03
toolllama,0.03
bertweet,0.03
realnvp,0.03
instantngp,0.03
grud,0.03
refused,0.03
simcseroberta,0.03
pythia,0.03
bayesianppo,0.03
quantiledqn,0.03
cvardqn,0.03
mlpregressor,0.03
namebm25categorylexical,0.03
qwen2code,0.03
t53b,0.03
namellama370b,0.03
nameclaude3,0.03
namegpt4o,0.03
clinicalcamel7b,0.03
pali,0.03
kosmos2,0.03
anemone,0.03
dominant,0.03
sac,0.03
gru4rec,0.03
graphtransformer,0.03
lama,0.03
medclip,0.03
baichuan27b,0.03
sakt,0.03
qwen2vlmoe,0.03
d3pmtransformer,0.03
motr,0.03
groundingdino,0.03
gemma34b,0.03
botorchgp,0.03
claude35haiku,0.03
multiobjectiveppo,0.03
pythia14b,0.03
graphcodebert,0.03
flamingo80b,0.03
aifeynman,0.03
namecodebertcategorycode,0.03
namesentencebertcategoryembedding,0.03
namevideollamacategoryvideolanguagemodel,0.03
nameclaude35sonnetcategorymultimodalllm,0.03
namegpt4ocategorymultimodalllm,0.03
m2m100,0.03
mixtral8x22b,0.03
rbfsvm,0.03
autogpt,0.03
proteinmpnn,0.03
esmfold,0.03
alphafold2,0.03
speecht5,0.03
linearprobe,0.03
whisper,0.03
closedsourceopensource,0.03
llmmemcluster,0.03
gpt4instruct,0.03
gpt4base,0.03
cnntransformer,0.03
bartlarge,0.03
simclr,0.03
hdbscan,0.03
textembedding3small,0.03
longlora,0.03
idefics2,0.03
gpto1,0.03
linearsvm,0.03
xlmrbase,0.03
toolformer,0.03
td3bc,0.03
nameinternvideo2categoryvideobackbonemodel,0.03
openvla,0.03
cc2vec,0.03
camembert,0.03
deepjit,0.03
drsoss,0.03
physicsinformednn,0.03
fourierneuraloperator,0.03
reactagents,0.03
heterogeneousgnn,0.03
slowfastt5,0.03
autogen,0.03
graphrag,0.03
mobilenetv2,0.03
graphconvolution,0.03
node2vec,0.03
sentencebert,0.03
genre,0.03
blink,0.03
videoswin,0.03
loraadapter,0.03
robertawwm,0.03
tabllm,0.03
acegptbase,0.03
jais13b,0.03
medtronic70b,0.03
medpalm,0.03
reformer,0.03
reversibletransformer,0.03
namemistral7bcategorybasellm,0.03
namellama3categorybasellm,0.03
neumf,0.03
dit,0.03
ulip2,0.03
ppollm,0.03
categorymodelvaluetypestringcardinalityoneormoredescriptionnamesofspecificmlorllmmodelsorarchitecturessuitableforhierarchicaleventdriventaskplanning,0.03
textada002,0.03
tinyvit,0.03
pythiasuite,0.03
mobilevit,0.03
stgcn,0.03
dcrnn,0.03
lorentzembeddings,0.03
huatuogpt,0.03
bprmf,0.03
userrag,0.03
itemrag,0.03
poincareembeddings,0.03
dimenet,0.03
agentr1,0.03
geminiflash20,0.03
claudesonnet35,0.03
namegpt2categorybackbonellm,0.03
sqlcoder,0.03
t5sql,0.03
namevqvaecategoryatomtokenizer,0.03
maskrcnn,0.03
unet,0.03
seamlessm4t,0.03
dgcnn,0.03
graphcl,0.03
ptt5,0.03
bertimbau,0.03
bloom,0.03
nomadframework,0.03
qwen214b,0.03
qwenvlchat,0.03
dreamerv3,0.03
allmpnetbasev2,0.03
indicbert,0.03
xlmrlarge,0.03
pythia69b,0.03
trackformer,0.03
pythia70m,0.03
clinicalllama,0.03
pinn,0.03
fouriernet,0.03
deeponet,0.03
geneticalgorithm,0.03
phi3medium,0.03
namechembertacategorybaselineencoder,0.03
drivegpt,0.03
gptneo13b,0.03
namedeepseekcodercategoryopensourcecodellm,0.03
namecodellama34bcategoryopensourcecodellm,0.03
namellama370bcategoryopensourcellm,0.03
3dllm,0.03
transfuser,0.03
logictensornetworks,0.03
diffuseq,0.03
yolov7,0.03
faissgpu,0.03
nameallminilmcategoryembedding,0.03
namegeminiprovisiontypeclosedsourcecategorymllm,0.03
nameqwen2vltypeopensourcecategorymllm,0.03
namellava16typeopensourcecategorymllm,0.03
namegpt4otypeclosedsourcecategorymllm,0.03
cotbaselinessymbolicintegrated,0.03
neuralode,0.03
medalpaca,0.03
bloom7b,0.03
clap,0.03
internvideo,0.03
transformer,0.03
monot5,0.03
chemprop,0.03
flowmatching,0.03
encodec,0.03
valle,0.03
fingpt,0.03
mappo,0.03
namegpt4categorygeneralllm,0.03
namecodellamacategorycodellm,0.03
audiogpt,0.03
categoryllmandrlmodels,0.03
astar,0.03
rrtstar,0.03
graphattention,0.03
qwen314b,0.03
qwen37b,0.03
tinymlp,0.03
parsbert,0.03
transformerxl,0.03
mamba2,0.03
granite338b,0.03
granite338binstruct,0.03
phi2,0.03
mlpcoordinator,0.03
causalforest,0.03
lanegcn,0.03
trajectron,0.03
yolov11,0.03
internvl,0.03
localgpt2,0.03
megnet,0.03
cgcnn,0.03
ddpg,0.03
deepsvdd,0.03
e5small,0.03
bm25retriever,0.03
autokeras,0.03
dentalllava,0.03
mlpclassifier,0.03
openaitextembedding3large,0.03
llamaguard2,0.03
mixtureexperts,0.03
opensourcellminstructiontuned,0.03
opfnet,0.03
slowfast,0.03
categorymodelvaluetypestringarraydescriptionmultimodallargelanguagemodelsorvisionlanguagearchitecturesapplicabletosurgicalsceneunderstandingexamplevalues,0.03
bilstmclassifier,0.03
geobert,0.03
audiopalm,0.03
meanvariance,0.03
attentionmodel,0.03
pointernet,0.03
tohokubert,0.03
hyenadna,0.03
nucleotidetransformer,0.03
layoutgan,0.03
cllmrec,0.03
qwen2medical,0.03
namegpt2largecategorydecoderonly,0.03
characterlstm,0.03
fusiontransformer,0.03
safeppo,0.03
