,count
accuracy,379
f1,250
recall,128
precision,117
rouge,85
pearson,56
bleu,48
perplexity,48
successrate,47
latency,42
cohenkappa,37
spearman,37
exactmatch,34
throughput,29
pass1,28
speedup,24
winrate,24
bertscore,23
auc,23
runtime,23
meteor,21
aucroc,21
cosinesimilarity,20
ttft,20
rmse,19
mae,19
attacksuccessrate,18
completeness,16
memoryusage,16
specificity,16
pvalue,15
rocauc,15
tpot,14
r2,14
executiontime,13
attacksuccess,13
mse,13
clarity,13
passk,12
standarddeviation,12
inferencetime,12
cost,12
ndcg,12
tokenusage,12
fleisskappa,11
coverage,11
top3accuracy,11
relevance,10
refusalrate,10
reward,10
macrorecall,10
averagescore,10
kldivergence,10
brierscore,10
krippendorffalpha,9
asr,9
cpuutilization,9
falsepositiverate,9
falsepositive,8
cohensd,8
wilcoxontest,8
cider,8
errorrate,8
hitrate,8
tokencount,8
ece,8
branchcoverage,8
falsenegativerate,8
map,8
top10accuracy,8
kendallstau,8
sensitivity,7
memory,7
time,7
meansquarederror,7
energyconsumption,7
overall,7
tokenspersecond,7
semanticsimilarity,7
correctness,7
tokencost,6
iou,6
overallscore,6
silhouettescore,6
coherence,6
fscore,6
mrr,6
detectionrate,6
entropy,6
chrf,6
unbalancedaccuracy,6
pflops,6
oddsratio,6
macroprecision,6
faithfulness,5
confidenceinterval,5
mcc,5
cyclomaticcomplexity,5
linecoverage,5
completiontime,5
steps,5
jsdivergence,5
compilationsuccess,5
helpfulness,5
jaccardsimilarity,5
gpumemory,5
chisquare,5
executionaccuracy,5
energy,5
power,5
responselength,5
meanabsoluteerror,5
outputtokens,5
detectionaccuracy,5
hallucinationrate,5
ndcg10,5
acceptancerate,5
toxicityscore,5
safety,5
recall05,5
precision5,4
wer,4
trainingloss,4
llmjudge,4
executability,4
nasatlx,4
miou,4
objectivevalue,4
geval,4
empathy,4
trainingtime,4
rejectionrate,4
codebleu,4
totalscore,4
inferencelatency,4
medianscore,4
coverageaccuracy,4
disagreementrate,4
l1distance,4
irrelevancescore,4
icc,4
bandwidth,4
mannwhitneyu,4
readability,4
tokenconsumption,4
similarityscore,4
taskaccuracy,4
generationtime,4
em,4
fluency,4
consistency,4
failurerate,4
tokens,4
classificationaccuracy,4
totaltokens,4
crossentropy,4
recall1,4
pass5,4
fpr,4
hitratio,4
cer,4
compressionratio,4
loss,4
alignmentscore,4
autocorrelationcoefficient,4
querycount,3
endtoendlatency,3
truepositiverate,3
efficiency,3
nmi,3
aic,3
energypertoken,3
parametercount,3
stepcount,3
codecoverage,3
functionalcorrectness,3
clipscore,3
syntaxcorrectness,3
falsenegative,3
passrate,3
peakmemory,3
bandwidthutilization,3
monetarycost,3
taskcompletionrate,3
nodeaccuracy,3
unsaferate,3
gptscore,3
map50,3
averageprecision,3
hota,3
mota,3
tierate,3
acc,3
correlation,3
confusionmatrix,3
instructionfollowing,3
nrmse,3
timecost,3
kendall,3
computationtime,3
recallk,3
selfbleu,3
ari,3
mcnemartest,3
levenshteindistance,3
intraclasscorrelation,3
likertscore,3
callaccuracy,3
completionrate,3
conciseness,3
sloattainment,3
episodicreward,3
auprc,3
fnr,3
decodethroughput,3
taillatency,3
coefficientvariation,3
percentagreement,3
hellingerdistance,3
cosinedistance,3
timepertoken,3
area,3
gpt4judge,3
areaoverhead,3
averagereward,3
subansweraccuracy,3
gpt4oscore,3
pass1accuracy,3
summac,3
modelsize,3
recall10,3
mannwhitney,3
overallaccuracy,3
p1,3
mape,3
editdistance,3
apicost,3
novelty,3
ndcg5,3
memoryutilization,3
inputtokens,3
llmcalls,3
speedupratio,3
gpuusage,3
rsquared,2
kendallcorrelation,2
accuracydrop,2
clinicaltransferability,2
preference,2
confidenceunderstanding,2
cognitiveload,2
alignment,2
hr1,2
optimalitygap,2
formataccuracy,2
tasksuccessrate,2
spice,2
tasksuccess,2
l2loss,2
aupr,2
tpr,2
precision10,2
compressiontime,2
fidelity,2
taskcompletion,2
goodput,2
evaluationloss,2
errorcount,2
ap,2
decodetime,2
e2elatency,2
assa,2
deta,2
leakagerate,2
mmluaccuracy,2
tokenthroughput,2
csr,2
comprehensiveness,2
averagelatency,2
kappacoefficient,2
ir,2
drawrate,2
winloss,2
persistence,2
top5,2
top1,2
usefulness,2
elorating,2
harmscore,2
kruskalwallis,2
llmscore,2
aggregatescore,2
rollouttime,2
unknownrate,2
energyefficiency,2
matthewscorrelation,2
descriptiveness,2
responsetime,2
credibility,2
responsibility,2
treedepth,2
manhattandistance,2
comet,2
aucpr,2
modificationrate,2
prefilltime,2
consistencyrate,2
steptime,2
relativeperformance,2
sufficiency,2
prauc,2
toxicity,2
truenegative,2
truepositive,2
forgettingrate,2
executioncost,2
qwk,2
strictaccuracy,2
purity,2
ndcg3,2
hr3,2
biasscore,2
factualaccuracy,2
executionrate,2
riskratio,2
cohenh,2
preferencerate,2
avgtokensgenerated,2
cachehitrate,2
grammarscore,2
sim,2
typetokenratio,2
wordcount,2
responsequality,2
planlength,2
deserializationtime,2
cotscore,2
robustness,2
meandifference,2
ttest,2
coveragerate,2
emotional,2
treeeditdistance,2
generalizationgap,2
normalizedreward,2
operationcoverage,2
narrativelength,2
tokenbudget,2
securityscore,2
resolvedrate,2
totalcost,2
fleschreading,2
prompttokens,2
periterationtime,2
standarderror,2
correctrate,2
r100,2
r10,2
map5095,2
meanaverageprecision,2
ap50,2
regret,2
communicationquality,2
contextawareness,2
healthbenchscore,2
emr,2
agreement,2
sharpness,2
completiontokens,2
alignscore,2
aps,2
intersectionoverunion,2
pass2,2
jensenshannondivergence,2
bitsperbyte,2
normalizedaccuracy,2
coherencescore,2
linesofcode,2
quantizationtime,2
weightedaccuracy,2
progressrate,2
responserate,2
avg32,2
jsdistance,2
cpumemory,2
expectedcalibrationerror,2
relativeimprovement,2
elo,2
averagepayoff,2
cooperationrate,2
promptalignment,2
diversity,2
mmescore,2
chairi,2
waittime,2
plcc,2
srcc,2
chairs,2
mutualinformation,2
gpuhours,2
fleschreadingease,2
stability,2
validationloss,2
ihscore,2
riskscore,2
ssim,2
psnr,2
rewardscore,2
meanreciprocalrank,2
pathlength,2
exactagreement,2
p5,2
avgtime,2
semanticscore,2
anova,2
energyusage,2
variance,2
epsilon,2
cka,2
ctr,2
hausdorffdistance,2
chamferdistance,2
tps,2
top1hit,2
tbt,2
truenegativerate,2
smutilization,2
friedmantest,2
kendallw,2
logicalcoherence,2
fastp,2
likertscale,2
factscore,2
vmeasure,2
qualityscore,2
memoryoverhead,2
processingtime,2
modelconfidence,2
intervallength,2
attackaccuracy,2
syntaxerrors,2
performancegain,2
performancedrop,2
hypervolume,2
smape,2
factuality,2
chisquared,2
fid,2
runtimeefficiency,2
distincttrigrams,2
p95latency,2
acc025,2
interactionefficiency,2
behavioralscore,2
gapidentification,2
temporalstability,2
pass64,2
functionalaccuracy,2
cramersv,2
semanticaccuracy,2
coverageratio,2
utilityscore,2
matthewscoefficient,2
top1score,2
validity,2
certificationrate,2
unanswerableaccuracy,2
ccpassrate,2
mdpextractiontime,2
geoclipsimilarity,2
executableaccuracy,2
tstatistic,2
relevance1,2
vqaaccuracy,2
structuralinconsistency,2
incorrectflips,2
etasquared,2
warmrecall10,2
coldrecall10,2
bertscorer,2
speakeridentification,1
average4,1
average8,1
reasoningdepth,1
bioconservation,1
pathaccuracy,1
psp1,1
retrievaltime,1
loopcount,1
stepstosuccess,1
branchingfactor,1
agentcount,1
tokenperalert,1
filesaccessed,1
reasoningsteps,1
alerts,1
wmae,1
guidelineconcordance,1
clinicalimpact,1
decisionquality,1
outcomescore,1
userpreference,1
textrelevance,1
sentencesimilarity,1
memoryleakage,1
retrievalaccuracy,1
conversationduration,1
userretention,1
cooperationefficiency,1
collectivepayoff,1
executionefficiency,1
socialinteraction,1
spatialorientation,1
solutionquality,1
functionalpassrate,1
syntaxpassrate,1
decompositionpassrate,1
scrolldepth,1
querylength,1
coverageprobability,1
bias,1
requestthroughput,1
codelines,1
powerconsumption,1
lcs,1
kas,1
dcs,1
timeoverhead,1
repetitionrate,1
engagementrating,1
usagefrequency,1
rdkfts,1
levenshtein,1
qpm,1
asspr,1
assre,1
detpr,1
detre,1
morganfts,1
maccsfts,1
averageprecisionscore,1
faultconsistency,1
staticscore,1
fpfnr,1
conditioncoverage,1
readabilitymaintainability,1
growthrate,1
visitduration,1
clickcount,1
classrecall,1
classprecision,1
ttt,1
ott,1
problemssolved,1
gptcalls,1
martingalescore,1
policysize,1
anssup,1
ansrel,1
stp3,1
lingojudge,1
matthewscorrcoef,1
p99e2e,1
p99tpot,1
p99ttft,1
misinformationpropagationrate,1
misinformationindex,1
topk,1
hit,1
accuracypercentage,1
scorepercentage,1
reciprocalrank,1
normalizedrmse,1
mushra,1
embeddingsimilarity,1
dspdistance,1
mrsdistance,1
relativecost,1
variableaccuracy,1
astsimilarity,1
activationrate,1
llmkat,1
contentaccuracy,1
schemacompliance,1
formatconsistency,1
jsonvalidity,1
structuralaccuracy,1
imagespersecond,1
taskclassification,1
taskallocation,1
reasoningquality,1
ttftlatency,1
episodecost,1
algorithmcost,1
collision,1
l2,1
misinformationseverity,1
functionalerrors,1
reranksimilarity,1
cumulativel2distance,1
datasetfraction,1
iterationstooptimum,1
humanevaluation,1
thlatency,1
onlinecost,1
towncoverage,1
citycoverage,1
provincecoverage,1
contextualappropriateness,1
definitionaccuracy,1
hitsk,1
imp,1
naturalness,1
predictiontime,1
pass16,1
lenk,1
avgk,1
male,1
jointtorque,1
positionerror,1
weirdpercentage,1
weirdscore,1
tracelength,1
fitness,1
ratio,1
size,1
attackdrop,1
softaccuracy,1
linesmodified,1
relmae,1
difficulty,1
questionlength,1
questiondiversity,1
quality,1
normalizederror,1
gptranking,1
concise,1
multilingualscore,1
temporaliou,1
rationaleaccuracy,1
erroraccuracy,1
debuggingtime,1
avgtimestep,1
balanceindicator,1
flopssaving,1
associationscore,1
irresponsibilityscore,1
wise,1
worstcasedistortion,1
averagedistortion,1
logicalconsistency,1
adaptersize,1
llmtokens,1
timeround,1
kbround,1
delta,1
procrustes,1
continuity,1
trustworthiness,1
pairwisediversity,1
refusaldelta,1
variants,1
transe,1
klrel,1
kl,1
medcon,1
faithscore,1
totalvariation,1
epistemicentropy,1
pabak,1
owa,1
mase,1
deadfeatures,1
explainedvariance,1
l1cost,1
l2norm,1
friedmanchisquared,1
generationscore,1
modificationaccuracy,1
understandingaccuracy,1
performanceimprovement,1
scalingefficiency,1
falserejection,1
confusiondepth,1
confusionrate,1
confusionindex,1
imapscore,1
driftrate,1
ethicalentropy,1
overhead,1
reusablespace,1
loadlatency,1
misalignments,1
connotation,1
topicusefulness,1
audittime,1
stereotypedetection,1
stereotyperate,1
trend,1
shape,1
injectionignorancerate,1
capability,1
clips,1
clipout,1
dinoimg,1
clipimg,1
support,1
lengthincrease,1
confidencevariance,1
singlecooperation,1
bothdefect,1
totalpayoff,1
averagecooperation,1
finalcooperation,1
surerate,1
unit,1
arithmetic,1
finalanswer,1
method,1
semanticoverriderate,1
prioralignment,1
alignmentwork,1
ber,1
md,1
pauroc,1
newinformation,1
pauc,1
em1,1
accelerationerror,1
velocityerror,1
mpjpe,1
mmdist,1
averagedegree,1
networkdensity,1
averagepath,1
clusteringcoefficient,1
payoffstd,1
maxcluster,1
binaryentropy,1
responselatency,1
performanceloss,1
totalentropy,1
rankingequivalence,1
mostsimilaraccuracy,1
equivalenceaccuracy,1
moraldivergence,1
ethicalconsistency,1
ethicalscore,1
reasoningcoherence,1
semanticsafety,1
lexicalintegrity,1
fullsuccess,1
reuseintention,1
followupmotivation,1
contenttrust,1
materialcoherence,1
lessonfit,1
codecontribution,1
cwefrequency,1
cwecount,1
directionalprojection,1
knowledgeconsolidation,1
knowledgerepetition,1
bst,1
bse,1
conditionalentropy,1
positionalbias,1
pairwiseaccuracy,1
harmlessnessreward,1
helpfulnessreward,1
rpr,1
mtas,1
tas,1
effectiveprecision,1
accuracygap,1
daviesbouldin,1
ecr1,1
cmr,1
pcadistance,1
wordratio,1
moralresonance,1
sequentialtokens,1
correctnessrate,1
bugresolution,1
confidencemargin,1
biasresiliency,1
shapleyvalues,1
cvecount,1
vulnerablecontribution,1
apicalls,1
vacuousrate,1
partialsuccess,1
silhouette,1
abs,1
aqg,1
lescore,1
rankingboth,1
rankingnegation,1
apiaccuracy,1
serate,1
weightedkendall,1
compatibility,1
judged100,1
securitylevel,1
fheruntime,1
nmos,1
emos,1
cumulativeaccuracy,1
sequencerobustness,1
stepefficiency,1
diversityfraction,1
pmr,1
validwindow,1
toleranceaccuracy,1
localexecution,1
tfaccuracy,1
penaltyscore,1
reproducibilityscore,1
structuralelements,1
conceptualmechanisms,1
behaviouralchecks,1
norefusal,1
partialrefusal,1
completerefusal,1
susceptibility,1
coldstart,1
goalreaching,1
planningtime,1
fulfillmentrate,1
censorshiprate,1
spikerate,1
logprobability,1
entropystddev,1
averageentropy,1
expectedcalibration,1
formatvalidity,1
calibrationerror,1
credibleinterval,1
infractionscore,1
routecompletion,1
drivingscore,1
trainingspeedup,1
bbqaccuracy,1
biasreduction,1
competencyfraction,1
effortreward,1
l1error,1
variablemetric,1
documentmetric,1
targetcoverage,1
srk,1
promptscore,1
agreementscore,1
ap5,1
ap1,1
mnr,1
mdr,1
r50,1
r5,1
r1,1
humanwinrate,1
recoveryprobability,1
initializationtime,1
allreducetime,1
trainingslowdown,1
mfuloss,1
mttr,1
recoverytime,1
checkpointoverhead,1
dgu,1
mgu,1
aurac,1
quadraticweightedkappa,1
modelingtime,1
gpt,1
lame3,1
fvalue,1
tendencyscore,1
accuracydifferential,1
memoryrequests,1
kerneltime,1
prefilllatency,1
formattingerrors,1
grammarerrors,1
ap10,1
ramusage,1
sentencespersecond,1
generationlatency,1
readabilityindex,1
colemanliau,1
dgs,1
attempts,1
f,1
j,1
ap100,1
timeouts,1
routedeviation,1
stopsign,1
redlight,1
idiomrecognitionaccuracy,1
hr,1
racscl,1
hits1,1
bayesbenchscore,1
bcs,1
rre,1
steplen,1
b405,1
c05,1
instructionaccuracy,1
rewardvariance,1
lame1,1
uvq,1
fps,1
queuetime,1
startuptime,1
coldstarttime,1
samplingratio,1
rerciwl,1
spuriousdetection,1
typeerror,1
spanerror,1
usabilityviolations,1
securityviolations,1
denyrate,1
loglikelihood,1
generalizedvariance,1
rercswl,1
rercicl,1
rercscl,1
raciwl,1
racswl,1
racicl,1
energysaving,1
cvarlatency,1
p99999latency,1
slaviolations,1
biterrorrate,1
aecr,1
asg,1
acs,1
knnpurity,1
stepsimilarity,1
run,1
correct,1
lenvar,1
accvar,1
accmean,1
totalvariationdistance,1
weightedjaccard,1
