,count,percent
accuracy,379,7.24
f1,250,4.78
recall,128,2.45
precision,117,2.24
rouge,85,1.62
pearson,56,1.07
bleu,48,0.92
perplexity,48,0.92
successrate,47,0.9
latency,42,0.8
cohenkappa,37,0.71
spearman,37,0.71
exactmatch,34,0.65
throughput,29,0.55
pass1,28,0.54
speedup,24,0.46
winrate,24,0.46
bertscore,23,0.44
auc,23,0.44
runtime,23,0.44
meteor,21,0.4
aucroc,21,0.4
cosinesimilarity,20,0.38
ttft,20,0.38
rmse,19,0.36
mae,19,0.36
attacksuccessrate,18,0.34
completeness,16,0.31
memoryusage,16,0.31
specificity,16,0.31
pvalue,15,0.29
rocauc,15,0.29
tpot,14,0.27
r2,14,0.27
executiontime,13,0.25
attacksuccess,13,0.25
mse,13,0.25
clarity,13,0.25
passk,12,0.23
standarddeviation,12,0.23
inferencetime,12,0.23
cost,12,0.23
ndcg,12,0.23
tokenusage,12,0.23
fleisskappa,11,0.21
coverage,11,0.21
top3accuracy,11,0.21
relevance,10,0.19
refusalrate,10,0.19
reward,10,0.19
macrorecall,10,0.19
averagescore,10,0.19
kldivergence,10,0.19
brierscore,10,0.19
krippendorffalpha,9,0.17
asr,9,0.17
cpuutilization,9,0.17
falsepositiverate,9,0.17
falsepositive,8,0.15
cohensd,8,0.15
wilcoxontest,8,0.15
cider,8,0.15
errorrate,8,0.15
hitrate,8,0.15
tokencount,8,0.15
ece,8,0.15
branchcoverage,8,0.15
falsenegativerate,8,0.15
map,8,0.15
top10accuracy,8,0.15
kendallstau,8,0.15
sensitivity,7,0.13
memory,7,0.13
time,7,0.13
meansquarederror,7,0.13
energyconsumption,7,0.13
overall,7,0.13
tokenspersecond,7,0.13
semanticsimilarity,7,0.13
correctness,7,0.13
tokencost,6,0.11
iou,6,0.11
overallscore,6,0.11
silhouettescore,6,0.11
coherence,6,0.11
fscore,6,0.11
mrr,6,0.11
detectionrate,6,0.11
entropy,6,0.11
chrf,6,0.11
unbalancedaccuracy,6,0.11
pflops,6,0.11
oddsratio,6,0.11
macroprecision,6,0.11
faithfulness,5,0.1
confidenceinterval,5,0.1
mcc,5,0.1
cyclomaticcomplexity,5,0.1
linecoverage,5,0.1
completiontime,5,0.1
steps,5,0.1
jsdivergence,5,0.1
compilationsuccess,5,0.1
helpfulness,5,0.1
jaccardsimilarity,5,0.1
gpumemory,5,0.1
chisquare,5,0.1
executionaccuracy,5,0.1
energy,5,0.1
power,5,0.1
responselength,5,0.1
meanabsoluteerror,5,0.1
outputtokens,5,0.1
detectionaccuracy,5,0.1
hallucinationrate,5,0.1
ndcg10,5,0.1
acceptancerate,5,0.1
toxicityscore,5,0.1
safety,5,0.1
recall05,5,0.1
precision5,4,0.08
wer,4,0.08
trainingloss,4,0.08
llmjudge,4,0.08
executability,4,0.08
nasatlx,4,0.08
miou,4,0.08
objectivevalue,4,0.08
geval,4,0.08
empathy,4,0.08
trainingtime,4,0.08
rejectionrate,4,0.08
codebleu,4,0.08
totalscore,4,0.08
inferencelatency,4,0.08
medianscore,4,0.08
coverageaccuracy,4,0.08
disagreementrate,4,0.08
l1distance,4,0.08
irrelevancescore,4,0.08
icc,4,0.08
bandwidth,4,0.08
mannwhitneyu,4,0.08
readability,4,0.08
tokenconsumption,4,0.08
similarityscore,4,0.08
taskaccuracy,4,0.08
generationtime,4,0.08
em,4,0.08
fluency,4,0.08
consistency,4,0.08
failurerate,4,0.08
tokens,4,0.08
classificationaccuracy,4,0.08
totaltokens,4,0.08
crossentropy,4,0.08
recall1,4,0.08
pass5,4,0.08
fpr,4,0.08
hitratio,4,0.08
cer,4,0.08
compressionratio,4,0.08
loss,4,0.08
alignmentscore,4,0.08
autocorrelationcoefficient,4,0.08
querycount,3,0.06
endtoendlatency,3,0.06
truepositiverate,3,0.06
efficiency,3,0.06
nmi,3,0.06
aic,3,0.06
energypertoken,3,0.06
parametercount,3,0.06
stepcount,3,0.06
codecoverage,3,0.06
functionalcorrectness,3,0.06
clipscore,3,0.06
syntaxcorrectness,3,0.06
falsenegative,3,0.06
passrate,3,0.06
peakmemory,3,0.06
bandwidthutilization,3,0.06
monetarycost,3,0.06
taskcompletionrate,3,0.06
nodeaccuracy,3,0.06
unsaferate,3,0.06
gptscore,3,0.06
map50,3,0.06
averageprecision,3,0.06
hota,3,0.06
mota,3,0.06
tierate,3,0.06
acc,3,0.06
correlation,3,0.06
confusionmatrix,3,0.06
instructionfollowing,3,0.06
nrmse,3,0.06
timecost,3,0.06
kendall,3,0.06
computationtime,3,0.06
recallk,3,0.06
selfbleu,3,0.06
ari,3,0.06
mcnemartest,3,0.06
levenshteindistance,3,0.06
intraclasscorrelation,3,0.06
likertscore,3,0.06
callaccuracy,3,0.06
completionrate,3,0.06
conciseness,3,0.06
sloattainment,3,0.06
episodicreward,3,0.06
auprc,3,0.06
fnr,3,0.06
decodethroughput,3,0.06
taillatency,3,0.06
coefficientvariation,3,0.06
percentagreement,3,0.06
hellingerdistance,3,0.06
cosinedistance,3,0.06
timepertoken,3,0.06
area,3,0.06
gpt4judge,3,0.06
areaoverhead,3,0.06
averagereward,3,0.06
subansweraccuracy,3,0.06
gpt4oscore,3,0.06
pass1accuracy,3,0.06
summac,3,0.06
modelsize,3,0.06
recall10,3,0.06
mannwhitney,3,0.06
overallaccuracy,3,0.06
p1,3,0.06
mape,3,0.06
editdistance,3,0.06
apicost,3,0.06
novelty,3,0.06
ndcg5,3,0.06
memoryutilization,3,0.06
inputtokens,3,0.06
llmcalls,3,0.06
speedupratio,3,0.06
gpuusage,3,0.06
rsquared,2,0.04
kendallcorrelation,2,0.04
accuracydrop,2,0.04
clinicaltransferability,2,0.04
preference,2,0.04
confidenceunderstanding,2,0.04
cognitiveload,2,0.04
alignment,2,0.04
hr1,2,0.04
optimalitygap,2,0.04
formataccuracy,2,0.04
tasksuccessrate,2,0.04
spice,2,0.04
tasksuccess,2,0.04
l2loss,2,0.04
aupr,2,0.04
tpr,2,0.04
precision10,2,0.04
compressiontime,2,0.04
fidelity,2,0.04
taskcompletion,2,0.04
goodput,2,0.04
evaluationloss,2,0.04
errorcount,2,0.04
ap,2,0.04
decodetime,2,0.04
e2elatency,2,0.04
assa,2,0.04
deta,2,0.04
leakagerate,2,0.04
mmluaccuracy,2,0.04
tokenthroughput,2,0.04
csr,2,0.04
comprehensiveness,2,0.04
averagelatency,2,0.04
kappacoefficient,2,0.04
ir,2,0.04
drawrate,2,0.04
winloss,2,0.04
persistence,2,0.04
top5,2,0.04
top1,2,0.04
usefulness,2,0.04
elorating,2,0.04
harmscore,2,0.04
kruskalwallis,2,0.04
llmscore,2,0.04
aggregatescore,2,0.04
rollouttime,2,0.04
unknownrate,2,0.04
energyefficiency,2,0.04
matthewscorrelation,2,0.04
descriptiveness,2,0.04
responsetime,2,0.04
credibility,2,0.04
responsibility,2,0.04
treedepth,2,0.04
manhattandistance,2,0.04
comet,2,0.04
aucpr,2,0.04
modificationrate,2,0.04
prefilltime,2,0.04
consistencyrate,2,0.04
steptime,2,0.04
relativeperformance,2,0.04
sufficiency,2,0.04
prauc,2,0.04
toxicity,2,0.04
truenegative,2,0.04
truepositive,2,0.04
forgettingrate,2,0.04
executioncost,2,0.04
qwk,2,0.04
strictaccuracy,2,0.04
purity,2,0.04
ndcg3,2,0.04
hr3,2,0.04
biasscore,2,0.04
factualaccuracy,2,0.04
executionrate,2,0.04
riskratio,2,0.04
cohenh,2,0.04
preferencerate,2,0.04
avgtokensgenerated,2,0.04
cachehitrate,2,0.04
grammarscore,2,0.04
sim,2,0.04
typetokenratio,2,0.04
wordcount,2,0.04
responsequality,2,0.04
planlength,2,0.04
deserializationtime,2,0.04
cotscore,2,0.04
robustness,2,0.04
meandifference,2,0.04
ttest,2,0.04
coveragerate,2,0.04
emotional,2,0.04
treeeditdistance,2,0.04
generalizationgap,2,0.04
normalizedreward,2,0.04
operationcoverage,2,0.04
narrativelength,2,0.04
tokenbudget,2,0.04
securityscore,2,0.04
resolvedrate,2,0.04
totalcost,2,0.04
fleschreading,2,0.04
prompttokens,2,0.04
periterationtime,2,0.04
standarderror,2,0.04
correctrate,2,0.04
r100,2,0.04
r10,2,0.04
map5095,2,0.04
meanaverageprecision,2,0.04
ap50,2,0.04
regret,2,0.04
communicationquality,2,0.04
contextawareness,2,0.04
healthbenchscore,2,0.04
emr,2,0.04
agreement,2,0.04
sharpness,2,0.04
completiontokens,2,0.04
alignscore,2,0.04
aps,2,0.04
intersectionoverunion,2,0.04
pass2,2,0.04
jensenshannondivergence,2,0.04
bitsperbyte,2,0.04
normalizedaccuracy,2,0.04
coherencescore,2,0.04
linesofcode,2,0.04
quantizationtime,2,0.04
weightedaccuracy,2,0.04
progressrate,2,0.04
responserate,2,0.04
avg32,2,0.04
jsdistance,2,0.04
cpumemory,2,0.04
expectedcalibrationerror,2,0.04
relativeimprovement,2,0.04
elo,2,0.04
averagepayoff,2,0.04
cooperationrate,2,0.04
