,percent
accuracy,7.24
f1,4.78
recall,2.45
precision,2.24
rouge,1.62
pearson,1.07
bleu,0.92
perplexity,0.92
successrate,0.9
latency,0.8
cohenkappa,0.71
spearman,0.71
exactmatch,0.65
throughput,0.55
pass1,0.54
speedup,0.46
winrate,0.46
bertscore,0.44
auc,0.44
runtime,0.44
meteor,0.4
aucroc,0.4
cosinesimilarity,0.38
ttft,0.38
rmse,0.36
mae,0.36
attacksuccessrate,0.34
completeness,0.31
memoryusage,0.31
specificity,0.31
pvalue,0.29
rocauc,0.29
tpot,0.27
r2,0.27
executiontime,0.25
attacksuccess,0.25
mse,0.25
clarity,0.25
passk,0.23
standarddeviation,0.23
inferencetime,0.23
cost,0.23
ndcg,0.23
tokenusage,0.23
fleisskappa,0.21
coverage,0.21
top3accuracy,0.21
relevance,0.19
refusalrate,0.19
reward,0.19
macrorecall,0.19
averagescore,0.19
kldivergence,0.19
brierscore,0.19
krippendorffalpha,0.17
asr,0.17
cpuutilization,0.17
falsepositiverate,0.17
falsepositive,0.15
cohensd,0.15
wilcoxontest,0.15
cider,0.15
errorrate,0.15
hitrate,0.15
tokencount,0.15
ece,0.15
branchcoverage,0.15
falsenegativerate,0.15
map,0.15
top10accuracy,0.15
kendallstau,0.15
sensitivity,0.13
memory,0.13
time,0.13
meansquarederror,0.13
energyconsumption,0.13
overall,0.13
tokenspersecond,0.13
semanticsimilarity,0.13
correctness,0.13
tokencost,0.11
iou,0.11
overallscore,0.11
silhouettescore,0.11
coherence,0.11
fscore,0.11
mrr,0.11
detectionrate,0.11
entropy,0.11
chrf,0.11
unbalancedaccuracy,0.11
pflops,0.11
oddsratio,0.11
macroprecision,0.11
faithfulness,0.1
confidenceinterval,0.1
mcc,0.1
cyclomaticcomplexity,0.1
linecoverage,0.1
completiontime,0.1
steps,0.1
jsdivergence,0.1
compilationsuccess,0.1
helpfulness,0.1
jaccardsimilarity,0.1
gpumemory,0.1
chisquare,0.1
executionaccuracy,0.1
energy,0.1
power,0.1
responselength,0.1
meanabsoluteerror,0.1
outputtokens,0.1
detectionaccuracy,0.1
hallucinationrate,0.1
ndcg10,0.1
acceptancerate,0.1
toxicityscore,0.1
safety,0.1
recall05,0.1
precision5,0.08
wer,0.08
trainingloss,0.08
llmjudge,0.08
executability,0.08
nasatlx,0.08
miou,0.08
objectivevalue,0.08
geval,0.08
empathy,0.08
trainingtime,0.08
rejectionrate,0.08
codebleu,0.08
totalscore,0.08
inferencelatency,0.08
medianscore,0.08
coverageaccuracy,0.08
disagreementrate,0.08
l1distance,0.08
irrelevancescore,0.08
icc,0.08
bandwidth,0.08
mannwhitneyu,0.08
readability,0.08
tokenconsumption,0.08
similarityscore,0.08
taskaccuracy,0.08
generationtime,0.08
em,0.08
fluency,0.08
consistency,0.08
failurerate,0.08
tokens,0.08
classificationaccuracy,0.08
totaltokens,0.08
crossentropy,0.08
recall1,0.08
pass5,0.08
fpr,0.08
hitratio,0.08
cer,0.08
compressionratio,0.08
loss,0.08
alignmentscore,0.08
autocorrelationcoefficient,0.08
querycount,0.06
endtoendlatency,0.06
truepositiverate,0.06
efficiency,0.06
nmi,0.06
aic,0.06
energypertoken,0.06
parametercount,0.06
stepcount,0.06
codecoverage,0.06
functionalcorrectness,0.06
clipscore,0.06
syntaxcorrectness,0.06
falsenegative,0.06
passrate,0.06
peakmemory,0.06
bandwidthutilization,0.06
monetarycost,0.06
taskcompletionrate,0.06
nodeaccuracy,0.06
unsaferate,0.06
gptscore,0.06
map50,0.06
averageprecision,0.06
hota,0.06
mota,0.06
tierate,0.06
acc,0.06
correlation,0.06
confusionmatrix,0.06
instructionfollowing,0.06
nrmse,0.06
timecost,0.06
kendall,0.06
computationtime,0.06
recallk,0.06
selfbleu,0.06
ari,0.06
mcnemartest,0.06
levenshteindistance,0.06
intraclasscorrelation,0.06
likertscore,0.06
callaccuracy,0.06
completionrate,0.06
conciseness,0.06
sloattainment,0.06
episodicreward,0.06
auprc,0.06
fnr,0.06
decodethroughput,0.06
taillatency,0.06
coefficientvariation,0.06
percentagreement,0.06
hellingerdistance,0.06
cosinedistance,0.06
timepertoken,0.06
area,0.06
gpt4judge,0.06
areaoverhead,0.06
averagereward,0.06
subansweraccuracy,0.06
gpt4oscore,0.06
pass1accuracy,0.06
summac,0.06
modelsize,0.06
recall10,0.06
mannwhitney,0.06
overallaccuracy,0.06
p1,0.06
mape,0.06
editdistance,0.06
apicost,0.06
novelty,0.06
ndcg5,0.06
memoryutilization,0.06
inputtokens,0.06
llmcalls,0.06
speedupratio,0.06
gpuusage,0.06
rsquared,0.04
kendallcorrelation,0.04
accuracydrop,0.04
clinicaltransferability,0.04
preference,0.04
confidenceunderstanding,0.04
cognitiveload,0.04
alignment,0.04
hr1,0.04
optimalitygap,0.04
formataccuracy,0.04
tasksuccessrate,0.04
spice,0.04
tasksuccess,0.04
l2loss,0.04
aupr,0.04
tpr,0.04
precision10,0.04
compressiontime,0.04
fidelity,0.04
taskcompletion,0.04
goodput,0.04
evaluationloss,0.04
errorcount,0.04
ap,0.04
decodetime,0.04
e2elatency,0.04
assa,0.04
deta,0.04
leakagerate,0.04
mmluaccuracy,0.04
tokenthroughput,0.04
csr,0.04
