,count
gpt4o,219
llama318b,160
gpt4omini,111
gemini15flash,98
llama3170b,96
gpt5,95
deepseekr1,85
deepseekv2,80
llama270b,80
mistral8x7b,78
qwen380b,77
qwen314b,72
gpt41,70
claude4sonnet,69
qwen2570b,69
gptoss120b,66
gemini25pro,65
qwen332b,58
gpt4,57
qwen25vl32b,51
llama318binstruct,47
gpt41mini,45
gpt51mini,42
claude35sonnet,41
llama323b,40
qwen2572binstruct,38
gemini25,34
llama31,32
qwen25vl32binstruct,32
claude35haiku,31
gpt35turbo,30
gpt35,30
qwen2572b,29
llama213b,29
deepseekr1distillqwen14b,27
qwen317b,26
qwen2514b,26
gemini20flash,25
qwen25vl7b,25
gemma327b,23
llama3211b,23
qwen25,23
qwen2515b,23
deepseekv31,23
grok4,23
qwen3253b,23
o3mini,22
o4mini,22
qwen25vl,22
qwen306b,22
gpt4turbo,22
gemini3pro,21
llama32,21
claudesonnet40,20
bert,20
gemma312b,19
randomforest,18
llama3,18
llama4maverick,18
claude3opus,18
llama3370binstruct,18
gpt41nano,17
o3,17
logisticregression,17
llama33,16
qwen3235b,16
qwen2505b,16
gemma34b,16
phi35mini,16
gemma29b,15
xgboost,15
llama31405b,15
llama17b,15
gpt5nano,15
phi4,14
qwen27b,14
deepseekv25,14
gemini20flashlite,14
qwen3,14
qwen257bcoder,14
qwen3vl235ba22b,13
gemma7b,13
kimik2,13
qwen2514binstruct,13
gemini10pro,13
gemma3,13
llama4scout,13
clip,13
internvl378b,13
mistral7binstructv01,12
deepseekr170b,12
qwen3plus,12
qwen3max,12
gpt2,12
qwq32b,12
gemma31bit,12
qwen330b,12
roberta,12
gpt51,11
o1mini,11
opt13b,11
grok3,11
deepseek,11
ppo,11
grpo,11
deepseekr132b,11
deepseekcoder,10
gemma2,10
llama4,10
internvl3538b,10
qwen2505binstruct,10
magistralsmall,10
chatgpt,10
gemma22b,10
llama31405binstruct,9
sasrec,9
llama8b,9
claude45,9
lightgbm,9
llava15,9
claude35,9
chatgpt4o,9
qwen3coder,9
mlp,9
deepseekr1distillllama70b,9
lstm,9
llamaguard2,9
gemma327bit,9
grok4fast,9
qwen25math7b,9
gptoss,8
codellama7b,8
allminilml6v2,8
gemma312bft,8
lightgcn,8
svm,8
fastv,8
gemini15,8
claude37,8
llama270bchat,8
deepseekchat,8
qwen3vl,8
ministral8b,8
mistral7bv02,8
qwen3embedding06b,8
codellama13b,8
videollama13b,8
vicuna7b,8
gemini20,7
phi4mini,7
minillm,7
openaio3,7
llama,7
deepseekv32exp,7
gemma2it27b,7
internlm25,7
mistral3224b,7
tinyllama,7
bert4rec,7
sentencebert,7
textembedding3small,7
opt67b,7
mistral,7
internvl3514b,7
distilbert,7
qwen25omni3b,7
qwen3embedding,7
deepseekr114b,7
sft,7
qwen154b,7
random,7
llavaov72b,6
gemini,6
falcon180b,6
hdbscan,6
textembeddingada002,6
minicpmo26,6
pythia12b,6
llava157b,6
deepseek67b,6
llavanext,6
textembedding3large,6
claudeopus41,6
bertbase,6
chatgpt5,6
gpt2large,6
bm25,6
linearregression,6
deepseekr10528,6
react,6
qwen25omni,6
gpt2xl,6
sentencetransformer,5
claudehaiku45,5
qwen330ba3b,5
resnet18,5
o1,5
awq,5
allmpnetbasev1,5
deberta,5
codellama,5
lora,5
qwen3coder30b,5
llavaonevision,5
minilml6,5
minilml6v2,5
kmeans,5
mistralnemo,5
t5,5
mistrallarge,5
gru4rec,5
glm45,5
qwen2audio,5
mdebertav3,5
mistral8x22b,5
qwen38bbase,5
qwen25coder3b,5
gpt4o20241120,5
pythia160m,5
llama37b,5
qwen314bbase,5
internlm257b,5
qwen1572b,5
llamaguard,5
claude41opus,5
molmo7b,5
mistralsmall3124binstruct,5
llavavideo72b,5
llama318binst,4
gpt2medium,4
openaio1,4
olmo1b,4
glm41v9bthinking,4
gpt5thinking,4
mlpclassifier,4
deepseekv30324,4
gptq,4
quip,4
xlmroberta,4
bytetrack,4
whisper,4
vitb16,4
sparsevlm,4
siglip,4
cot,4
t5large,4
robertalarge,4
internvl3,4
bgem3,4
llavamed,4
dpo,4
gpt5high,4
gpt5chat,4
cnn,4
deepseekr18b,4
granite328b,4
tallrec,4
llama113b,4
gpt35turbo0125,4
deepseekr1distill,4
gpt4o3,4
decisiontree,4
cosyvoice2,4
llavaonevision7b,4
avicuna,4
internvl240b,4
qwen3next80ba3binstruct,4
llava7b,4
openaio3mini,4
dqn,4
qwen25math15b,4
gemma29b8bit,4
llavanext7b,4
internvl2578b,4
medgemma27b,4
e5mistral7binstruct,4
qwen3vl235ba22bthinking,4
yolov11,4
qwenvlmax,4
glm4v9b,4
llm,4
falcon37b,4
kimik2thinking,4
qwen72b,4
mistralsmall3124b,4
itransformer,4
dkt,4
nemotronelastic12b,3
bgereranker,3
phi4multimodal,3
mistralinstruct,3
qwen,3
mistralmedium,3
flant5,3
adalora,3
meddr,3
opt,3
resnet50,3
aqlm,3
ddpg,3
internvl35,3
phi15,3
gcn,3
gat,3
grpomodel,3
bartlargemnli,3
gpt35turbo1106,3
qwen3coder480b,3
robertabase,3
claude,3
umap,3
opt30b,3
llara,3
qwen3235ba22binstruct2507,3
kimi,3
smoothllm,3
llada,3
sbert,3
f5tts,3
safedecoding,3
selfreminder,3
naivebayes,3
grok2,3
grok3mini,3
vicuna7bv15,3
yolov5,3
glm45v,3
gliner,3
autoencoder,3
openllama3b,3
isolationforest,3
starcoder,3
graphsage,3
llama4scout17b,3
qwen2,3
llava,3
stablediffusion,3
openbiollm,3
tiger,3
baseline,3
tfidf,3
qwenimage,3
mixtral,3
timesnet,3
dlinear,3
claudesonnet37,3
qwen3b,3
wanda,3
gpt2small,3
minimaxm2,3
dinov2,3
qwen3vl4b,3
fasttext,3
qwen3vl235ba22binstruct,3
nvembedv2,3
wavlm,3
qwen330ba3binstruct2507,3
clipvit,3
z3,3
spacy,3
zeroshot,3
reflexion,3
glm46,3
td3,3
gpt5codex,3
qwenvlchat,3
catboost,3
visionzip,3
qwen8b,3
rome,3
bgesmall,3
lingshu7b,3
omniquant,3
bgelarge,3
reinforce,3
novapro,3
gteqwen215binstruct,3
geminipro15,3
openllama27b,3
deepsport,3
falcon31b,3
videollama27b,3
phi3538b,3
gradientdescent,3
llama3211bvision,3
speechformer,3
mistralsmall3124binstruct2503,3
llama31tulu318b,3
tablellama,3
llmesr,3
astgcn,3
internvl352b,3
qwen3vl8binstruct,3
llavav16,3
agrace,3
granite308binstruct,3
qwen3235bthinking,3
mistral7b01v,3
deepseekr1qwen32b,3
wizardvicuna13b,3
openthinker27b,3
qwen3llm,2
qwen3omni30b,2
gptj6b,2
promptguard,2
lgdumap,2
svmclassifier,2
gaussianmixture,2
gaussianprocess,2
alexnet,2
bertlarge,2
contriever,2
alpaca,2
openhands,2
spqr,2
chatglm,2
deepseekreasoner,2
geminiembedding,2
qwen3guardgen,2
gpt40613,2
sapbert,2
ada,2
claude4,2
instructor,2
gcg,2
scibert,2
pair,2
nemotronnano,2
basemodel,2
doubaoseed16thinking,2
kimiaudio7b,2
opt66b,2
tsne,2
divprune,2
gpt4120250414,2
tinyllama11b,2
claude37sonnet20250219,2
claudesonnet420250514,2
gpto4mini,2
trim,2
selfrag,2
glm49bchat,2
svd,2
gptneo13b,2
sonnet45,2
td3bc,2
phi4miniinstruct,2
internvideo2,2
qwen258b,2
fairmot,2
gptneo,2
transe,2
eta,2
transtrack,2
codereviewer,2
ikun,2
neuralnetwork,2
codegemma7b,2
detectgpt,2
langmem,2
transrmot,2
temprmot,2
iql,2
codex,2
pai,2
berttiny,2
tome,2
gemma,2
rulebased,2
vita157b,2
vicuna13bv15,2
