,count,percent
gpt4o,219,2.62
llama318b,160,1.91
gpt4omini,111,1.33
gemini15flash,98,1.17
llama3170b,96,1.15
gpt5,95,1.14
deepseekr1,85,1.02
deepseekv2,80,0.96
llama270b,80,0.96
mistral8x7b,78,0.93
qwen380b,77,0.92
qwen314b,72,0.86
gpt41,70,0.84
claude4sonnet,69,0.83
qwen2570b,69,0.83
gptoss120b,66,0.79
gemini25pro,65,0.78
qwen332b,58,0.69
gpt4,57,0.68
qwen25vl32b,51,0.61
llama318binstruct,47,0.56
gpt41mini,45,0.54
gpt51mini,42,0.5
claude35sonnet,41,0.49
llama323b,40,0.48
qwen2572binstruct,38,0.45
gemini25,34,0.41
llama31,32,0.38
qwen25vl32binstruct,32,0.38
claude35haiku,31,0.37
gpt35turbo,30,0.36
gpt35,30,0.36
qwen2572b,29,0.35
llama213b,29,0.35
deepseekr1distillqwen14b,27,0.32
qwen317b,26,0.31
qwen2514b,26,0.31
gemini20flash,25,0.3
qwen25vl7b,25,0.3
gemma327b,23,0.28
llama3211b,23,0.28
qwen25,23,0.28
qwen2515b,23,0.28
deepseekv31,23,0.28
grok4,23,0.28
qwen3253b,23,0.28
o3mini,22,0.26
o4mini,22,0.26
qwen25vl,22,0.26
qwen306b,22,0.26
gpt4turbo,22,0.26
gemini3pro,21,0.25
llama32,21,0.25
claudesonnet40,20,0.24
bert,20,0.24
gemma312b,19,0.23
randomforest,18,0.22
llama3,18,0.22
llama4maverick,18,0.22
claude3opus,18,0.22
llama3370binstruct,18,0.22
gpt41nano,17,0.2
o3,17,0.2
logisticregression,17,0.2
llama33,16,0.19
qwen3235b,16,0.19
qwen2505b,16,0.19
gemma34b,16,0.19
phi35mini,16,0.19
gemma29b,15,0.18
xgboost,15,0.18
llama31405b,15,0.18
llama17b,15,0.18
gpt5nano,15,0.18
phi4,14,0.17
qwen27b,14,0.17
deepseekv25,14,0.17
gemini20flashlite,14,0.17
qwen3,14,0.17
qwen257bcoder,14,0.17
qwen3vl235ba22b,13,0.16
gemma7b,13,0.16
kimik2,13,0.16
qwen2514binstruct,13,0.16
gemini10pro,13,0.16
gemma3,13,0.16
llama4scout,13,0.16
clip,13,0.16
internvl378b,13,0.16
mistral7binstructv01,12,0.14
deepseekr170b,12,0.14
qwen3plus,12,0.14
qwen3max,12,0.14
gpt2,12,0.14
qwq32b,12,0.14
gemma31bit,12,0.14
qwen330b,12,0.14
roberta,12,0.14
gpt51,11,0.13
o1mini,11,0.13
opt13b,11,0.13
grok3,11,0.13
deepseek,11,0.13
ppo,11,0.13
grpo,11,0.13
deepseekr132b,11,0.13
deepseekcoder,10,0.12
gemma2,10,0.12
llama4,10,0.12
internvl3538b,10,0.12
qwen2505binstruct,10,0.12
magistralsmall,10,0.12
chatgpt,10,0.12
gemma22b,10,0.12
llama31405binstruct,9,0.11
sasrec,9,0.11
llama8b,9,0.11
claude45,9,0.11
lightgbm,9,0.11
llava15,9,0.11
claude35,9,0.11
chatgpt4o,9,0.11
qwen3coder,9,0.11
mlp,9,0.11
deepseekr1distillllama70b,9,0.11
lstm,9,0.11
llamaguard2,9,0.11
gemma327bit,9,0.11
grok4fast,9,0.11
qwen25math7b,9,0.11
gptoss,8,0.1
codellama7b,8,0.1
allminilml6v2,8,0.1
gemma312bft,8,0.1
lightgcn,8,0.1
svm,8,0.1
fastv,8,0.1
gemini15,8,0.1
claude37,8,0.1
llama270bchat,8,0.1
deepseekchat,8,0.1
qwen3vl,8,0.1
ministral8b,8,0.1
mistral7bv02,8,0.1
qwen3embedding06b,8,0.1
codellama13b,8,0.1
videollama13b,8,0.1
vicuna7b,8,0.1
gemini20,7,0.08
phi4mini,7,0.08
minillm,7,0.08
openaio3,7,0.08
llama,7,0.08
deepseekv32exp,7,0.08
gemma2it27b,7,0.08
internlm25,7,0.08
mistral3224b,7,0.08
tinyllama,7,0.08
bert4rec,7,0.08
sentencebert,7,0.08
textembedding3small,7,0.08
opt67b,7,0.08
mistral,7,0.08
internvl3514b,7,0.08
distilbert,7,0.08
qwen25omni3b,7,0.08
qwen3embedding,7,0.08
deepseekr114b,7,0.08
sft,7,0.08
qwen154b,7,0.08
random,7,0.08
llavaov72b,6,0.07
gemini,6,0.07
falcon180b,6,0.07
hdbscan,6,0.07
textembeddingada002,6,0.07
minicpmo26,6,0.07
pythia12b,6,0.07
llava157b,6,0.07
deepseek67b,6,0.07
llavanext,6,0.07
textembedding3large,6,0.07
claudeopus41,6,0.07
bertbase,6,0.07
chatgpt5,6,0.07
gpt2large,6,0.07
bm25,6,0.07
linearregression,6,0.07
deepseekr10528,6,0.07
react,6,0.07
qwen25omni,6,0.07
gpt2xl,6,0.07
sentencetransformer,5,0.06
claudehaiku45,5,0.06
qwen330ba3b,5,0.06
resnet18,5,0.06
o1,5,0.06
awq,5,0.06
allmpnetbasev1,5,0.06
deberta,5,0.06
codellama,5,0.06
lora,5,0.06
qwen3coder30b,5,0.06
llavaonevision,5,0.06
minilml6,5,0.06
minilml6v2,5,0.06
kmeans,5,0.06
mistralnemo,5,0.06
t5,5,0.06
mistrallarge,5,0.06
gru4rec,5,0.06
glm45,5,0.06
qwen2audio,5,0.06
mdebertav3,5,0.06
mistral8x22b,5,0.06
qwen38bbase,5,0.06
qwen25coder3b,5,0.06
gpt4o20241120,5,0.06
pythia160m,5,0.06
llama37b,5,0.06
qwen314bbase,5,0.06
internlm257b,5,0.06
qwen1572b,5,0.06
llamaguard,5,0.06
claude41opus,5,0.06
molmo7b,5,0.06
mistralsmall3124binstruct,5,0.06
llavavideo72b,5,0.06
llama318binst,4,0.05
gpt2medium,4,0.05
openaio1,4,0.05
olmo1b,4,0.05
glm41v9bthinking,4,0.05
gpt5thinking,4,0.05
mlpclassifier,4,0.05
deepseekv30324,4,0.05
gptq,4,0.05
quip,4,0.05
xlmroberta,4,0.05
bytetrack,4,0.05
whisper,4,0.05
vitb16,4,0.05
sparsevlm,4,0.05
siglip,4,0.05
cot,4,0.05
t5large,4,0.05
robertalarge,4,0.05
internvl3,4,0.05
bgem3,4,0.05
llavamed,4,0.05
dpo,4,0.05
gpt5high,4,0.05
gpt5chat,4,0.05
cnn,4,0.05
deepseekr18b,4,0.05
granite328b,4,0.05
tallrec,4,0.05
llama113b,4,0.05
gpt35turbo0125,4,0.05
deepseekr1distill,4,0.05
gpt4o3,4,0.05
decisiontree,4,0.05
cosyvoice2,4,0.05
llavaonevision7b,4,0.05
avicuna,4,0.05
internvl240b,4,0.05
qwen3next80ba3binstruct,4,0.05
llava7b,4,0.05
openaio3mini,4,0.05
dqn,4,0.05
qwen25math15b,4,0.05
gemma29b8bit,4,0.05
llavanext7b,4,0.05
internvl2578b,4,0.05
medgemma27b,4,0.05
e5mistral7binstruct,4,0.05
qwen3vl235ba22bthinking,4,0.05
yolov11,4,0.05
qwenvlmax,4,0.05
glm4v9b,4,0.05
llm,4,0.05
falcon37b,4,0.05
kimik2thinking,4,0.05
qwen72b,4,0.05
mistralsmall3124b,4,0.05
itransformer,4,0.05
dkt,4,0.05
nemotronelastic12b,3,0.04
bgereranker,3,0.04
phi4multimodal,3,0.04
mistralinstruct,3,0.04
qwen,3,0.04
mistralmedium,3,0.04
flant5,3,0.04
adalora,3,0.04
meddr,3,0.04
opt,3,0.04
resnet50,3,0.04
aqlm,3,0.04
ddpg,3,0.04
internvl35,3,0.04
phi15,3,0.04
