,count
accuracy,450
f1,367
bleu,111
rouge,76
precision,71
perplexity,69
recall,69
successrate,64
latency,55
exactmatch,54
aucroc,43
throughput,32
ndcg,30
attacksuccessrate,23
pass1,17
pearson,17
cider,16
map,15
inferencetime,14
inferencelatency,14
safetyscore,14
rmse,14
toxicityscore,14
codebleu,14
biasscore,13
cohenskappa,13
auc,12
mrr,11
bertscore,11
memoryusage,11
cosinesimilarity,10
humanevaluation,10
mae,10
meanabsoluteerror,10
spearman,9
taskaccuracy,9
kldivergence,8
precision1,8
rsquared,8
coverage,7
meansquarederror,7
costefficiency,7
tokencount,7
humanrating,7
speedup,6
executiontime,6
testpassrate,6
empathyscore,6
recall10,6
winrate,5
fid,5
consistency,5
hallucinationrate,5
cumulativereward,5
compilationrate,5
cooperationrate,5
harmfulnessscore,5
refusalrate,5
trainingtime,5
passrate,5
cost,5
executionaccuracy,5
iou,5
meteor,5
helpfulnessscore,5
recall1,5
codecoverage,4
averagelatency,4
energy,4
energypertoken,4
calibrationerror,4
consistencyscore,4
clipscore,4
mape,4
noveltyscore,4
expectedcalibrationerror,4
kendalltau,4
humanpreference,4
cyclomaticcomplexity,4
acceptancerate,4
cleanaccuracy,4
branchcoverage,3
vqaaccuracy,3
robustness,3
querycount,3
errorrate,3
alignmentscore,3
detectionaccuracy,3
recall5,3
ari,3
entropy,3
nmi,3
brierscore,3
computationalcost,3
sharperatio,3
equalopportunity,3
generalizationscore,3
flops,3
mmluaccuracy,3
costreduction,3
riskscore,3
tasksuccessrate,3
efficiency,3
timeefficiency,3
coherencescore,3
collisionrate,3
executionsuccess,3
codecorrectness,3
mse,3
ece,3
runtime,3
compressionratio,3
bugdetectionrate,3
stabilityscore,3
slaviolationrate,3
trustscore,2
tokenoverlap,2
falsepositiverate,2
accuracydrop,2
jailbreaksuccessrate,2
humanagreement,2
mutationscore,2
tokencost,2
hitrate,2
privacyleakage,2
robustnessscore,2
socialwelfare,2
responsetime,2
generalizationgap,2
convergencespeed,2
meanaverageprecision,2
powerconsumption,2
