,count,percent
accuracy,450,15.65
f1,367,12.77
bleu,111,3.86
rouge,76,2.64
precision,71,2.47
perplexity,69,2.4
recall,69,2.4
successrate,64,2.23
latency,55,1.91
exactmatch,54,1.88
aucroc,43,1.5
throughput,32,1.11
ndcg,30,1.04
attacksuccessrate,23,0.8
pass1,17,0.59
pearson,17,0.59
cider,16,0.56
map,15,0.52
inferencetime,14,0.49
inferencelatency,14,0.49
safetyscore,14,0.49
rmse,14,0.49
toxicityscore,14,0.49
codebleu,14,0.49
biasscore,13,0.45
cohenskappa,13,0.45
auc,12,0.42
mrr,11,0.38
bertscore,11,0.38
memoryusage,11,0.38
cosinesimilarity,10,0.35
humanevaluation,10,0.35
mae,10,0.35
meanabsoluteerror,10,0.35
spearman,9,0.31
taskaccuracy,9,0.31
kldivergence,8,0.28
precision1,8,0.28
rsquared,8,0.28
coverage,7,0.24
meansquarederror,7,0.24
costefficiency,7,0.24
tokencount,7,0.24
humanrating,7,0.24
speedup,6,0.21
executiontime,6,0.21
testpassrate,6,0.21
empathyscore,6,0.21
recall10,6,0.21
winrate,5,0.17
fid,5,0.17
consistency,5,0.17
hallucinationrate,5,0.17
cumulativereward,5,0.17
compilationrate,5,0.17
cooperationrate,5,0.17
harmfulnessscore,5,0.17
refusalrate,5,0.17
trainingtime,5,0.17
passrate,5,0.17
cost,5,0.17
executionaccuracy,5,0.17
iou,5,0.17
meteor,5,0.17
helpfulnessscore,5,0.17
recall1,5,0.17
codecoverage,4,0.14
averagelatency,4,0.14
energy,4,0.14
energypertoken,4,0.14
calibrationerror,4,0.14
consistencyscore,4,0.14
clipscore,4,0.14
mape,4,0.14
noveltyscore,4,0.14
expectedcalibrationerror,4,0.14
kendalltau,4,0.14
humanpreference,4,0.14
cyclomaticcomplexity,4,0.14
acceptancerate,4,0.14
cleanaccuracy,4,0.14
branchcoverage,3,0.1
vqaaccuracy,3,0.1
robustness,3,0.1
querycount,3,0.1
errorrate,3,0.1
alignmentscore,3,0.1
detectionaccuracy,3,0.1
recall5,3,0.1
ari,3,0.1
entropy,3,0.1
nmi,3,0.1
brierscore,3,0.1
computationalcost,3,0.1
sharperatio,3,0.1
equalopportunity,3,0.1
generalizationscore,3,0.1
flops,3,0.1
mmluaccuracy,3,0.1
costreduction,3,0.1
riskscore,3,0.1
tasksuccessrate,3,0.1
efficiency,3,0.1
timeefficiency,3,0.1
coherencescore,3,0.1
collisionrate,3,0.1
executionsuccess,3,0.1
codecorrectness,3,0.1
mse,3,0.1
ece,3,0.1
runtime,3,0.1
compressionratio,3,0.1
bugdetectionrate,3,0.1
stabilityscore,3,0.1
slaviolationrate,3,0.1
trustscore,2,0.07
tokenoverlap,2,0.07
falsepositiverate,2,0.07
accuracydrop,2,0.07
jailbreaksuccessrate,2,0.07
humanagreement,2,0.07
mutationscore,2,0.07
tokencost,2,0.07
hitrate,2,0.07
privacyleakage,2,0.07
robustnessscore,2,0.07
socialwelfare,2,0.07
responsetime,2,0.07
generalizationgap,2,0.07
convergencespeed,2,0.07
meanaverageprecision,2,0.07
powerconsumption,2,0.07
ndcg10,2,0.07
semanticfidelity,2,0.07
computationtime,2,0.07
fairnessmetric,2,0.07
sensitivity,2,0.07
communicationcost,2,0.07
tokenspersecond,2,0.07
kappascore,2,0.07
semanticsimilarity,2,0.07
fairnessscore,2,0.07
backdoorsuccessrate,2,0.07
factualaccuracy,2,0.07
cer,2,0.07
functionalcorrectness,2,0.07
silhouettescore,2,0.07
probingaccuracy,2,0.07
sequenceaccuracy,2,0.07
taillatency,2,0.07
wer,2,0.07
linecoverage,2,0.07
agreementrate,2,0.07
patchsuccessrate,2,0.07
purity,2,0.07
semanticaccuracy,2,0.07
instructionaccuracy,2,0.07
reasoningaccuracy,2,0.07
completiontime,2,0.07
asr,2,0.07
fpr95,2,0.07
sampleefficiency,2,0.07
mos,2,0.07
syntacticcorrectness,2,0.07
lossvariance,2,0.07
harmrate,2,0.07
mota,2,0.07
hota,2,0.07
tokenefficiency,2,0.07
forgettingscore,2,0.07
identityconsistency,2,0.07
adversarialaccuracy,2,0.07
rocauc,2,0.07
expertrating,2,0.07
timetaken,2,0.07
spatialaccuracy,2,0.07
sloattainment,2,0.07
optimizationtime,2,0.07
bestfitness,2,0.07
spl,2,0.07
bugcount,2,0.07
recallk,2,0.07
planaccuracy,2,0.07
stepcount,2,0.07
benignaccuracy,2,0.07
timecost,2,0.07
hallucinationscore,2,0.07
codequality,2,0.07
maximumdrawdown,2,0.07
inferencespeed,2,0.07
optimalitygap,2,0.07
demographicparity,2,0.07
tokenusage,2,0.07
qualityscore,2,0.07
uncertaintyscore,2,0.07
precision10,2,0.07
correlation,2,0.07
worderrorrate,2,0.07
distinct1,2,0.07
miou,2,0.07
chamferdistance,2,0.07
plannersuccessrate,2,0.07
ethicalaccuracy,2,0.07
bestaccuracy,2,0.07
rewardscore,2,0.07
utilityscore,2,0.07
safetycompliance,2,0.07
averagecost,2,0.07
sparsity,2,0.07
nasatlx,2,0.07
responselatency,2,0.07
kappa,2,0.07
spatialiou,2,0.07
meanreciprocalrank,2,0.07
compliancerate,2,0.07
humanratings,2,0.07
kld,1,0.03
attackaccuracy,1,0.03
readabilityscore,1,0.03
topiccoherence,1,0.03
rewardrate,1,0.03
latency99th,1,0.03
hr,1,0.03
satisfactionscore,1,0.03
leakagerate,1,0.03
privacyepsilon,1,0.03
temporaliou,1,0.03
faithfulnessscore,1,0.03
truthfulqamc,1,0.03
ragas,1,0.03
factscore,1,0.03
predictionerror,1,0.03
localizationaccuracy,1,0.03
gapscore,1,0.03
fps,1,0.03
areausage,1,0.03
patchqualityscore,1,0.03
functionalcorrectnessscore,1,0.03
compilationsuccessrate,1,0.03
reconstructionerror,1,0.03
humanpreferencescore,1,0.03
languagewiseaccuracy,1,0.03
macroaverage,1,0.03
costperjudgment,1,0.03
exam,1,0.03
rankingcorrelation,1,0.03
separabilityaccuracy,1,0.03
memoryrecall,1,0.03
contextconsistency,1,0.03
schemacompliance,1,0.03
jsonvalidity,1,0.03
semanticequivalence,1,0.03
statisticalsignificancetest,1,0.03
harmfulrefusalrate,1,0.03
p99latency,1,0.03
exploitabilityscore,1,0.03
usersatisfaction,1,0.03
gpumemory,1,0.03
normalizedscore,1,0.03
sdr,1,0.03
toolusagerate,1,0.03
confidenceintervalcoverage,1,0.03
biascorrectedaccuracy,1,0.03
entityrecall,1,0.03
factcheckingaccuracy,1,0.03
tokenaccuracy,1,0.03
kernelalignment,1,0.03
varianceexplained,1,0.03
relationaccuracy,1,0.03
diagramaccuracy,1,0.03
timespent,1,0.03
knowledgegain,1,0.03
factcc,1,0.03
tuningtime,1,0.03
fde,1,0.03
ade,1,0.03
martingalescore,1,0.03
balancedaccuracy,1,0.03
retrievalprecision,1,0.03
repairaccuracy,1,0.03
rulecount,1,0.03
bisectsteps,1,0.03
flipcount,1,0.03
explainabilitymetric,1,0.03
truthfulaccuracy,1,0.03
convergencerate,1,0.03
speedscore,1,0.03
hypervolume,1,0.03
diversityscore,1,0.03
spectralmse,1,0.03
communityalignment,1,0.03
epistemicstability,1,0.03
stanceconsistency,1,0.03
llmcallcount,1,0.03
mase,1,0.03
smape,1,0.03
roundtripaccuracy,1,0.03
saliencyaccuracy,1,0.03
moralfoundationaccuracy,1,0.03
bitaccuracy,1,0.03
sustainabilityindex,1,0.03
averagepayoff,1,0.03
stressresilience,1,0.03
alignmentconsistency,1,0.03
ethicalentropy,1,0.03
adaptationscore,1,0.03
motionfid,1,0.03
tasksuccess,1,0.03
turnefficiency,1,0.03
chair,1,0.03
legalaccuracy,1,0.03
stepcorrectionrate,1,0.03
rectificationaccuracy,1,0.03
failovertime,1,0.03
checkpointtime,1,0.03
trainingloss,1,0.03
egoismscore,1,0.03
miaaucroc,1,0.03
miaaccuracy,1,0.03
giniindex,1,0.03
itemexposuredisparity,1,0.03
falserejectionrate,1,0.03
refusalinconsistencyrate,1,0.03
semanticconfusionscore,1,0.03
securitybits,1,0.03
timetofirsttoken,1,0.03
coldstartlatency,1,0.03
sentimentaccuracy,1,0.03
fairnessdiscrepancy,1,0.03
jsdivergence,1,0.03
convergenceiterations,1,0.03
groundingaccuracy,1,0.03
taskcompletion,1,0.03
emotionaccuracy,1,0.03
temporalprecision,1,0.03
hierarchicalscore,1,0.03
uniquecrashes,1,0.03
pathlength,1,0.03
planningtime,1,0.03
positionalaccuracy,1,0.03
attacksuccess,1,0.03
politicalbias,1,0.03
tokenlevelaccuracy,1,0.03
datafidelity,1,0.03
meanrank,1,0.03
energysavings,1,0.03
averageturns,1,0.03
toolbench,1,0.03
gsm8k,1,0.03
mmlu,1,0.03
beliefconsistency,1,0.03
actionaccuracy,1,0.03
riskmeasure,1,0.03
costperinference,1,0.03
generationspeed,1,0.03
selfbleu,1,0.03
normalizedmutualinformation,1,0.03
adjustedrandindex,1,0.03
drivingscore,1,0.03
fairnessgap,1,0.03
chisquared,1,0.03
confidencescore,1,0.03
validationaccuracy,1,0.03
chisquaregoodnessoffit,1,0.03
wassersteindistance,1,0.03
kolmogorovsmirnovstatistic,1,0.03
plancost,1,0.03
silhouette,1,0.03
quadratickappa,1,0.03
pluralismscore,1,0.03
creativitymetric,1,0.03
relevancescore,1,0.03
humanfunniness,1,0.03
clickthroughrate,1,0.03
shapanalysis,1,0.03
parameterreconstructionaccuracy,1,0.03
bypassrate,1,0.03
jaccardsimilarity,1,0.03
trials,1,0.03
time,1,0.03
expertcomparison,1,0.03
toolmisusescore,1,0.03
threatfrequencyrate,1,0.03
threatseverityscore,1,0.03
cpuutilization,1,0.03
piirecall,1,0.03
aucpr,1,0.03
cka,1,0.03
bandwidthusage,1,0.03
gradecorrelation,1,0.03
shapvaluecorrelation,1,0.03
beliefactioncoherence,1,0.03
shannonentropy,1,0.03
sequencerecovery,1,0.03
tmscore,1,0.03
jaccardindex,1,0.03
fleisskappa,1,0.03
toolreuserate,1,0.03
optimizationqualityscore,1,0.03
demographicbias,1,0.03
inferencecost,1,0.03
clinicaltrialoverlap,1,0.03
serenqavalidation,1,0.03
riskprevalence,1,0.03
severityscore,1,0.03
semanticentropy,1,0.03
aucscore,1,0.03
toolutilization,1,0.03
coordinationscore,1,0.03
preferenceaccuracy,1,0.03
stepefficiency,1,0.03
reasoningscore,1,0.03
parallelcoverage,1,0.03
vulnerabilityrate,1,0.03
passk,1,0.03
inputcoverage,1,0.03
syntaxcorrectness,1,0.03
timetomitigate,1,0.03
retainaccuracy,1,0.03
meanreward,1,0.03
humaninterventionfrequency,1,0.03
concealmentrate,1,0.03
disclosurerate,1,0.03
vulnerabilitycount,1,0.03
functionscore,1,0.03
perceptionaverage,1,0.03
susscore,1,0.03
meandistance,1,0.03
answeraccuracy,1,0.03
em,1,0.03
guidelinescore,1,0.03
syntaxscore,1,0.03
jointaccuracy,1,0.03
spectrumreconstructionerror,1,0.03
designaccuracy,1,0.03
decisioncost,1,0.03
riskcoverage,1,0.03
repetitionrate,1,0.03
stepreduction,1,0.03
area,1,0.03
excessrisk,1,0.03
savingtime,1,0.03
checkpointsize,1,0.03
editdistance,1,0.03
fidelityscore,1,0.03
adaptationspeed,1,0.03
scalability,1,0.03
truthfulness,1,0.03
compilationsuccess,1,0.03
objectivecorrectness,1,0.03
constraintaccuracy,1,0.03
exactmatchaccuracy,1,0.03
intercoderagreement,1,0.03
humaneval,1,0.03
harmscore,1,0.03
biasmetric,1,0.03
faultdetection,1,0.03
taskcompletionrate,1,0.03
aic,1,0.03
faithfulness,1,0.03
stabilityindex,1,0.03
astmatch,1,0.03
improvementrate,1,0.03
energyconsumption,1,0.03
covertnessscore,1,0.03
toolusagereliability,1,0.03
testscore,1,0.03
forecastaccuracy,1,0.03
mutualinformation,1,0.03
tasktime,1,0.03
resolutionaccuracy,1,0.03
hitratio,1,0.03
toolaccuracy,1,0.03
charactererrorrate,1,0.03
semanticvalidity,1,0.03
syntacticvalidity,1,0.03
dialogueconsistency,1,0.03
goodput,1,0.03
latencyoverhead,1,0.03
toxicity,1,0.03
persuasionscore,1,0.03
riskawareness,1,0.03
conversionrate,1,0.03
controladherence,1,0.03
correlationcoefficient,1,0.03
logloss,1,0.03
harmlessnessscore,1,0.03
blindrejectionrate,1,0.03
lemmaaccuracy,1,0.03
constraintsatisfaction,1,0.03
expectedcost,1,0.03
solutionerror,1,0.03
peakmemory,1,0.03
defenseefficacy,1,0.03
validitypercentage,1,0.03
ablationaccuracy,1,0.03
agreementscore,1,0.03
tokencompressionratio,1,0.03
securitycompliancescore,1,0.03
elorating,1,0.03
moveaccuracy,1,0.03
quadraticweightedkappa,1,0.03
publicationacceptance,1,0.03
feasibilityrate,1,0.03
interpretabilityscore,1,0.03
traceabilityscore,1,0.03
redundancyscore,1,0.03
optimizationiterations,1,0.03
rewardvariance,1,0.03
codeaccuracy,1,0.03
statisticalparity,1,0.03
trainingspeed,1,0.03
checklistcompliance,1,0.03
tomaccuracy,1,0.03
syntaxvalidity,1,0.03
llmjudge,1,0.03
urdfvalidity,1,0.03
