,percent
accuracy,15.65
f1,12.77
bleu,3.86
rouge,2.64
precision,2.47
perplexity,2.4
recall,2.4
successrate,2.23
latency,1.91
exactmatch,1.88
aucroc,1.5
throughput,1.11
ndcg,1.04
attacksuccessrate,0.8
pass1,0.59
pearson,0.59
cider,0.56
map,0.52
inferencetime,0.49
inferencelatency,0.49
safetyscore,0.49
rmse,0.49
toxicityscore,0.49
codebleu,0.49
biasscore,0.45
cohenskappa,0.45
auc,0.42
mrr,0.38
bertscore,0.38
memoryusage,0.38
cosinesimilarity,0.35
humanevaluation,0.35
mae,0.35
meanabsoluteerror,0.35
spearman,0.31
taskaccuracy,0.31
kldivergence,0.28
precision1,0.28
rsquared,0.28
coverage,0.24
meansquarederror,0.24
costefficiency,0.24
tokencount,0.24
humanrating,0.24
speedup,0.21
executiontime,0.21
testpassrate,0.21
empathyscore,0.21
recall10,0.21
winrate,0.17
fid,0.17
consistency,0.17
hallucinationrate,0.17
cumulativereward,0.17
compilationrate,0.17
cooperationrate,0.17
harmfulnessscore,0.17
refusalrate,0.17
trainingtime,0.17
passrate,0.17
cost,0.17
executionaccuracy,0.17
iou,0.17
meteor,0.17
helpfulnessscore,0.17
recall1,0.17
codecoverage,0.14
averagelatency,0.14
energy,0.14
energypertoken,0.14
calibrationerror,0.14
consistencyscore,0.14
clipscore,0.14
mape,0.14
noveltyscore,0.14
expectedcalibrationerror,0.14
kendalltau,0.14
humanpreference,0.14
cyclomaticcomplexity,0.14
acceptancerate,0.14
cleanaccuracy,0.14
branchcoverage,0.1
vqaaccuracy,0.1
robustness,0.1
querycount,0.1
errorrate,0.1
alignmentscore,0.1
detectionaccuracy,0.1
recall5,0.1
ari,0.1
entropy,0.1
nmi,0.1
brierscore,0.1
computationalcost,0.1
sharperatio,0.1
equalopportunity,0.1
generalizationscore,0.1
flops,0.1
mmluaccuracy,0.1
costreduction,0.1
riskscore,0.1
tasksuccessrate,0.1
efficiency,0.1
timeefficiency,0.1
coherencescore,0.1
collisionrate,0.1
executionsuccess,0.1
codecorrectness,0.1
mse,0.1
ece,0.1
runtime,0.1
compressionratio,0.1
bugdetectionrate,0.1
stabilityscore,0.1
slaviolationrate,0.1
trustscore,0.07
tokenoverlap,0.07
falsepositiverate,0.07
accuracydrop,0.07
jailbreaksuccessrate,0.07
humanagreement,0.07
mutationscore,0.07
tokencost,0.07
hitrate,0.07
privacyleakage,0.07
robustnessscore,0.07
socialwelfare,0.07
responsetime,0.07
generalizationgap,0.07
convergencespeed,0.07
meanaverageprecision,0.07
powerconsumption,0.07
ndcg10,0.07
semanticfidelity,0.07
computationtime,0.07
fairnessmetric,0.07
sensitivity,0.07
communicationcost,0.07
tokenspersecond,0.07
kappascore,0.07
semanticsimilarity,0.07
fairnessscore,0.07
backdoorsuccessrate,0.07
factualaccuracy,0.07
cer,0.07
functionalcorrectness,0.07
silhouettescore,0.07
probingaccuracy,0.07
sequenceaccuracy,0.07
taillatency,0.07
wer,0.07
linecoverage,0.07
agreementrate,0.07
patchsuccessrate,0.07
purity,0.07
semanticaccuracy,0.07
instructionaccuracy,0.07
reasoningaccuracy,0.07
completiontime,0.07
asr,0.07
fpr95,0.07
sampleefficiency,0.07
mos,0.07
syntacticcorrectness,0.07
lossvariance,0.07
harmrate,0.07
mota,0.07
hota,0.07
tokenefficiency,0.07
forgettingscore,0.07
identityconsistency,0.07
adversarialaccuracy,0.07
rocauc,0.07
expertrating,0.07
timetaken,0.07
spatialaccuracy,0.07
sloattainment,0.07
optimizationtime,0.07
bestfitness,0.07
spl,0.07
bugcount,0.07
recallk,0.07
planaccuracy,0.07
stepcount,0.07
benignaccuracy,0.07
timecost,0.07
hallucinationscore,0.07
codequality,0.07
maximumdrawdown,0.07
inferencespeed,0.07
optimalitygap,0.07
demographicparity,0.07
tokenusage,0.07
qualityscore,0.07
uncertaintyscore,0.07
precision10,0.07
correlation,0.07
worderrorrate,0.07
distinct1,0.07
miou,0.07
chamferdistance,0.07
plannersuccessrate,0.07
ethicalaccuracy,0.07
bestaccuracy,0.07
rewardscore,0.07
utilityscore,0.07
safetycompliance,0.07
averagecost,0.07
sparsity,0.07
nasatlx,0.07
responselatency,0.07
kappa,0.07
spatialiou,0.07
meanreciprocalrank,0.07
compliancerate,0.07
humanratings,0.07
kld,0.03
attackaccuracy,0.03
readabilityscore,0.03
topiccoherence,0.03
rewardrate,0.03
latency99th,0.03
hr,0.03
satisfactionscore,0.03
leakagerate,0.03
privacyepsilon,0.03
temporaliou,0.03
faithfulnessscore,0.03
truthfulqamc,0.03
ragas,0.03
factscore,0.03
predictionerror,0.03
localizationaccuracy,0.03
gapscore,0.03
fps,0.03
areausage,0.03
patchqualityscore,0.03
functionalcorrectnessscore,0.03
compilationsuccessrate,0.03
reconstructionerror,0.03
humanpreferencescore,0.03
languagewiseaccuracy,0.03
macroaverage,0.03
costperjudgment,0.03
exam,0.03
rankingcorrelation,0.03
separabilityaccuracy,0.03
memoryrecall,0.03
contextconsistency,0.03
schemacompliance,0.03
jsonvalidity,0.03
semanticequivalence,0.03
statisticalsignificancetest,0.03
harmfulrefusalrate,0.03
p99latency,0.03
exploitabilityscore,0.03
usersatisfaction,0.03
gpumemory,0.03
normalizedscore,0.03
sdr,0.03
toolusagerate,0.03
confidenceintervalcoverage,0.03
biascorrectedaccuracy,0.03
entityrecall,0.03
factcheckingaccuracy,0.03
tokenaccuracy,0.03
kernelalignment,0.03
varianceexplained,0.03
relationaccuracy,0.03
diagramaccuracy,0.03
timespent,0.03
knowledgegain,0.03
factcc,0.03
tuningtime,0.03
fde,0.03
ade,0.03
martingalescore,0.03
balancedaccuracy,0.03
retrievalprecision,0.03
repairaccuracy,0.03
rulecount,0.03
bisectsteps,0.03
flipcount,0.03
explainabilitymetric,0.03
truthfulaccuracy,0.03
convergencerate,0.03
speedscore,0.03
hypervolume,0.03
diversityscore,0.03
