,count
gpt4,433
llama2,292
gpt3,129
claude3,116
llama3,107
bert,104
gpt2,66
t5,63
llava,51
llama,50
codellama,49
llama270b,46
roberta,32
mistral,30
gemini15pro,28
mistral7b,28
gpt4v,28
gpt35,25
videollama,22
randomforest,22
blip2,20
clip,19
codebert,18
gemini,16
llama7b,15
flamingo,15
blip,14
clinicalbert,14
mt5,13
gpt4o,12
codex,11
ppo,11
distilbert,11
gpt35turbo,10
claude,9
biobert,9
xlmr,9
transformer,9
codet5,9
mbert,8
xlmroberta,8
deepseekcoder,8
llama38b,8
mixtral,8
bloom,7
starcoder,6
switchtransformer,6
lstm,6
deberta,6
llama213b,6
xgboost,6
dpr,6
gcn,5
logisticregression,5
codellama7b,5
whisper,5
gemini15,4
phi2,4
llama3170b,4
bert4rec,4
resnet50,4
sasrec,4
videochatgpt,4
llama31,4
diffusionlm,4
flant5,4
smolvlm21b,3
sentencebert,3
scibert,3
phi3mini,3
geneticalgorithm,3
llama2chat,3
resnet,3
bm25,3
dqn,3
sac,3
lightgbm,3
deepseekr1,3
vicuna,3
multiagentllmframework,3
linearregression,3
opt,3
graphsage,3
t5small,3
qwen37b,3
chemberta,3
graphneuralnetwork,3
gemma2b,2
tinybert,2
biomedclip,2
gnn,2
falcon40b,2
gemini25flash,2
rag,2
cnnlstm,2
arabert,2
qwen253b,2
finetunedbert,2
valle,2
3dllm,2
llamaguard,2
gpt2small,2
timesformer,2
gat,2
vicuna7b,2
vqdiffusion,2
palm2,2
llavamed,2
opt67b,2
t5base,2
medpalm,2
chatgpt,2
deepqnetwork,2
pointclip,2
pointnet,2
pythia,2
chatglm,2
bertbase,2
gpt4omini,2
videochat,2
multiagentllm,2
yolov8,2
t5large,2
codellama13b,2
cvarreinforcementlearning,2
vlnbert,2
llamavid,2
gpt,2
audiolm,2
clap,2
finbert,2
falcon,2
deepseekv2,2
fedavg,2
wav2vec2,2
palm,2
physicsinformednn,2
mixtral8x7b,2
matrixfactorization,2
llava3d,1
spatiotemporalgnn,1
mixtureofexpertsmodel,1
treelstm,1
t53b,1
rebel,1
claudesonnet4,1
routernetwork,1
bertopic,1
vitb,1
performer,1
bigbird,1
longformer,1
adaloral,1
lora,1
flant5large,1
vlmo,1
umap,1
hierarchicaltransformer,1
transfuser,1
keyvaluemapper,1
tokencompressedvit,1
bertscore,1
vqvae,1
iql,1
3dresnet,1
bhdrag,1
ragsystem,1
medpalm2,1
cmaes,1
nsgaii,1
unitrack,1
gptoss,1
communityft,1
timellm,1
hflflowllm,1
tabtransformer,1
robertalarge,1
gemma,1
ochiai,1
tarantula,1
neuralnetwork,1
falcon7b,1
blenderbot,1
blink,1
oneclasssvm,1
llavanextvideo,1
bertlarge,1
exprag,1
salmonnguard,1
salmonn,1
m2m100,1
qwen253binstruct,1
ufoframework,1
vgg16,1
resnet20,1
pointbind,1
azurenlp,1
codegen,1
motiongpt,1
multimodalbert,1
ernie,1
clip3d,1
toolgraph,1
graphdiffusion,1
t5temporal,1
baichuan13b,1
chatglm6b,1
harnessagent,1
actionchunkingtransformer,1
gemma7b,1
gemma2,1
remem,1
isolationforest,1
geodetective,1
jitline,1
deepjit,1
drsoss,1
tinyllama,1
gpt4oagents,1
chatgpt4o,1
airl,1
dalle3,1
ragmodel,1
autoformer,1
informer,1
dominant,1
mobilebert,1
omnivl,1
gpt41,1
nerf,1
stablediffusion,1
meanreinforcementlearning,1
heuristicmodel,1
hpcagenttester,1
finetunedgpt35,1
ofa,1
esm2,1
longchat,1
llamalong,1
wav2vec,1
bayesianoptimization,1
randomsearch,1
llama27bita,1
polylmita,1
italpaca,1
sftmodel,1
tabllm,1
randomtesting,1
llama2llm,1
gemini2,1
causalforest,1
avllm,1
qwenvl,1
phi,1
claude2,1
speecht5,1
conv1d,1
timeseriestransformer,1
videobert,1
largelanguagemodel,1
contrastiveencoder,1
randombaseline,1
meditron7b,1
rt2,1
medclip,1
mathllama7b,1
c51,1
gradientboostingmachines,1
xceptionmodel,1
ensemble,1
mlpsurrogate,1
blipmoe,1
flamingomoe,1
llavamodel,1
randomeffects,1
panelregression,1
phenomizer,1
pandas,1
bertimbau,1
reformer,1
gurobi,1
tcmllm,1
openaiwhisper,1
motioncvae,1
qwen3,1
llamaindex,1
langchain,1
sqlcoder,1
whispermodel,1
transformerencoder,1
bertzh,1
leandojo,1
albef,1
physicsinformedneuralnetwork,1
banglat5,1
claude35sonnet,1
toolformer,1
graphretriever,1
gnnllm,1
vit,1
pythia69b,1
maskrcnn,1
bertembeddings,1
pointbert,1
3dcnn,1
graphcl,1
dcrnn,1
bloom7b1,1
gptneo,1
eureqa,1
gemma34b,1
glowtts,1
mappo,1
heterogeneousgraphtransformer,1
svm,1
lda,1
minigpt4,1
bgem3,1
eusroberta,1
iidcharactermodel,1
czechbert,1
dreamerv3,1
deepseek,1
medflamingo,1
mctsenhancedllm,1
gpt4finetuned,1
neuralode,1
vicuna13b,1
qwen314b,1
hybridmambatransformer,1
mamba,1
textgnn,1
bertgcn,1
llama323b,1
gemininano,1
clipvil,1
afriberta,1
vlmoe,1
multiagentsystem,1
retrievalgpt,1
eegnet,1
anonymizationmodel,1
dentalmllm,1
hierarchicalbandit,1
geneticprogramming,1
