,count,percent
gpt4,433,17.12
llama2,292,11.55
gpt3,129,5.1
claude3,116,4.59
llama3,107,4.23
bert,104,4.11
gpt2,66,2.61
t5,63,2.49
llava,51,2.02
llama,50,1.98
codellama,49,1.94
llama270b,46,1.82
roberta,32,1.27
mistral,30,1.19
gemini15pro,28,1.11
mistral7b,28,1.11
gpt4v,28,1.11
gpt35,25,0.99
videollama,22,0.87
randomforest,22,0.87
blip2,20,0.79
clip,19,0.75
codebert,18,0.71
gemini,16,0.63
llama7b,15,0.59
flamingo,15,0.59
blip,14,0.55
clinicalbert,14,0.55
mt5,13,0.51
gpt4o,12,0.47
codex,11,0.43
ppo,11,0.43
distilbert,11,0.43
gpt35turbo,10,0.4
claude,9,0.36
biobert,9,0.36
xlmr,9,0.36
transformer,9,0.36
codet5,9,0.36
mbert,8,0.32
xlmroberta,8,0.32
deepseekcoder,8,0.32
llama38b,8,0.32
mixtral,8,0.32
bloom,7,0.28
starcoder,6,0.24
switchtransformer,6,0.24
lstm,6,0.24
deberta,6,0.24
llama213b,6,0.24
xgboost,6,0.24
dpr,6,0.24
gcn,5,0.2
logisticregression,5,0.2
codellama7b,5,0.2
whisper,5,0.2
gemini15,4,0.16
phi2,4,0.16
llama3170b,4,0.16
bert4rec,4,0.16
resnet50,4,0.16
sasrec,4,0.16
videochatgpt,4,0.16
llama31,4,0.16
diffusionlm,4,0.16
flant5,4,0.16
smolvlm21b,3,0.12
sentencebert,3,0.12
scibert,3,0.12
phi3mini,3,0.12
geneticalgorithm,3,0.12
llama2chat,3,0.12
resnet,3,0.12
bm25,3,0.12
dqn,3,0.12
sac,3,0.12
lightgbm,3,0.12
deepseekr1,3,0.12
vicuna,3,0.12
multiagentllmframework,3,0.12
linearregression,3,0.12
opt,3,0.12
graphsage,3,0.12
t5small,3,0.12
qwen37b,3,0.12
chemberta,3,0.12
graphneuralnetwork,3,0.12
gemma2b,2,0.08
tinybert,2,0.08
biomedclip,2,0.08
gnn,2,0.08
falcon40b,2,0.08
gemini25flash,2,0.08
rag,2,0.08
cnnlstm,2,0.08
arabert,2,0.08
qwen253b,2,0.08
finetunedbert,2,0.08
valle,2,0.08
3dllm,2,0.08
llamaguard,2,0.08
gpt2small,2,0.08
timesformer,2,0.08
gat,2,0.08
vicuna7b,2,0.08
