,percent
gpt4,17.12
llama2,11.55
gpt3,5.1
claude3,4.59
llama3,4.23
bert,4.11
gpt2,2.61
t5,2.49
llava,2.02
llama,1.98
codellama,1.94
llama270b,1.82
roberta,1.27
mistral,1.19
gemini15pro,1.11
mistral7b,1.11
gpt4v,1.11
gpt35,0.99
videollama,0.87
randomforest,0.87
blip2,0.79
clip,0.75
codebert,0.71
gemini,0.63
llama7b,0.59
flamingo,0.59
blip,0.55
clinicalbert,0.55
mt5,0.51
gpt4o,0.47
codex,0.43
ppo,0.43
distilbert,0.43
gpt35turbo,0.4
claude,0.36
biobert,0.36
xlmr,0.36
transformer,0.36
codet5,0.36
mbert,0.32
xlmroberta,0.32
deepseekcoder,0.32
llama38b,0.32
mixtral,0.32
bloom,0.28
starcoder,0.24
switchtransformer,0.24
lstm,0.24
deberta,0.24
llama213b,0.24
xgboost,0.24
dpr,0.24
gcn,0.2
logisticregression,0.2
codellama7b,0.2
whisper,0.2
gemini15,0.16
phi2,0.16
llama3170b,0.16
bert4rec,0.16
resnet50,0.16
sasrec,0.16
videochatgpt,0.16
llama31,0.16
diffusionlm,0.16
flant5,0.16
smolvlm21b,0.12
sentencebert,0.12
scibert,0.12
phi3mini,0.12
geneticalgorithm,0.12
llama2chat,0.12
resnet,0.12
bm25,0.12
dqn,0.12
sac,0.12
lightgbm,0.12
deepseekr1,0.12
vicuna,0.12
multiagentllmframework,0.12
linearregression,0.12
opt,0.12
graphsage,0.12
t5small,0.12
qwen37b,0.12
chemberta,0.12
graphneuralnetwork,0.12
gemma2b,0.08
tinybert,0.08
biomedclip,0.08
gnn,0.08
falcon40b,0.08
gemini25flash,0.08
rag,0.08
cnnlstm,0.08
arabert,0.08
qwen253b,0.08
finetunedbert,0.08
valle,0.08
3dllm,0.08
llamaguard,0.08
gpt2small,0.08
timesformer,0.08
gat,0.08
vicuna7b,0.08
vqdiffusion,0.08
palm2,0.08
llavamed,0.08
opt67b,0.08
t5base,0.08
medpalm,0.08
chatgpt,0.08
deepqnetwork,0.08
pointclip,0.08
pointnet,0.08
pythia,0.08
chatglm,0.08
bertbase,0.08
gpt4omini,0.08
videochat,0.08
multiagentllm,0.08
yolov8,0.08
t5large,0.08
codellama13b,0.08
cvarreinforcementlearning,0.08
vlnbert,0.08
llamavid,0.08
gpt,0.08
audiolm,0.08
clap,0.08
finbert,0.08
falcon,0.08
deepseekv2,0.08
fedavg,0.08
wav2vec2,0.08
palm,0.08
physicsinformednn,0.08
mixtral8x7b,0.08
matrixfactorization,0.08
llava3d,0.04
spatiotemporalgnn,0.04
mixtureofexpertsmodel,0.04
treelstm,0.04
t53b,0.04
rebel,0.04
claudesonnet4,0.04
routernetwork,0.04
bertopic,0.04
vitb,0.04
performer,0.04
bigbird,0.04
longformer,0.04
adaloral,0.04
lora,0.04
flant5large,0.04
vlmo,0.04
umap,0.04
hierarchicaltransformer,0.04
transfuser,0.04
keyvaluemapper,0.04
tokencompressedvit,0.04
bertscore,0.04
vqvae,0.04
iql,0.04
3dresnet,0.04
bhdrag,0.04
ragsystem,0.04
medpalm2,0.04
cmaes,0.04
nsgaii,0.04
unitrack,0.04
gptoss,0.04
communityft,0.04
timellm,0.04
hflflowllm,0.04
tabtransformer,0.04
robertalarge,0.04
gemma,0.04
ochiai,0.04
tarantula,0.04
neuralnetwork,0.04
falcon7b,0.04
blenderbot,0.04
blink,0.04
oneclasssvm,0.04
llavanextvideo,0.04
bertlarge,0.04
exprag,0.04
salmonnguard,0.04
salmonn,0.04
m2m100,0.04
qwen253binstruct,0.04
ufoframework,0.04
vgg16,0.04
resnet20,0.04
pointbind,0.04
azurenlp,0.04
codegen,0.04
motiongpt,0.04
multimodalbert,0.04
ernie,0.04
clip3d,0.04
toolgraph,0.04
graphdiffusion,0.04
t5temporal,0.04
baichuan13b,0.04
chatglm6b,0.04
harnessagent,0.04
actionchunkingtransformer,0.04
gemma7b,0.04
gemma2,0.04
remem,0.04
isolationforest,0.04
geodetective,0.04
jitline,0.04
deepjit,0.04
drsoss,0.04
tinyllama,0.04
gpt4oagents,0.04
chatgpt4o,0.04
airl,0.04
dalle3,0.04
ragmodel,0.04
autoformer,0.04
informer,0.04
dominant,0.04
mobilebert,0.04
omnivl,0.04
gpt41,0.04
nerf,0.04
stablediffusion,0.04
meanreinforcementlearning,0.04
heuristicmodel,0.04
hpcagenttester,0.04
finetunedgpt35,0.04
ofa,0.04
esm2,0.04
longchat,0.04
llamalong,0.04
wav2vec,0.04
