,count
f1,215
accuracy,179
exactmatch,125
perplexity,96
rouge,81
attacksuccessrate,71
bertscore,61
pass1,61
inferencelatency,56
aucroc,56
successrate,42
pearson,38
bleu,32
cohenskappa,31
zeroshotaccuracy,29
passk,27
cider,27
codebleu,26
ndcg10,25
winrate,25
executionaccuracy,25
rmse,21
kldivergence,20
refusalrate,20
cosinesimilarity,19
recall,18
lctconsistencyscore,18
tokenspersecond,17
toxicityscore,16
precision,16
geval,16
gflops,15
spearman,14
top1accuracy,14
expectedcalibrationerror,13
recallk,13
mae,12
clipscore,12
stereotypescore,12
endtoendlatency,12
harmfulnessscore,12
falsepositiverate,11
passrate,11
compilationrate,11
recall10,10
mrr,10
tokencount,10
hallucinationrate,10
gpt4winrate,9
kendallstau,9
ciderscore,9
vqaaccuracy,9
throughput,9
compressionratio,9
precision5,9
gpt4score,9
slaviolationrate,9
ttft,8
levenshteindistance,8
tokenusage,8
jensenshannondivergence,8
cyclomaticcomplexity,8
inferencetime,8
likertscale,8
rocauc,8
auprc,8
wallclocktime,8
map,8
timetofirsttoken,8
exactmatchaccuracy,8
brierscore,8
grapheditdistance,8
convergencerate,7
memoryfootprint,7
factscore,7
mmluaccuracy,7
gpt4judge,7
pass1accuracy,7
mutationscore,7
systemthroughput,7
rsquared,7
hitratio,6
optimalitygap,6
inferencecost,6
empathyscore,6
ndcgk,6
meansquarederror,6
stepefficiency,6
mse,6
meteor,6
krippendorffsalpha,6
balancedaccuracy,6
syntaxvalidity,6
branchcoverage,6
silhouettescore,6
confusionmatrix,6
collisionrate,6
ece,5
distinctn,5
peakmemoryusage,5
cooperationrate,5
probingaccuracy,5
humanevaluation,5
hitratio10,5
meanabsoluteerror,5
energyefficiency,5
acceptancerate,5
speedupratio,5
executabilityscore,5
tokencost,5
iou,5
benignaccuracy,5
p95latency,5
wassersteindistance,5
chamferdistance,5
ragasscore,5
quadraticweightedkappa,5
generationthroughput,5
elorating,4
jaccardindex,4
logicalconsistency,4
intersectionoverunion,4
chairscore,4
codecoverage,4
retrievalaccuracy,4
logprobability,4
spice,4
sensitivity,4
tokenthroughput,4
linecoverage,4
demographicparity,4
tokenlatency,4
faithfulness,4
planlength,4
meanreciprocalrank,4
executionsuccessrate,4
ndcg,4
hitk,4
mape,4
trainingthroughput,4
forgettingrate,4
fid,4
piiextractionrate,4
mos,3
maximumdrawdown,3
spl,3
sharperatio,3
predictiveentropy,3
recall5,3
taskcompletiontime,3
ragasfaithfulness,3
logitdifference,3
averagereward,3
falserefusalrate,3
intertokenlatency,3
stepwiseaccuracy,3
adjustedrandindex,3
classificationaccuracy,3
ade,3
fde,3
areaoverhead,3
sampleefficiency,3
predictionaccuracy,3
ginicoefficient,3
comet,3
chrf,3
mmlu,3
mtbenchscore,3
detectionaccuracy,3
coherencescore,3
toolaccuracy,3
averagetokencount,3
trainingloss,3
reasoningconsistency,3
testaccuracy,3
semanticsimilarity,3
safetyscore,3
tokenefficiency,3
meanaverageprecision,3
strictaccuracy,3
compilationsuccessrate,3
geometricmeanspeedup,3
learninggain,3
gpuutilization,3
faithfulnessscore,3
selfbleu,3
logicalequivalence,3
joulespertoken,3
tasksuccessrate,3
anls,3
flopsreduction,3
recall1,3
auc,3
energypertoken,3
factcc,3
wer,3
cumulativereward,3
sparsityratio,3
peakvram,3
equalizedodds,3
cachehitrate,3
fliprate,3
interactionlatency,3
acc025,3
defectionrate,3
subgoalcompletion,3
oodgeneralizationgap,2
inferencethroughput,2
comet22,2
energydelayproduct,2
memoryrecall,2
averageaccuracy,2
backwardtransfer,2
fps,2
agreementrate,2
communicationcost,2
reasoningscore,2
attentionentropy,2
aucscore,2
attackaccuracy,2
mmluscore,2
nasatlxscore,2
reasoningfaithfulness,2
recall100,2
averagepayoff,2
robustnessscore,2
timeontask,2
matthewscorrelation,2
coverageprobability,2
llmasajudge,2
verificationaccuracy,2
logicalconsistencyscore,2
aucpr,2
calibrationerror,2
recall20,2
uniquecrashes,2
llmeval,2
timetobug,2
averageprecision,2
jaccardsimilarity,2
formalequivalencecheck,2
normalizedlearninggain,2
rewardmodelscore,2
aupr,2
taskaccuracy,2
paretoefficiency,2
latency,2
constraintaccuracy,2
communicationvolume,2
hammingdistance,2
validityrate,2
makespan,2
sloattainmentrate,2
validationloss,2
routingaccuracy,2
resolvedrate,2
jointgoalaccuracy,2
energyconsumption,2
solverate,2
totalvariationdistance,2
mutualinformation,2
humanlikertscale,2
indirecteffect,2
clusteringaccuracy,2
llmjudge,2
modelsize,2
meaniou,2
constraintviolationrate,2
rewardmean,2
averagetreatmenteffect,2
hota,2
mota,2
rejectionrate,2
memorybandwidth,2
trainingtime,2
gpumemoryusage,2
answeraccuracy,2
cleanaccuracy,2
truthfulnessscore,2
vulnerabilitydetectionrate,2
cronbachsalpha,2
querylatency,2
temporaliou,2
maintainabilityindex,2
normalizedthroughput,2
stepaccuracy,2
regret,2
pathlength,2
exactsetmatch,2
fleschkincaidgrade,2
labeldistribution,2
searchefficiency,2
semanticentropy,2
effectivebitrate,2
stepcount,2
rsa,2
answerrelevance,2
alignmentaccuracy,2
privacybudget,2
hits10,2
worderrorrate,2
charactererrorrate,2
mc1score,2
vulnerabilityrate,2
executiontime,2
cer,2
localityscore,2
equalerrorrate,2
cka,2
errorrate,2
averagequerycount,2
alignmentscore,2
popeaccuracy,2
gpt4veval,2
modelprobability,1
harmlessrate,1
boxaccuracy,1
agentcostefficiency,1
costpersuccess,1
sycophancyrate,1
accuracydrop,1
confidencedrift,1
powerlawexponent,1
heapscoefficient,1
kolmogorovsmirnovtest,1
systemlatency,1
usersatisfaction,1
integrationtime,1
turingtestrate,1
smutilization,1
l2cachehit,1
propensitysmellyscore,1
codesmelldensity,1
probeaccuracy,1
acceptancealignment,1
convergencetime,1
logfitness,1
votingalignmentaccuracy,1
lengthbiascorrelation,1
searchsteps,1
correctionaccuracy,1
matchingstringrate,1
ccsaccuracy,1
extractionsuccessrate,1
workingallianceinventory,1
helpfulness,1
safety,1
derivationaccuracy,1
stepwisevalidity,1
entitylevelaccuracy,1
variationratio,1
majk,1
thematicconsistency,1
surveylikertscores,1
totalflops,1
discoveryrate,1
syntaxcorrectness,1
shannonentropy,1
coveragescore,1
exactmatchscore,1
intrinsicdimension,1
explainedvarianceratio,1
labelflipcount,1
culturalalignmentscore,1
stereotypebiasscore,1
coldstartlatency,1
cwedensity,1
sensitivityindex,1
sentimentconsistency,1
fidelityscore,1
humanagreementrate,1
forgettingscore,1
miaaccuracy,1
silhouettecoefficient,1
daviesbouldinindex,1
inferenceaccuracy,1
bitsecuritylevel,1
ciphertextexpansion,1
verbalizeduncertainty,1
clustervariance,1
validationperplexity,1
bitaccuracy,1
seraccuracy,1
valuealignmentscore,1
jsdivergence,1
inversepropensityscore,1
checkpointoverhead,1
recoverytime,1
planningtime,1
bitwidthaverage,1
biasscore,1
drivingscore,1
routecompletion,1
infractioncount,1
redlightviolation,1
paretohypervolume,1
locomotionspeed,1
longestcommonsubsequence,1
averagepopularity,1
idiomrecognitionrate,1
semscore,1
assertionpassrate,1
wsc,1
policysize,1
martingalescore,1
llmcallcount,1
perturbationnorm,1
logspectraldistance,1
fréchetaudiodistance,1
parametermeanerror,1
geodistanceerror,1
perspectiveapiscore,1
individualpayoff,1
cumulativescore,1
convergencesteps,1
tuningtime,1
samplecomplexity,1
normalizedregret,1
bestfoundaccuracy,1
averagerank,1
semanticconsistency,1
chisquaretest,1
averageturnlength,1
userretention,1
classmatchrate,1
tanimotosimilarity,1
recall1000,1
map5095,1
completeness,1
giniindex,1
querycount,1
nlientailment,1
llmscore,1
iobandwidth,1
99thpercentilelatency,1
apisuccessrate,1
biterrorrate,1
stateaccuracy,1
beliefaccuracy,1
offerratio,1
crracoefficient,1
totaltokencost,1
clickthroughrate,1
conversionrate,1
humanpreference,1
reconstructionaccuracy,1
averagevelocity,1
3diou,1
qwkscore,1
meanrecall,1
perspectivecoverage,1
plancost,1
humanwinrate,1
visualdependencyindex,1
subgoalcompletionrate,1
jsonparserate,1
schemaadherence,1
ppametrics,1
gpuvramusage,1
intervalwidth,1
knowledgegain,1
dwelltime,1
syntaxvalidityrate,1
jointreward,1
exploitability,1
fidscore,1
apicallcount,1
retrievalprecision,1
verbalizedconfidence,1
topkoverlap,1
inversescaling,1
meanclassaccuracy,1
fewshotaccuracy,1
physicsconsistencyscore,1
averagecausaleffect,1
factorloadings,1
irtparameters,1
attributematchingratio,1
forgettingmeasure,1
timetocollision,1
exposuremetric,1
zscore,1
contextswitchoverhead,1
mcc,1
toolmisuserate,1
bestofnaccuracy,1
responsetoxicity,1
labelaccuracy,1
plcc,1
meanrank,1
fvd,1
saferesponserate,1
formatvalidity,1
tablebertscore,1
imagereward,1
codebleuscore,1
costpertoken,1
w4a4accuracy,1
srcc,1
contextrecall,1
validationaccuracy,1
cumulativeregret,1
searchcost,1
memoryfragmentation,1
asr,1
precisionrecall,1
disclosurerate,1
labelmatchingscore,1
susscore,1
taskcompletionrate,1
languageconsistencyrate,1
hammingloss,1
formulationaccuracy,1
typetokenratio,1
syntacticcomplexity,1
firsttokenlatency,1
hypervolumeindicator,1
networkavailability,1
citationrecall,1
assa,1
reasoningfidelity,1
riskscore,1
bitsperweight,1
gradientvariance,1
fieldcoveragerate,1
dommatchscore,1
cotfaithfulness,1
passratedrop,1
plausibilityrate,1
vqascore,1
testpassrate,1
contextualconsistency,1
fleisskappa,1
tripleoverlap,1
episodelength,1
cputhroughput,1
statetrackingaccuracy,1
rewardstability,1
cotconsistency,1
rewardscore,1
plddt,1
meanfirstrank,1
spectralmse,1
parametermae,1
agentbelievability,1
pci20,1
normalizedexpectedcost,1
collectivepayoff,1
scrmsd,1
tmscore,1
sequencerecovery,1
robustaccuracy,1
runtimespeedup,1
allreducelatency,1
ksteststatistic,1
top1agreement,1
serendipityscore,1
fpr95tpr,1
averagereturn,1
streetlevelaccuracy,1
meanerrordistance,1
countryaccuracy,1
temporallogiccompliance,1
tpr1fpr,1
disparateimpact,1
noveltyindex,1
legalmoverate,1
centipawnloss,1
estimatedelo,1
slotaccuracy,1
sloterrorrate,1
topsw,1
searchrate,1
vmeasure,1
statecoverage,1
timetofailure,1
statefidelity,1
semanticnoveltyscore,1
costefficiency,1
falsealarmrate,1
sequenceprobability,1
nmi,1
ari,1
peakvramusage,1
consensusrate,1
behavioraldrift,1
staticanalysisscore,1
fpr95,1
effectivebandwidth,1
normalizedscore,1
constraintsatisfactionrate,1
forgetaccuracy,1
hitrate,1
mrr10,1
relativeperformancegain,1
vectororthogonality,1
compilabilityrate,1
inferencefps,1
reasoningaccuracy,1
looseaccuracy,1
resolutionrate,1
checkpointsize,1
savinglatency,1
testbenchaccuracy,1
paren,1
bugdetectionrate,1
dragcoefficientaccuracy,1
symbolicregressionr2,1
slogoodput,1
subdomainaccuracy,1
tokenoverlap,1
labelconsistency,1
riskdetectionrate,1
planfeasibility,1
parsingrate,1
solvabilityrate,1
planoptimality,1
cohensd,1
cityaccuracy,1
goalconditionsuccess,1
averagesteps,1
pspk,1
logloss,1
downstreamaccuracy,1
blindrejectionrate,1
inferencecount,1
instructionfollowingscore,1
ned,1
pairwiseaccuracy,1
synthesistime,1
constraintsatisfaction,1
persuasionrate,1
buildsuccessrate,1
resultdeviation,1
badgeaccuracy,1
inputperplexity,1
strouhalnumbererror,1
amplituderesponsermse,1
jsonvalidityrate,1
adefde,1
ttc,1
jsd,1
ablationscore,1
factualityscore,1
instructioncompliance,1
usertrustscore,1
codeqlalertcount,1
feedbackacceptance,1
rmsea,1
cfi,1
srmr,1
examscore,1
pvalue,1
qwk,1
axiserror,1
ndcg20,1
precision20,1
jointaxiserror,1
defenseefficacy,1
2v2accuracy,1
correctionrate,1
stancedetection,1
sycophancyscore,1
validsqlrate,1
stepredundancyscore,1
traceaccuracy,1
hellaswag,1
standardizationaccuracy,1
totalwholesalecost,1
nutritionalconstraintgap,1
tokenspeedupratio,1
tokenacceptancerate,1
averagerewardscore,1
hit1,1
entailmentprobability,1
geometricvalidity,1
cumulativereturn,1
humannormalizedscore,1
meanrelativeerror,1
fpr,1
accuracyparity,1
tprlowfpr,1
humaninterventionrate,1
stablerank,1
languagemodelingscore,1
pseudologlikelihood,1
hessiantrace,1
thermodynamicconsistency,1
extrapolationerror,1
wordfrequency,1
synsetcount,1
accuracygap,1
frameadherence,1
gpt4evaluation,1
peakgpumemory,1
apicoverage,1
bugcount,1
transferabilityscore,1
dependencyviolationcount,1
arcchallenge,1
llmjudgescore,1
relationprecision,1
paretofrontier,1
sentimentaccuracy,1
oddsratio,1
deescalationrate,1
tracealignment,1
executionmatch,1
networkbandwidth,1
proofpassrate,1
correctionsuccessrate,1
povsuccessrate,1
complementarityscore,1
jailbreakscore,1
peaktflops,1
toolreusescore,1
jsonvalidity,1
regard,1
transfergap,1
averagetraveltime,1
queuelength,1
evasionrate,1
lec,1
timetocompromise,1
oscescores,1
diagnosisaccuracy,1
utilityscore,1
