,count,percent
f1,215,6.4
accuracy,179,5.33
exactmatch,125,3.72
perplexity,96,2.86
rouge,81,2.41
attacksuccessrate,71,2.11
bertscore,61,1.82
pass1,61,1.82
inferencelatency,56,1.67
aucroc,56,1.67
successrate,42,1.25
pearson,38,1.13
bleu,32,0.95
cohenskappa,31,0.92
zeroshotaccuracy,29,0.86
passk,27,0.8
cider,27,0.8
codebleu,26,0.77
ndcg10,25,0.74
winrate,25,0.74
executionaccuracy,25,0.74
rmse,21,0.63
kldivergence,20,0.6
refusalrate,20,0.6
cosinesimilarity,19,0.57
recall,18,0.54
lctconsistencyscore,18,0.54
tokenspersecond,17,0.51
toxicityscore,16,0.48
precision,16,0.48
geval,16,0.48
gflops,15,0.45
spearman,14,0.42
top1accuracy,14,0.42
expectedcalibrationerror,13,0.39
recallk,13,0.39
mae,12,0.36
clipscore,12,0.36
stereotypescore,12,0.36
endtoendlatency,12,0.36
harmfulnessscore,12,0.36
falsepositiverate,11,0.33
passrate,11,0.33
compilationrate,11,0.33
recall10,10,0.3
mrr,10,0.3
tokencount,10,0.3
hallucinationrate,10,0.3
gpt4winrate,9,0.27
kendallstau,9,0.27
ciderscore,9,0.27
vqaaccuracy,9,0.27
throughput,9,0.27
compressionratio,9,0.27
precision5,9,0.27
gpt4score,9,0.27
slaviolationrate,9,0.27
ttft,8,0.24
levenshteindistance,8,0.24
tokenusage,8,0.24
jensenshannondivergence,8,0.24
cyclomaticcomplexity,8,0.24
inferencetime,8,0.24
likertscale,8,0.24
rocauc,8,0.24
auprc,8,0.24
wallclocktime,8,0.24
map,8,0.24
timetofirsttoken,8,0.24
exactmatchaccuracy,8,0.24
brierscore,8,0.24
grapheditdistance,8,0.24
convergencerate,7,0.21
memoryfootprint,7,0.21
factscore,7,0.21
mmluaccuracy,7,0.21
gpt4judge,7,0.21
pass1accuracy,7,0.21
mutationscore,7,0.21
systemthroughput,7,0.21
rsquared,7,0.21
hitratio,6,0.18
optimalitygap,6,0.18
inferencecost,6,0.18
empathyscore,6,0.18
ndcgk,6,0.18
meansquarederror,6,0.18
stepefficiency,6,0.18
mse,6,0.18
meteor,6,0.18
krippendorffsalpha,6,0.18
balancedaccuracy,6,0.18
syntaxvalidity,6,0.18
branchcoverage,6,0.18
silhouettescore,6,0.18
confusionmatrix,6,0.18
collisionrate,6,0.18
ece,5,0.15
distinctn,5,0.15
peakmemoryusage,5,0.15
cooperationrate,5,0.15
probingaccuracy,5,0.15
humanevaluation,5,0.15
hitratio10,5,0.15
meanabsoluteerror,5,0.15
energyefficiency,5,0.15
acceptancerate,5,0.15
speedupratio,5,0.15
executabilityscore,5,0.15
tokencost,5,0.15
iou,5,0.15
benignaccuracy,5,0.15
p95latency,5,0.15
wassersteindistance,5,0.15
chamferdistance,5,0.15
ragasscore,5,0.15
quadraticweightedkappa,5,0.15
generationthroughput,5,0.15
elorating,4,0.12
jaccardindex,4,0.12
logicalconsistency,4,0.12
intersectionoverunion,4,0.12
chairscore,4,0.12
codecoverage,4,0.12
retrievalaccuracy,4,0.12
logprobability,4,0.12
spice,4,0.12
sensitivity,4,0.12
tokenthroughput,4,0.12
linecoverage,4,0.12
demographicparity,4,0.12
tokenlatency,4,0.12
faithfulness,4,0.12
planlength,4,0.12
meanreciprocalrank,4,0.12
executionsuccessrate,4,0.12
ndcg,4,0.12
hitk,4,0.12
mape,4,0.12
trainingthroughput,4,0.12
forgettingrate,4,0.12
fid,4,0.12
piiextractionrate,4,0.12
mos,3,0.09
maximumdrawdown,3,0.09
spl,3,0.09
sharperatio,3,0.09
predictiveentropy,3,0.09
recall5,3,0.09
taskcompletiontime,3,0.09
ragasfaithfulness,3,0.09
logitdifference,3,0.09
averagereward,3,0.09
falserefusalrate,3,0.09
intertokenlatency,3,0.09
stepwiseaccuracy,3,0.09
adjustedrandindex,3,0.09
classificationaccuracy,3,0.09
ade,3,0.09
fde,3,0.09
areaoverhead,3,0.09
sampleefficiency,3,0.09
predictionaccuracy,3,0.09
ginicoefficient,3,0.09
comet,3,0.09
chrf,3,0.09
mmlu,3,0.09
mtbenchscore,3,0.09
detectionaccuracy,3,0.09
coherencescore,3,0.09
toolaccuracy,3,0.09
averagetokencount,3,0.09
trainingloss,3,0.09
reasoningconsistency,3,0.09
testaccuracy,3,0.09
semanticsimilarity,3,0.09
safetyscore,3,0.09
tokenefficiency,3,0.09
meanaverageprecision,3,0.09
strictaccuracy,3,0.09
compilationsuccessrate,3,0.09
geometricmeanspeedup,3,0.09
learninggain,3,0.09
gpuutilization,3,0.09
faithfulnessscore,3,0.09
selfbleu,3,0.09
logicalequivalence,3,0.09
joulespertoken,3,0.09
tasksuccessrate,3,0.09
anls,3,0.09
flopsreduction,3,0.09
recall1,3,0.09
auc,3,0.09
energypertoken,3,0.09
