,percent
f1,6.4
accuracy,5.33
exactmatch,3.72
perplexity,2.86
rouge,2.41
attacksuccessrate,2.11
bertscore,1.82
pass1,1.82
inferencelatency,1.67
aucroc,1.67
successrate,1.25
pearson,1.13
bleu,0.95
cohenskappa,0.92
zeroshotaccuracy,0.86
passk,0.8
cider,0.8
codebleu,0.77
ndcg10,0.74
winrate,0.74
executionaccuracy,0.74
rmse,0.63
kldivergence,0.6
refusalrate,0.6
cosinesimilarity,0.57
recall,0.54
lctconsistencyscore,0.54
tokenspersecond,0.51
toxicityscore,0.48
precision,0.48
geval,0.48
gflops,0.45
spearman,0.42
top1accuracy,0.42
expectedcalibrationerror,0.39
recallk,0.39
mae,0.36
clipscore,0.36
stereotypescore,0.36
endtoendlatency,0.36
harmfulnessscore,0.36
falsepositiverate,0.33
passrate,0.33
compilationrate,0.33
recall10,0.3
mrr,0.3
tokencount,0.3
hallucinationrate,0.3
gpt4winrate,0.27
kendallstau,0.27
ciderscore,0.27
vqaaccuracy,0.27
throughput,0.27
compressionratio,0.27
precision5,0.27
gpt4score,0.27
slaviolationrate,0.27
ttft,0.24
levenshteindistance,0.24
tokenusage,0.24
jensenshannondivergence,0.24
cyclomaticcomplexity,0.24
inferencetime,0.24
likertscale,0.24
rocauc,0.24
auprc,0.24
wallclocktime,0.24
map,0.24
timetofirsttoken,0.24
exactmatchaccuracy,0.24
brierscore,0.24
grapheditdistance,0.24
convergencerate,0.21
memoryfootprint,0.21
factscore,0.21
mmluaccuracy,0.21
gpt4judge,0.21
pass1accuracy,0.21
mutationscore,0.21
systemthroughput,0.21
rsquared,0.21
hitratio,0.18
optimalitygap,0.18
inferencecost,0.18
empathyscore,0.18
ndcgk,0.18
meansquarederror,0.18
stepefficiency,0.18
mse,0.18
meteor,0.18
krippendorffsalpha,0.18
balancedaccuracy,0.18
syntaxvalidity,0.18
branchcoverage,0.18
silhouettescore,0.18
confusionmatrix,0.18
collisionrate,0.18
ece,0.15
distinctn,0.15
peakmemoryusage,0.15
cooperationrate,0.15
probingaccuracy,0.15
humanevaluation,0.15
hitratio10,0.15
meanabsoluteerror,0.15
energyefficiency,0.15
acceptancerate,0.15
speedupratio,0.15
executabilityscore,0.15
tokencost,0.15
iou,0.15
benignaccuracy,0.15
p95latency,0.15
wassersteindistance,0.15
chamferdistance,0.15
ragasscore,0.15
quadraticweightedkappa,0.15
generationthroughput,0.15
elorating,0.12
jaccardindex,0.12
logicalconsistency,0.12
intersectionoverunion,0.12
chairscore,0.12
codecoverage,0.12
retrievalaccuracy,0.12
logprobability,0.12
spice,0.12
sensitivity,0.12
tokenthroughput,0.12
linecoverage,0.12
demographicparity,0.12
tokenlatency,0.12
faithfulness,0.12
planlength,0.12
meanreciprocalrank,0.12
executionsuccessrate,0.12
ndcg,0.12
hitk,0.12
mape,0.12
trainingthroughput,0.12
forgettingrate,0.12
fid,0.12
piiextractionrate,0.12
mos,0.09
maximumdrawdown,0.09
spl,0.09
sharperatio,0.09
predictiveentropy,0.09
recall5,0.09
taskcompletiontime,0.09
ragasfaithfulness,0.09
logitdifference,0.09
averagereward,0.09
falserefusalrate,0.09
intertokenlatency,0.09
stepwiseaccuracy,0.09
adjustedrandindex,0.09
classificationaccuracy,0.09
ade,0.09
fde,0.09
areaoverhead,0.09
sampleefficiency,0.09
predictionaccuracy,0.09
ginicoefficient,0.09
comet,0.09
chrf,0.09
mmlu,0.09
mtbenchscore,0.09
detectionaccuracy,0.09
coherencescore,0.09
toolaccuracy,0.09
averagetokencount,0.09
trainingloss,0.09
reasoningconsistency,0.09
testaccuracy,0.09
semanticsimilarity,0.09
safetyscore,0.09
tokenefficiency,0.09
meanaverageprecision,0.09
strictaccuracy,0.09
compilationsuccessrate,0.09
geometricmeanspeedup,0.09
learninggain,0.09
gpuutilization,0.09
faithfulnessscore,0.09
selfbleu,0.09
logicalequivalence,0.09
joulespertoken,0.09
tasksuccessrate,0.09
anls,0.09
flopsreduction,0.09
recall1,0.09
auc,0.09
energypertoken,0.09
factcc,0.09
wer,0.09
cumulativereward,0.09
sparsityratio,0.09
peakvram,0.09
equalizedodds,0.09
cachehitrate,0.09
fliprate,0.09
interactionlatency,0.09
acc025,0.09
defectionrate,0.09
subgoalcompletion,0.09
oodgeneralizationgap,0.06
inferencethroughput,0.06
comet22,0.06
energydelayproduct,0.06
memoryrecall,0.06
averageaccuracy,0.06
backwardtransfer,0.06
fps,0.06
agreementrate,0.06
communicationcost,0.06
reasoningscore,0.06
attentionentropy,0.06
aucscore,0.06
attackaccuracy,0.06
mmluscore,0.06
nasatlxscore,0.06
reasoningfaithfulness,0.06
recall100,0.06
averagepayoff,0.06
robustnessscore,0.06
timeontask,0.06
matthewscorrelation,0.06
coverageprobability,0.06
llmasajudge,0.06
verificationaccuracy,0.06
logicalconsistencyscore,0.06
aucpr,0.06
calibrationerror,0.06
recall20,0.06
uniquecrashes,0.06
llmeval,0.06
timetobug,0.06
averageprecision,0.06
jaccardsimilarity,0.06
formalequivalencecheck,0.06
normalizedlearninggain,0.06
rewardmodelscore,0.06
aupr,0.06
taskaccuracy,0.06
paretoefficiency,0.06
latency,0.06
constraintaccuracy,0.06
communicationvolume,0.06
hammingdistance,0.06
validityrate,0.06
makespan,0.06
sloattainmentrate,0.06
validationloss,0.06
routingaccuracy,0.06
resolvedrate,0.06
jointgoalaccuracy,0.06
energyconsumption,0.06
solverate,0.06
totalvariationdistance,0.06
mutualinformation,0.06
humanlikertscale,0.06
indirecteffect,0.06
clusteringaccuracy,0.06
llmjudge,0.06
modelsize,0.06
meaniou,0.06
constraintviolationrate,0.06
rewardmean,0.06
averagetreatmenteffect,0.06
hota,0.06
mota,0.06
rejectionrate,0.06
memorybandwidth,0.06
trainingtime,0.06
gpumemoryusage,0.06
answeraccuracy,0.06
cleanaccuracy,0.06
truthfulnessscore,0.06
vulnerabilitydetectionrate,0.06
cronbachsalpha,0.06
querylatency,0.06
temporaliou,0.06
maintainabilityindex,0.06
normalizedthroughput,0.06
stepaccuracy,0.06
regret,0.06
pathlength,0.06
exactsetmatch,0.06
fleschkincaidgrade,0.06
labeldistribution,0.06
searchefficiency,0.06
semanticentropy,0.06
effectivebitrate,0.06
stepcount,0.06
rsa,0.06
answerrelevance,0.06
alignmentaccuracy,0.06
privacybudget,0.06
hits10,0.06
worderrorrate,0.06
charactererrorrate,0.06
mc1score,0.06
vulnerabilityrate,0.06
executiontime,0.06
cer,0.06
localityscore,0.06
equalerrorrate,0.06
cka,0.06
errorrate,0.06
averagequerycount,0.06
alignmentscore,0.06
popeaccuracy,0.06
gpt4veval,0.06
modelprobability,0.03
harmlessrate,0.03
boxaccuracy,0.03
agentcostefficiency,0.03
costpersuccess,0.03
sycophancyrate,0.03
accuracydrop,0.03
confidencedrift,0.03
powerlawexponent,0.03
heapscoefficient,0.03
kolmogorovsmirnovtest,0.03
systemlatency,0.03
usersatisfaction,0.03
integrationtime,0.03
turingtestrate,0.03
smutilization,0.03
l2cachehit,0.03
propensitysmellyscore,0.03
codesmelldensity,0.03
probeaccuracy,0.03
acceptancealignment,0.03
convergencetime,0.03
logfitness,0.03
votingalignmentaccuracy,0.03
lengthbiascorrelation,0.03
searchsteps,0.03
correctionaccuracy,0.03
matchingstringrate,0.03
ccsaccuracy,0.03
extractionsuccessrate,0.03
workingallianceinventory,0.03
helpfulness,0.03
safety,0.03
derivationaccuracy,0.03
stepwisevalidity,0.03
entitylevelaccuracy,0.03
variationratio,0.03
majk,0.03
thematicconsistency,0.03
surveylikertscores,0.03
totalflops,0.03
discoveryrate,0.03
syntaxcorrectness,0.03
shannonentropy,0.03
coveragescore,0.03
exactmatchscore,0.03
intrinsicdimension,0.03
explainedvarianceratio,0.03
labelflipcount,0.03
culturalalignmentscore,0.03
stereotypebiasscore,0.03
coldstartlatency,0.03
cwedensity,0.03
sensitivityindex,0.03
sentimentconsistency,0.03
fidelityscore,0.03
humanagreementrate,0.03
forgettingscore,0.03
miaaccuracy,0.03
