,count
llama3,405
gpt4o,384
mistral8x7b,247
llama318b,140
gpt4,137
claude35sonnet,122
llama3170b,78
codellama,57
llama270b,51
llama2,49
mistrallarge,45
gemini15pro,45
llavanext,34
deepseekcoder,34
starcoder2,28
llavav15,26
deepseekcoderv2,22
qwen2vl,21
bert,20
claude3,20
videollama,18
codellama70b,18
gpt4turbo,17
claude3opus,17
claude35,17
medpalm2,16
gemma7b,16
instructblip,16
phi35mini,16
xgboost,16
roberta,14
blip2,14
gpt2,14
clip,14
vicuna7b,14
llama27bchat,13
vicuna13b,13
mistral7bv01,13
gpt4v,11
mistral7binstruct,11
llama38binstruct,11
qwen25,10
gpt35turbo,10
robertalarge,9
llava,9
ppo,9
randomforest,9
clinicalbert,9
pythia69b,9
debertav3,9
biomistral,9
opt,9
xlmroberta,9
bertbase,8
flant5,8
llavamed,8
pythia12b,8
opt67b,8
gat,7
llama31,7
tallrec,7
autogen,7
opt175b,7
opt66b,7
opt13b,7
lightgbm,7
sasrec,7
qwenaudio,7
biobert,7
falcon40b,6
lstm,6
codebert,6
deepseekmath,6
qwenvlchat,6
pythiasuite,6
codet5,6
bertlarge,6
falcon7b,6
videochat2,6
sentencebert,6
qwen372b,6
gemma2,5
mbert,5
qwen27b,5
graphattentionnetwork,5
tinyllama,5
qwen2572b,5
deepseekr1,5
verigen,5
distilbert,5
minigpt4,5
tinyllama11b,5
starcoder,5
deepseekmoe,5
gpt2xl,4
videollama2,4
ppoagent,4
biogpt,4
llavanextvideo,4
logisticregression,4
bm25,4
bloom,4
graphrag,4
aya23,4
colbertv2,4
pythia,4
graphsage,4
clipvit,4
gcn,4
qwen2,4
lightgcn,4
pointllm,4
metagpt,4
resnet50,4
olmo,4
gpt3,4
llama213b,4
3dllm,3
wav2vec20,3
medflamingo,3
qwen25math,3
biomistral7b,3
ssdlm,3
moellava,3
salmonn,3
yolov8,3
qwen253b,3
llamaadapter,3
mixtral8x22b,3
llamaguard3,3
supportvectormachine,3
stgcn,3
autogenframework,3
gptneox,3
t5base,3
contriever,3
deepseekv2,3
falcon180b,3
diffusionlm,3
vqvae,3
openaio1,3
timellm,3
openaiembeddings,3
vicuna7bv15,3
bloomz7b1,2
timechat,2
lda,2
clipvitl,2
hgt,2
codellamainstruct,2
meditron,2
gemini15,2
langgraph,2
sabiá2,2
gptj,2
ltuas,2
finbert,2
t5,2
unimoe,2
sparsetransformer,2
llamavid,2
llama7b,2
fingpt,2
sedd,2
lora,2
fastdownward,2
pubmedbert,2
deepseekr1zero,2
colpali,2
openaiada002,2
resnet1d,2
mistral,2
rt2,2
tinyllava,2
languagebind,2
jais30b,2
gurobi,2
galactica,2
dreamerv3,2
palme,2
mistralnemo,2
chemllm,2
bert4rec,2
showo,2
memgpt,2
audiopalm,2
nllb200,2
whisper,2
tapas,2
qwenvlmax,2
huatuogpt,2
