,count,percent
llama3,405,12.09
gpt4o,384,11.47
mistral8x7b,247,7.38
llama318b,140,4.18
gpt4,137,4.09
claude35sonnet,122,3.64
llama3170b,78,2.33
codellama,57,1.7
llama270b,51,1.52
llama2,49,1.46
mistrallarge,45,1.34
gemini15pro,45,1.34
llavanext,34,1.02
deepseekcoder,34,1.02
starcoder2,28,0.84
llavav15,26,0.78
deepseekcoderv2,22,0.66
qwen2vl,21,0.63
bert,20,0.6
claude3,20,0.6
videollama,18,0.54
codellama70b,18,0.54
gpt4turbo,17,0.51
claude3opus,17,0.51
claude35,17,0.51
medpalm2,16,0.48
gemma7b,16,0.48
instructblip,16,0.48
phi35mini,16,0.48
xgboost,16,0.48
roberta,14,0.42
blip2,14,0.42
gpt2,14,0.42
clip,14,0.42
vicuna7b,14,0.42
llama27bchat,13,0.39
vicuna13b,13,0.39
mistral7bv01,13,0.39
gpt4v,11,0.33
mistral7binstruct,11,0.33
llama38binstruct,11,0.33
qwen25,10,0.3
gpt35turbo,10,0.3
robertalarge,9,0.27
llava,9,0.27
ppo,9,0.27
randomforest,9,0.27
clinicalbert,9,0.27
pythia69b,9,0.27
debertav3,9,0.27
biomistral,9,0.27
opt,9,0.27
xlmroberta,9,0.27
bertbase,8,0.24
flant5,8,0.24
llavamed,8,0.24
pythia12b,8,0.24
opt67b,8,0.24
gat,7,0.21
llama31,7,0.21
tallrec,7,0.21
autogen,7,0.21
opt175b,7,0.21
opt66b,7,0.21
opt13b,7,0.21
lightgbm,7,0.21
sasrec,7,0.21
qwenaudio,7,0.21
biobert,7,0.21
falcon40b,6,0.18
lstm,6,0.18
codebert,6,0.18
deepseekmath,6,0.18
qwenvlchat,6,0.18
pythiasuite,6,0.18
codet5,6,0.18
bertlarge,6,0.18
falcon7b,6,0.18
videochat2,6,0.18
sentencebert,6,0.18
qwen372b,6,0.18
gemma2,5,0.15
mbert,5,0.15
qwen27b,5,0.15
graphattentionnetwork,5,0.15
tinyllama,5,0.15
qwen2572b,5,0.15
deepseekr1,5,0.15
verigen,5,0.15
distilbert,5,0.15
minigpt4,5,0.15
tinyllama11b,5,0.15
starcoder,5,0.15
deepseekmoe,5,0.15
gpt2xl,4,0.12
videollama2,4,0.12
ppoagent,4,0.12
biogpt,4,0.12
llavanextvideo,4,0.12
logisticregression,4,0.12
bm25,4,0.12
bloom,4,0.12
graphrag,4,0.12
aya23,4,0.12
colbertv2,4,0.12
pythia,4,0.12
graphsage,4,0.12
clipvit,4,0.12
gcn,4,0.12
qwen2,4,0.12
lightgcn,4,0.12
pointllm,4,0.12
metagpt,4,0.12
resnet50,4,0.12
olmo,4,0.12
gpt3,4,0.12
llama213b,4,0.12
