,percent
llama3,12.09
gpt4o,11.47
mistral8x7b,7.38
llama318b,4.18
gpt4,4.09
claude35sonnet,3.64
llama3170b,2.33
codellama,1.7
llama270b,1.52
llama2,1.46
mistrallarge,1.34
gemini15pro,1.34
llavanext,1.02
deepseekcoder,1.02
starcoder2,0.84
llavav15,0.78
deepseekcoderv2,0.66
qwen2vl,0.63
bert,0.6
claude3,0.6
videollama,0.54
codellama70b,0.54
gpt4turbo,0.51
claude3opus,0.51
claude35,0.51
medpalm2,0.48
gemma7b,0.48
instructblip,0.48
phi35mini,0.48
xgboost,0.48
roberta,0.42
blip2,0.42
gpt2,0.42
clip,0.42
vicuna7b,0.42
llama27bchat,0.39
vicuna13b,0.39
mistral7bv01,0.39
gpt4v,0.33
mistral7binstruct,0.33
llama38binstruct,0.33
qwen25,0.3
gpt35turbo,0.3
robertalarge,0.27
llava,0.27
ppo,0.27
randomforest,0.27
clinicalbert,0.27
pythia69b,0.27
debertav3,0.27
biomistral,0.27
opt,0.27
xlmroberta,0.27
bertbase,0.24
flant5,0.24
llavamed,0.24
pythia12b,0.24
opt67b,0.24
gat,0.21
llama31,0.21
tallrec,0.21
autogen,0.21
opt175b,0.21
opt66b,0.21
opt13b,0.21
lightgbm,0.21
sasrec,0.21
qwenaudio,0.21
biobert,0.21
falcon40b,0.18
lstm,0.18
codebert,0.18
deepseekmath,0.18
qwenvlchat,0.18
pythiasuite,0.18
codet5,0.18
bertlarge,0.18
falcon7b,0.18
videochat2,0.18
sentencebert,0.18
qwen372b,0.18
gemma2,0.15
mbert,0.15
qwen27b,0.15
graphattentionnetwork,0.15
tinyllama,0.15
qwen2572b,0.15
deepseekr1,0.15
verigen,0.15
distilbert,0.15
minigpt4,0.15
tinyllama11b,0.15
starcoder,0.15
deepseekmoe,0.15
gpt2xl,0.12
videollama2,0.12
ppoagent,0.12
biogpt,0.12
llavanextvideo,0.12
logisticregression,0.12
bm25,0.12
bloom,0.12
graphrag,0.12
aya23,0.12
colbertv2,0.12
pythia,0.12
graphsage,0.12
clipvit,0.12
gcn,0.12
qwen2,0.12
lightgcn,0.12
pointllm,0.12
metagpt,0.12
resnet50,0.12
olmo,0.12
gpt3,0.12
llama213b,0.12
3dllm,0.09
wav2vec20,0.09
medflamingo,0.09
qwen25math,0.09
biomistral7b,0.09
ssdlm,0.09
moellava,0.09
salmonn,0.09
yolov8,0.09
qwen253b,0.09
llamaadapter,0.09
mixtral8x22b,0.09
llamaguard3,0.09
supportvectormachine,0.09
stgcn,0.09
autogenframework,0.09
gptneox,0.09
t5base,0.09
contriever,0.09
deepseekv2,0.09
falcon180b,0.09
diffusionlm,0.09
vqvae,0.09
openaio1,0.09
timellm,0.09
openaiembeddings,0.09
vicuna7bv15,0.09
bloomz7b1,0.06
timechat,0.06
lda,0.06
clipvitl,0.06
hgt,0.06
codellamainstruct,0.06
meditron,0.06
gemini15,0.06
langgraph,0.06
sabiá2,0.06
gptj,0.06
ltuas,0.06
finbert,0.06
t5,0.06
unimoe,0.06
sparsetransformer,0.06
llamavid,0.06
llama7b,0.06
fingpt,0.06
sedd,0.06
lora,0.06
fastdownward,0.06
pubmedbert,0.06
deepseekr1zero,0.06
colpali,0.06
openaiada002,0.06
resnet1d,0.06
mistral,0.06
rt2,0.06
tinyllava,0.06
languagebind,0.06
jais30b,0.06
gurobi,0.06
galactica,0.06
dreamerv3,0.06
palme,0.06
mistralnemo,0.06
chemllm,0.06
bert4rec,0.06
showo,0.06
memgpt,0.06
audiopalm,0.06
nllb200,0.06
whisper,0.06
tapas,0.06
qwenvlmax,0.06
huatuogpt,0.06
legalbert,0.06
pointnet,0.06
softactorcritic,0.06
dqn,0.06
switchtransformer,0.06
resnet18,0.06
dpr,0.06
mobilevlm,0.06
graphwavenet,0.06
ll3da,0.06
llama,0.06
phi2,0.06
shieldgemma,0.06
nemoguardrails,0.06
chatglm3,0.06
llavavideo,0.06
bgem3embeddings,0.06
deberta,0.06
mdlm,0.06
prometheus2,0.06
colbert,0.06
jamba,0.06
vitb16,0.06
chemberta,0.06
dominant,0.06
pandagpt,0.06
audiollm,0.06
itransformer,0.06
llama3170binstruct,0.06
qwen372binstruct,0.06
qwen253binstruct,0.06
gemma29b,0.06
qwen1572b,0.06
zephyr7b,0.06
gaussianprocess,0.06
mbart,0.06
valle,0.06
patchtst,0.06
longchat7b,0.06
qwen15,0.06
yi34b,0.06
xception,0.03
coherererank,0.03
longnet,0.03
kmeans,0.03
nsgaii,0.03
pointbind,0.03
phi3,0.03
motiongpt,0.03
t5transformer,0.03
multiagentsystem,0.03
nominatim,0.03
lawgpt,0.03
z3solver,0.03
starlingrm,0.03
typeformer,0.03
bilstm,0.03
otter,0.03
visualglm,0.03
i3d,0.03
videomae,0.03
starcoderbase,0.03
pandapower,0.03
opendss,0.03
physicsinformedgnn,0.03
gemma34b,0.03
mlppolicynetwork,0.03
concise,0.03
1dcnn,0.03
azurelanguage,0.03
salmonnguard,0.03
gpt4oaudio,0.03
deepl,0.03
resnet20,0.03
lenet5,0.03
monot5,0.03
mistralnemo12b,0.03
nemo12bbase,0.03
yolov9,0.03
stmoenetwork,0.03
rog,0.03
openllmro,0.03
graphcodebert,0.03
ddpg,0.03
transformerencoder,0.03
qwenvlmoe,0.03
act,0.03
bartlarge,0.03
bitnetb158,0.03
diffuseq,0.03
fasterrcnn,0.03
chatglm4,0.03
baichuan4,0.03
sqlcoder,0.03
stablediffusion3,0.03
dalle3,0.03
mariannmt,0.03
transformertiny,0.03
byt5,0.03
arabertv2,0.03
astrobert,0.03
selfcheckgpt,0.03
iqn,0.03
textembeddingada002,0.03
pegasusparaphraser,0.03
bertbasedrouter,0.03
deepseekmath7b,0.03
temporalfusiontransformer,0.03
meditllama,0.03
prometheus,0.03
mixedeffectsmodel,0.03
nomadframework,0.03
drivevlm,0.03
pandaplanner,0.03
tamilllama,0.03
solar107b,0.03
transrmot,0.03
memotr,0.03
timesnet,0.03
3dgaussiansplatting,0.03
rectifiedflow,0.03
gpt3175b,0.03
llama31405b,0.03
toolllama,0.03
medclip,0.03
lama,0.03
streamdiffusion,0.03
sadtalker,0.03
densepassageretrieval,0.03
chat3d,0.03
lcgail,0.03
bwgnn,0.03
llama3series,0.03
mixtureofexperts,0.03
relullama,0.03
imagebindllm,0.03
cola,0.03
seedllama,0.03
llamagen,0.03
setfit,0.03
mobilellm,0.03
mplugowl,0.03
lorentzmodel,0.03
chameleon,0.03
sparseupcycling,0.03
toolllm,0.03
bart,0.03
whisperv3,0.03
dynamicumap,0.03
fedprox,0.03
stablediffusion,0.03
yi15,0.03
gaussianprocesses,0.03
shikra,0.03
sbert,0.03
bkt,0.03
dkt,0.03
chatglm36b,0.03
yi6b,0.03
minervallm,0.03
faunoitalianllm,0.03
quantizedllama3,0.03
lm4optra,0.03
mobilebert,0.03
starcoder215b,0.03
resnet3d,0.03
videomaev2,0.03
graphgpt,0.03
graphormer,0.03
blink,0.03
poincaréembeddings,0.03
speechgpt,0.03
deepseekr1distill,0.03
opt125m,0.03
alphafold2,0.03
esmfold,0.03
proteinmpnn,0.03
falcon,0.03
codellama13b,0.03
acegpt,0.03
tablebert,0.03
audiollamalora,0.03
gpt35,0.03
sarvam2b,0.03
graphneuralnetwork,0.03
analyticalcostmodel,0.03
yoloworld,0.03
o1preview,0.03
mistralv03,0.03
idefics2,0.03
1dtransformer,0.03
spectraclip,0.03
llama2base,0.03
mistral7bbase,0.03
falconbase,0.03
cvae,0.03
trajectron,0.03
gpt2family,0.03
cc2vec,0.03
jitline,0.03
simcom,0.03
loraadapter,0.03
deepseekjanus,0.03
sdxlturbo,0.03
isolationforest,0.03
autoencoder,0.03
pinns,0.03
guwenbert,0.03
camembert,0.03
reformer,0.03
jais,0.03
openie6,0.03
vgg16,0.03
ochiai,0.03
tarantula,0.03
llavav16,0.03
llama2family,0.03
llama3long,0.03
bertbasechinese,0.03
robertawwmext,0.03
gvpgnn,0.03
bertweet,0.03
shennongtcm,0.03
zhongjing,0.03
gurobioptimizer,0.03
foodbert,0.03
dcrnn,0.03
fedavg,0.03
olmo1b,0.03
latxa,0.03
siglip,0.03
scibert,0.03
robertadetector,0.03
textada001,0.03
openmoe,0.03
cabra,0.03
invcf,0.03
simgcl,0.03
chatdev,0.03
encodec,0.03
segformer,0.03
unet,0.03
debertanli,0.03
mastestagent,0.03
gato,0.03
graphconvolutionalnetwork,0.03
vicuna,0.03
iql,0.03
cql,0.03
geodetective,0.03
vicunaseries,0.03
falconseries,0.03
deepjit,0.03
yivl,0.03
dinov2,0.03
depthanything,0.03
dwaveadvantage,0.03
whisperencoder,0.03
bertencoder,0.03
vicuna15,0.03
deepqnetwork,0.03
gpt2medium,0.03
mappo,0.03
qmix,0.03
transformerxl,0.03
neuraladditivemodels,0.03
gemini25flash,0.03
allmpnetbasev2,0.03
debertav3large,0.03
qwen1518b,0.03
deepensemble,0.03
gorillaopenfunctions,0.03
tinn,0.03
cann,0.03
pythia70m,0.03
med42,0.03
glem,0.03
tape,0.03
vicuna33b,0.03
seeact,0.03
linearmixedmodels,0.03
hyperclovax,0.03
robertabase,0.03
ragarchitecture,0.03
radbert,0.03
gptneox20b,0.03
rbfsvm,0.03
graphneuralnetworks,0.03
marbert,0.03
biomedclip,0.03
faissivf,0.03
llama323b,0.03
snorkellabelmodel,0.03
granite338binstruct,0.03
mamba2,0.03
hybridssm,0.03
aya2335b,0.03
quantizedmlp,0.03
tinybert,0.03
llmgam,0.03
matchatts,0.03
ulip2,0.03
pointbert,0.03
pcalgorithm,0.03
chemcrow,0.03
gurobisolver,0.03
bytetrack,0.03
fittedqevaluation,0.03
hdbscan,0.03
psychat,0.03
sloraarchitecture,0.03
qwen15moe,0.03
yi6b200k,0.03
memorylessgenerator,0.03
monkeymodel,0.03
bernoulliprocess,0.03
bertopic,0.03
flant5xxl,0.03
gemma7bit,0.03
baichuan213b,0.03
huatuogptii,0.03
opt27b,0.03
p5,0.03
admm,0.03
bgem3,0.03
rrt,0.03
sac,0.03
shearedllama,0.03
thompsonsampling,0.03
voyagefinance2,0.03
gpt4omini,0.03
langchainagents,0.03
radfm,0.03
resnet,0.03
visiontransformer,0.03
kardiar1,0.03
neuralode,0.03
graphtransformer,0.03
doublyrobustestimator,0.03
eegnet,0.03
conformer,0.03
plaid,0.03
gpt2small,0.03
sparsegpt2,0.03
blocksparsetransformer,0.03
gplearn,0.03
yolov11pose,0.03
crossattentiontransformer,0.03
motionlm,0.03
groundingdino,0.03
fastsam,0.03
openhathi,0.03
mbart50,0.03
rebel,0.03
qwen25coder,0.03
llm4decompile,0.03
cllmrec,0.03
recllm,0.03
nucleotidetransformer,0.03
hyenadna,0.03
dnabert2,0.03
genalm,0.03
swallow,0.03
adapt,0.03
gigaevo,0.03
pomo,0.03
attentionmodel,0.03
blacklitterman,0.03
meanvariance,0.03
qwen25max,0.03
textembedding3,0.03
agentverse,0.03
meditron7b,0.03
molt5,0.03
spatialvlm,0.03
