model,GT_percent,GPT-5.1_percent,Gemini_percent,Deepseek_percent,GPT-5.1_over_GT,Gemini_over_GT,Deepseek_over_GT
gpt4o,2.619303911,8.066971081,11.46610929,0.474495848,3.07981485,4.377540628,0.181153415
llama318b,1.913646693,3.318112633,4.180352344,0,1.733921233,2.184495372,0
gpt4omini,1.327592393,0.334855403,0.02985966,0.079082641,0.25222757,0.022491587,0.059568465
gemini15flash,1.172108599,0,0,0,0,0,0
llama3170b,1.148188016,7.336377473,2.329053449,0.158165283,6.389526256,2.028459988,0.137752076
gpt5,1.136227724,0,0,0,0,0,0
deepseekr1,1.016624806,0.487062405,0.149298298,0.118623962,0.479097502,0.146856832,0.116684111
llama270b,0.956823346,1.97869102,1.52284264,1.818900751,2.067979452,1.591560914,1.900978648
deepseekv2,0.956823346,0.121765601,0.089578979,0.079082641,0.127260274,0.09362123,0.082651246
mistral8x7b,0.932902763,6.149162861,7.375335921,0,6.591429575,7.905792774,0
qwen380b,0.920942471,0,0,0,0,0,0
qwen314b,0.861141012,0.0304414,0,0.039541321,0.035350076,0,0.045917359
gpt41,0.837220428,7.97564688,0,0.039541321,9.526340509,0,0.047229283
qwen2570b,0.825260136,0,0,0,0,0,0
claude4sonnet,0.825260136,0,0,0,0,0,0
gptoss120b,0.789379261,0,0,0,0,0,0
gemini25pro,0.777418969,0,0,0,0,0,0
qwen332b,0.693696926,0,0,0,0,0,0
gpt4,0.681736634,3.470319635,4.090773365,17.12139185,5.090410959,6.000518615,25.11437847
qwen25vl32b,0.609974883,0,0,0,0,0,0
llama318binstruct,0.562133716,0,0,0,0,0,0
gpt41mini,0.538213132,0.121765601,0,0,0.226240487,0,0
gpt51mini,0.502332257,0,0,0,0,0,0
claude35sonnet,0.490371965,0.882800609,3.642878471,0.039541321,1.80026729,7.42880656,0.080635362
llama323b,0.478411673,0,0.02985966,0.039541321,0,0.062414153,0.082651246
qwen2572binstruct,0.45449109,0,0,0,0,0,0
gemini25,0.406649922,0,0,0,0,0,0
qwen25vl32binstruct,0.382729339,0,0,0,0,0,0
llama31,0.382729339,0.943683409,0.209017617,0.158165283,2.465667808,0.546123843,0.413256228
claude35haiku,0.370769047,0.0304414,0,0,0.082103403,0,0
gpt35turbo,0.358808755,0.121765601,0.298596596,0.395413207,0.339360731,0.832188713,1.102016607
gpt35,0.358808755,0.213089802,0.02985966,0.988533017,0.593881279,0.083218871,2.755041518
llama213b,0.346848463,0.304414003,0.119438638,0.237247924,0.877657062,0.34435395,0.684010308
qwen2572b,0.346848463,0.608828006,0.149298298,0,1.755314124,0.430442438,0
deepseekr1distillqwen14b,0.322927879,0,0,0,0,0,0
qwen2514b,0.310967588,0,0,0,0,0,0
qwen317b,0.310967588,0,0,0,0,0,0
gemini20flash,0.299007296,0,0,0,0,0,0
qwen25vl7b,0.299007296,0,0,0,0,0,0
