LLM,Rank,Model,Percent
GPT-5.1,1,gsm8k,2.790697674
GPT-5.1,2,mmlu,2.201550388
GPT-5.1,3,c4,1.302325581
GPT-5.1,4,wikitext103,1.240310078
GPT-5.1,5,hotpotqa,1.178294574
GPT-5.1,6,truthfulqa,1.11627907
GPT-5.1,7,math,1.054263566
GPT-5.1,8,arcchallenge,0.96124031
GPT-5.1,9,advbench,0.96124031
GPT-5.1,10,humaneval,0.868217054
Gemini,1,gsm8k,3.17408377
Gemini,2,mmlu,2.126963351
Gemini,3,humaneval,1.537958115
Gemini,4,c4,1.210732984
Gemini,5,truthfulqa,1.145287958
Gemini,6,advbench,1.112565445
Gemini,7,math,0.981675393
Gemini,8,wikitext103,0.85078534
Gemini,9,sharegpt,0.818062827
Gemini,10,wikitext2,0.719895288
Deepseek,1,gsm8k,2.660054103
Deepseek,2,mmlu,2.524797115
Deepseek,3,humaneval,1.983769161
Deepseek,4,c4,1.938683499
Deepseek,5,squad,1.758340848
Deepseek,6,wikitext,1.352569883
Deepseek,7,math,1.036970243
Deepseek,8,glue,1.036970243
Deepseek,9,hotpotqa,0.991884581
Deepseek,10,truthfulqa,0.991884581
