LLM,Rank,model,Percent
GPT-5.1,1,llama3,9.19
GPT-5.1,2,gpt4o,8.07
GPT-5.1,3,gpt41,7.98
GPT-5.1,4,llama3170b,7.34
GPT-5.1,5,mistral8x7b,6.15
GPT-5.1,6,gpt4,3.47
GPT-5.1,7,llama318b,3.32
GPT-5.1,8,claude35,2.01
GPT-5.1,9,llama270b,1.98
GPT-5.1,10,mistrallarge,1.86
Gemini,1,llama3,12.09
Gemini,2,gpt4o,11.47
Gemini,3,mistral8x7b,7.38
Gemini,4,llama318b,4.18
Gemini,5,gpt4,4.09
Gemini,6,claude35sonnet,3.64
Gemini,7,llama3170b,2.33
Gemini,8,codellama,1.7
Gemini,9,llama270b,1.52
Gemini,10,llama2,1.46
DeepSeek,1,gpt4,17.12
DeepSeek,2,llama2,11.55
DeepSeek,3,gpt3,5.1
DeepSeek,4,claude3,4.59
DeepSeek,5,llama3,4.23
DeepSeek,6,bert,4.11
DeepSeek,7,gpt2,2.61
DeepSeek,8,t5,2.49
DeepSeek,9,llava,2.02
DeepSeek,10,llama,1.98
