Source,Category,Subcategory,Count,Percentage
GPT-5.1 (without web search),Modalities,Text,2523,59.33678269049859
GPT-5.1 (without web search),Modalities,Spatial,190,4.468485418626528
GPT-5.1 (without web search),Modalities,Graph,189,4.444967074317968
GPT-5.1 (without web search),Modalities,Multimodal,362,8.513640639698965
GPT-5.1 (without web search),Modalities,Time series,462,10.865475070555034
GPT-5.1 (without web search),Modalities,Audio,69,1.6227657572906868
GPT-5.1 (without web search),Modalities,Image,323,7.596425211665099
GPT-5.1 (without web search),Modalities,Video,134,3.151458137347131
GPT-5.1 (without web search),TaskTypes,Retrieval,376,5.204152249134948
GPT-5.1 (without web search),TaskTypes,Question answering,1099,15.211072664359863
GPT-5.1 (without web search),TaskTypes,Reasoning,1298,17.965397923875432
GPT-5.1 (without web search),TaskTypes,Classification,1496,20.705882352941178
GPT-5.1 (without web search),TaskTypes,Clustering,50,0.6920415224913495
GPT-5.1 (without web search),TaskTypes,Alignment,243,3.3633217993079585
GPT-5.1 (without web search),TaskTypes,Generation,841,11.640138408304498
GPT-5.1 (without web search),TaskTypes,Multimodal integration,192,2.657439446366782
GPT-5.1 (without web search),TaskTypes,Summarization,229,3.1695501730103803
GPT-5.1 (without web search),TaskTypes,Regression,302,4.179930795847751
GPT-5.1 (without web search),TaskTypes,Object detection,146,2.0207612456747404
GPT-5.1 (without web search),TaskTypes,Translation,68,0.9411764705882352
GPT-5.1 (without web search),TaskTypes,Dialogue,266,3.6816608996539797
GPT-5.1 (without web search),TaskTypes,Forecasting,303,4.193771626297578
GPT-5.1 (without web search),TaskTypes,Reinforcement learning,153,2.1176470588235294
GPT-5.1 (without web search),TaskTypes,Sequence labeling,142,1.9653979238754324
GPT-5.1 (without web search),TaskTypes,Ranking,15,0.20761245674740486
GPT-5.1 (without web search),TaskTypes,Decision Making,4,0.05536332179930796
GPT-5.1 (without web search),TaskTypes,Segmentation,1,0.01384083044982699
GPT-5.1 (without web search),TaskTypes,Problem Solving,1,0.01384083044982699
GPT-5.1 (without web search),Domains,General,1324,24.859181374389784
GPT-5.1 (without web search),Domains,Entertainment,173,3.2482162974089372
GPT-5.1 (without web search),Domains,Social,577,10.833646263612467
GPT-5.1 (without web search),Domains,Economics,183,3.435974464889223
GPT-5.1 (without web search),Domains,Geospatial,88,1.6522718738265114
GPT-5.1 (without web search),Domains,Infrastructure,424,7.9609463011641015
GPT-5.1 (without web search),Domains,Healthcare,277,5.200901239203906
GPT-5.1 (without web search),Domains,Scientific / academic,707,13.274502440856178
GPT-5.1 (without web search),Domains,Education,444,8.33646263612467
