Source,Category,Subcategory,Count,Percentage
Ground Truth,Architecture,Transformer_all,7011,73.3214808617444
Ground Truth,Architecture,Generative,1570,16.419159171721397
Ground Truth,Architecture,Graph Neural Network (GNN),152,1.589625601338632
Ground Truth,Architecture,Linear,193,2.018406191173395
Ground Truth,Architecture,Probabilistic,223,2.33214808617444
Ground Truth,Architecture,Tree-based,125,1.3072578958376908
Ground Truth,Architecture,Recurrent (RNN / LSTM),60,0.6274837900020916
Ground Truth,Architecture,Kernel,28,0.29282576866764276
Ground Truth,Architecture,Convolutional (CNN),200,2.0916126333403056
Ground Truth,TrainingParadigm,Self-supervised Learning,5801,19.7541374378533
Ground Truth,TrainingParadigm,Fine-tuning,6500,22.134441190492407
Ground Truth,TrainingParadigm,Supervised Learning,5419,18.453313355581287
Ground Truth,TrainingParadigm,Retrieval-Augmented Generation (RAG),161,0.5482530817952734
Ground Truth,TrainingParadigm,Few-shot Learning,3176,10.815228495539058
Ground Truth,TrainingParadigm,Zero-shot Learning,3224,10.978682830484233
Ground Truth,TrainingParadigm,Reinforcement Learning,2861,9.74255942246135
Ground Truth,TrainingParadigm,Multi-task Learning,2050,6.980862221616836
Ground Truth,TrainingParadigm,Unsupervised Learning,174,0.5925219641762582
Ground Truth,Provider,Mistral AI,202,2.457122004622309
Ground Truth,Provider,Google DeepMind,560,6.8118233791509555
Ground Truth,Provider,Alibaba / Qwen team,1077,13.100596034545674
Ground Truth,Provider,NVIDIA / NeMo,34,0.41357499087702226
Ground Truth,Provider,Other / Academic,3497,42.53740420873373
Ground Truth,Provider,OpenAI,1105,13.441187203503224
Ground Truth,Provider,DeepSeek,376,4.573652840287069
Ground Truth,Provider,Meta AI,920,11.190852694319425
Ground Truth,Provider,Anthropic,248,3.01666463933828
Ground Truth,Provider,Microsoft Research,138,1.6786279041479137
Ground Truth,Provider,Hugging Face,44,0.5352146940761465
Ground Truth,Provider,Stability AI,8,0.09731176255929935
Ground Truth,Provider,Cohere,8,0.09731176255929935
Ground Truth,Provider,Databricks / MosaicML,4,0.048655881279649676
Ground Truth,Openness,Open,6226,75.77896786757546
Ground Truth,Openness,Closed,1990,24.22103213242454
Ground Truth,Size,Medium,2691,32.83308931185944
Ground Truth,Size,Large,3559,43.42362127867253
Ground Truth,Size,Small,1946,23.743289409468034
