source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
DeepSeek,Large,Transformer,613,61.61,42.02,66.41
DeepSeek,Medium,Transformer,524,52.66,35.92,69.22
DeepSeek,Small,Transformer,322,32.36,22.07,70.46
DeepSeek,Large,Generative,203,20.4,44.62,21.99
DeepSeek,Medium,Generative,163,16.38,35.82,21.53
DeepSeek,Small,Generative,89,8.94,19.56,19.47
DeepSeek,Large,Tree-Based,20,2.01,42.55,2.17
DeepSeek,Large,CNN,20,2.01,50.0,2.17
DeepSeek,Large,Graph Neural Network (Gnn),19,1.91,47.5,2.06
DeepSeek,Large,Reinforcement Learning (Rl),18,1.81,62.07,1.95
DeepSeek,Medium,CNN,15,1.51,37.5,1.98
DeepSeek,Medium,Tree-Based,15,1.51,31.91,1.98
DeepSeek,Medium,Graph Neural Network (Gnn),12,1.21,30.0,1.59
DeepSeek,Small,Tree-Based,12,1.21,25.53,2.63
DeepSeek,Large,Probabilistic,11,1.11,55.0,1.19
DeepSeek,Large,Linear,10,1.01,41.67,1.08
DeepSeek,Medium,Linear,9,0.9,37.5,1.19
DeepSeek,Small,Graph Neural Network (Gnn),9,0.9,22.5,1.97
DeepSeek,Large,RNN,8,0.8,44.44,0.87
DeepSeek,Medium,Probabilistic,7,0.7,35.0,0.92
DeepSeek,Small,RNN,7,0.7,38.89,1.53
DeepSeek,Medium,Reinforcement Learning (Rl),6,0.6,20.69,0.79
DeepSeek,Small,Linear,5,0.5,20.83,1.09
DeepSeek,Small,Reinforcement Learning (Rl),5,0.5,17.24,1.09
DeepSeek,Small,CNN,5,0.5,12.5,1.09
DeepSeek,Medium,Kernel Models,3,0.3,60.0,0.4
DeepSeek,Medium,RNN,3,0.3,16.67,0.4
DeepSeek,Small,Probabilistic,2,0.2,10.0,0.44
DeepSeek,Large,Kernel Models,1,0.1,20.0,0.11
DeepSeek,Small,Kernel Models,1,0.1,20.0,0.22
