source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
DeepSeek,Large,OpenAI,420,42.21,40.04,31.18
DeepSeek,Medium,OpenAI,387,38.89,36.89,31.8
DeepSeek,Large,Meta AI,374,37.59,38.76,27.77
DeepSeek,Medium,Meta AI,348,34.97,36.06,28.59
DeepSeek,Large,Other / Academic,286,28.74,48.72,21.23
DeepSeek,Small,Meta AI,243,24.42,25.18,32.36
DeepSeek,Small,OpenAI,242,24.32,23.07,32.22
DeepSeek,Medium,Other / Academic,204,20.5,34.75,16.76
DeepSeek,Large,Google DeepMind,123,12.36,42.27,9.13
DeepSeek,Medium,Google DeepMind,112,11.26,38.49,9.2
DeepSeek,Small,Other / Academic,97,9.75,16.52,12.92
DeepSeek,Medium,Anthropic,80,8.04,43.72,6.57
DeepSeek,Large,Anthropic,58,5.83,31.69,4.31
DeepSeek,Small,Google DeepMind,56,5.63,19.24,7.46
DeepSeek,Small,Anthropic,45,4.52,24.59,5.99
DeepSeek,Large,Mistral AI,43,4.32,36.44,3.19
DeepSeek,Medium,Mistral AI,41,4.12,34.75,3.37
DeepSeek,Small,Mistral AI,34,3.42,28.81,4.53
DeepSeek,Large,Microsoft Research,22,2.21,40.74,1.63
DeepSeek,Medium,Microsoft Research,18,1.81,33.33,1.48
DeepSeek,Medium,Hugging Face,14,1.41,40.0,1.15
DeepSeek,Small,Microsoft Research,14,1.41,25.93,1.86
DeepSeek,Large,Hugging Face,12,1.21,34.29,0.89
DeepSeek,Small,Hugging Face,9,0.9,25.71,1.2
DeepSeek,Small,DeepSeek,8,0.8,44.44,1.07
DeepSeek,Medium,Alibaba / Qwen team,8,0.8,57.14,0.66
DeepSeek,Large,DeepSeek,5,0.5,27.78,0.37
DeepSeek,Medium,DeepSeek,5,0.5,27.78,0.41
DeepSeek,Small,Alibaba / Qwen team,3,0.3,21.43,0.4
DeepSeek,Large,Alibaba / Qwen team,3,0.3,21.43,0.22
DeepSeek,Large,Stability AI,1,0.1,100.0,0.07
