source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
DeepSeek,Classification,OpenAI,388,38.99,20.83,30.82
DeepSeek,Reasoning,OpenAI,367,36.88,19.7,32.39
DeepSeek,Reasoning,Meta AI,349,35.08,20.21,30.8
DeepSeek,Classification,Meta AI,333,33.47,19.28,26.45
DeepSeek,Generation,OpenAI,291,29.25,15.62,32.55
DeepSeek,Generation,Meta AI,281,28.24,16.27,31.43
DeepSeek,Classification,Other / Academic,260,26.13,24.81,20.65
DeepSeek,Question answering,Meta AI,259,26.03,15.0,31.06
DeepSeek,Question answering,OpenAI,246,24.72,13.2,29.5
DeepSeek,Reasoning,Other / Academic,145,14.57,13.84,12.8
DeepSeek,Question answering,Other / Academic,129,12.96,12.31,15.47
DeepSeek,Generation,Other / Academic,126,12.66,12.02,14.09
DeepSeek,Classification,Google DeepMind,120,12.06,20.62,9.53
DeepSeek,Reasoning,Google DeepMind,109,10.95,18.73,9.62
DeepSeek,Generation,Google DeepMind,93,9.35,15.98,10.4
DeepSeek,Reasoning,Anthropic,90,9.05,24.52,7.94
DeepSeek,Question answering,Google DeepMind,85,8.54,14.6,10.19
DeepSeek,Retrieval,OpenAI,81,8.14,4.35,29.03
DeepSeek,Retrieval,Meta AI,80,8.04,4.63,28.67
DeepSeek,Alignment,Meta AI,79,7.94,4.57,33.47
DeepSeek,Alignment,OpenAI,76,7.64,4.08,32.2
DeepSeek,Dialogue,Meta AI,71,7.14,4.11,37.57
DeepSeek,Classification,Anthropic,70,7.04,19.07,5.56
DeepSeek,Regression,OpenAI,65,6.53,3.49,30.95
DeepSeek,Dialogue,OpenAI,63,6.33,3.38,33.33
DeepSeek,Multimodal integration,Other / Academic,63,6.33,6.01,40.91
DeepSeek,Retrieval,Other / Academic,60,6.03,5.73,21.51
DeepSeek,Reinforcement learning,OpenAI,58,5.83,3.11,36.71
DeepSeek,Regression,Other / Academic,57,5.73,5.44,27.14
