source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Reasoning,Transformer,694,72.98,23.57,66.54
GPT-5.1,Problem Solving,Transformer,408,42.9,13.86,68.23
GPT-5.1,Decision Making,Transformer,390,41.01,13.25,58.21
GPT-5.1,Reasoning,Generative,267,28.08,22.4,25.6
GPT-5.1,Social Reasoning,Transformer,240,25.24,8.15,68.57
GPT-5.1,Learning,Transformer,227,23.87,7.71,59.58
GPT-5.1,Perception,Transformer,214,22.5,7.27,55.15
GPT-5.1,Memory,Transformer,194,20.4,6.59,64.88
GPT-5.1,Attention,Transformer,180,18.93,6.11,60.81
GPT-5.1,Decision Making,Generative,169,17.77,14.18,25.22
GPT-5.1,Emotion,Transformer,162,17.03,5.5,66.12
GPT-5.1,Problem Solving,Generative,141,14.83,11.83,23.58
GPT-5.1,Moral Cognition,Transformer,123,12.93,4.18,73.21
GPT-5.1,Perception,Generative,113,11.88,9.48,29.12
GPT-5.1,Learning,Generative,100,10.52,8.39,26.25
GPT-5.1,Social Reasoning,Generative,91,9.57,7.63,26.0
GPT-5.1,Attention,Generative,88,9.25,7.38,29.73
GPT-5.1,Memory,Generative,80,8.41,6.71,26.76
GPT-5.1,Emotion,Generative,63,6.62,5.29,25.71
GPT-5.1,Empathy,Transformer,56,5.89,1.9,69.14
GPT-5.1,Moral Cognition,Generative,40,4.21,3.36,23.81
GPT-5.1,Decision Making,Tree-Based,30,3.15,30.0,4.48
GPT-5.1,Perception,CNN,27,2.84,38.03,6.96
GPT-5.1,Personality,Transformer,25,2.63,0.85,60.98
GPT-5.1,Decision Making,Reinforcement Learning (Rl),23,2.42,27.06,3.43
GPT-5.1,Empathy,Generative,23,2.42,1.93,28.4
GPT-5.1,Reasoning,Tree-Based,19,2.0,19.0,1.82
GPT-5.1,Theory of Mind,Transformer,17,1.79,0.58,89.47
GPT-5.1,Reasoning,Graph Neural Network (Gnn),17,1.79,29.31,1.63
GPT-5.1,Decision Making,Linear,17,1.79,28.33,2.54
GPT-5.1,Learning,Reinforcement Learning (Rl),16,1.68,18.82,4.2
GPT-5.1,Reasoning,Linear,13,1.37,21.67,1.25
GPT-5.1,Problem Solving,Tree-Based,13,1.37,13.0,2.17
GPT-5.1,Decision Making,Graph Neural Network (Gnn),13,1.37,22.41,1.94
GPT-5.1,Cognitive Load,Transformer,13,1.37,0.44,61.9
GPT-5.1,Decision Making,CNN,12,1.26,16.9,1.79
GPT-5.1,Reasoning,Probabilistic,12,1.26,24.49,1.15
GPT-5.1,Personality,Generative,11,1.16,0.92,26.83
GPT-5.1,Problem Solving,Probabilistic,10,1.05,20.41,1.67
