source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GPT-5.1,Reasoning,Meta AI,589,61.93,23.59,29.67
GPT-5.1,Reasoning,OpenAI,506,53.21,23.4,25.49
GPT-5.1,Problem Solving,Meta AI,368,38.7,14.74,31.45
GPT-5.1,Decision Making,Meta AI,349,36.7,13.98,30.32
GPT-5.1,Decision Making,OpenAI,317,33.33,14.66,27.54
GPT-5.1,Problem Solving,OpenAI,314,33.02,14.52,26.84
GPT-5.1,Reasoning,Other / Academic,269,28.29,21.87,13.55
GPT-5.1,Social Reasoning,Meta AI,225,23.66,9.01,31.21
GPT-5.1,Reasoning,Mistral AI,203,21.35,20.67,10.23
GPT-5.1,Learning,Meta AI,185,19.45,7.41,29.27
GPT-5.1,Social Reasoning,OpenAI,176,18.51,8.14,24.41
GPT-5.1,Memory,Meta AI,175,18.4,7.01,30.65
GPT-5.1,Decision Making,Other / Academic,166,17.46,13.5,14.42
GPT-5.1,Perception,Other / Academic,160,16.82,13.01,26.89
GPT-5.1,Learning,OpenAI,156,16.4,7.22,24.68
GPT-5.1,Emotion,Meta AI,150,15.77,6.01,30.93
GPT-5.1,Perception,OpenAI,149,15.67,6.89,25.04
GPT-5.1,Learning,Other / Academic,131,13.77,10.65,20.73
GPT-5.1,Problem Solving,Other / Academic,127,13.35,10.33,10.85
GPT-5.1,Memory,OpenAI,125,13.14,5.78,21.89
GPT-5.1,Attention,Meta AI,123,12.93,4.93,23.65
GPT-5.1,Social Reasoning,Mistral AI,121,12.72,12.32,16.78
GPT-5.1,Emotion,OpenAI,119,12.51,5.5,24.54
GPT-5.1,Attention,OpenAI,119,12.51,5.5,22.88
GPT-5.1,Moral Cognition,Meta AI,117,12.3,4.69,31.45
GPT-5.1,Problem Solving,Mistral AI,113,11.88,11.51,9.66
GPT-5.1,Perception,Meta AI,112,11.78,4.49,18.82
GPT-5.1,Decision Making,Mistral AI,110,11.57,11.2,9.56
GPT-5.1,Attention,Other / Academic,106,11.15,8.62,20.38
GPT-5.1,Moral Cognition,OpenAI,95,9.99,4.39,25.54
GPT-5.1,Reasoning,Anthropic,95,9.99,23.46,4.79
GPT-5.1,Reasoning,Alibaba / Qwen team,94,9.88,24.42,4.74
GPT-5.1,Reasoning,Google DeepMind,90,9.46,23.08,4.53
GPT-5.1,Memory,Mistral AI,90,9.46,9.16,15.76
GPT-5.1,Memory,Other / Academic,79,8.31,6.42,13.84
GPT-5.1,Emotion,Mistral AI,74,7.78,7.54,15.26
GPT-5.1,Social Reasoning,Other / Academic,70,7.36,5.69,9.71
GPT-5.1,Learning,Mistral AI,69,7.26,7.03,10.92
