source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GT,Reasoning,Transformer,609,69.36,20.44,61.95
GT,Problem Solving,Transformer,436,49.66,14.63,61.67
GT,Decision Making,Transformer,369,42.03,12.38,52.87
GT,Social Reasoning,Transformer,263,29.95,8.83,62.62
GT,Perception,Transformer,232,26.42,7.79,50.22
GT,Learning,Transformer,225,25.63,7.55,58.59
GT,Attention,Transformer,220,25.06,7.38,56.85
GT,Emotion,Transformer,189,21.53,6.34,63.85
GT,Memory,Transformer,187,21.3,6.28,60.32
GT,Reasoning,Generative,166,18.91,19.17,16.89
GT,Problem Solving,Generative,125,14.24,14.43,17.68
GT,Decision Making,Generative,121,13.78,13.97,17.34
GT,Moral Cognition,Transformer,113,12.87,3.79,68.48
GT,Perception,Generative,86,9.79,9.93,18.61
GT,Attention,Generative,73,8.31,8.43,18.86
GT,Social Reasoning,Generative,67,7.63,7.74,15.95
GT,Learning,Generative,66,7.52,7.62,17.19
GT,Decision Making,Linear,63,7.18,17.7,9.03
GT,Empathy,Transformer,62,7.06,2.08,67.39
GT,Reasoning,Linear,60,6.83,16.85,6.1
GT,Reasoning,Probabilistic,50,5.69,21.1,5.09
GT,Emotion,Generative,50,5.69,5.77,16.89
GT,Memory,Generative,49,5.58,5.66,15.81
GT,Theory of Mind,Transformer,43,4.9,1.44,65.15
GT,Perception,CNN,39,4.44,24.53,8.44
GT,Problem Solving,Linear,38,4.33,10.67,5.37
GT,Decision Making,Probabilistic,37,4.21,15.61,5.3
GT,Perception,Linear,36,4.1,10.11,7.79
GT,Decision Making,Tree-Based,35,3.99,20.23,5.01
GT,Problem Solving,Probabilistic,34,3.87,14.35,4.81
GT,Social Reasoning,Linear,33,3.76,9.27,7.86
GT,Reasoning,Tree-Based,30,3.42,17.34,3.05
GT,Problem Solving,Tree-Based,29,3.3,16.76,4.1
GT,Moral Cognition,Generative,27,3.08,3.12,16.36
GT,Memory,Linear,25,2.85,7.02,8.06
GT,Learning,Linear,25,2.85,7.02,6.51
GT,Perception,Probabilistic,24,2.73,10.13,5.19
GT,Decision Making,Graph Neural Network (Gnn),24,2.73,22.64,3.44
GT,Reasoning,CNN,23,2.62,14.47,2.34
GT,Personality,Transformer,23,2.62,0.77,67.65
GT,Emotion,Linear,23,2.62,6.46,7.77
GT,Attention,Linear,22,2.51,6.18,5.68
GT,Decision Making,CNN,22,2.51,13.84,3.15
GT,Attention,Probabilistic,22,2.51,9.28,5.68
GT,Attention,CNN,20,2.28,12.58,5.17
GT,Reasoning,Graph Neural Network (Gnn),20,2.28,18.87,2.03
GT,Learning,Probabilistic,19,2.16,8.02,4.95
GT,Social Reasoning,Probabilistic,18,2.05,7.59,4.29
GT,Memory,Probabilistic,18,2.05,7.59,5.81
GT,Perception,Tree-Based,17,1.94,9.83,3.68
GT,Empathy,Generative,16,1.82,1.85,17.39
GT,Social Reasoning,Tree-Based,15,1.71,8.67,3.57
GT,Learning,Tree-Based,15,1.71,8.67,3.91
GT,Decision Making,RNN,14,1.59,20.0,2.01
GT,Problem Solving,Graph Neural Network (Gnn),14,1.59,13.21,1.98
GT,Attention,Tree-Based,13,1.48,7.51,3.36
GT,Decision Making,Kernel,13,1.48,18.06,1.86
GT,Problem Solving,CNN,13,1.48,8.18,1.84
GT,Reasoning,RNN,13,1.48,18.57,1.32
GT,Learning,CNN,12,1.37,7.55,3.12
GT,Reasoning,Kernel,12,1.37,16.67,1.22
GT,Moral Cognition,Linear,12,1.37,3.37,7.27
GT,Perception,Graph Neural Network (Gnn),11,1.25,10.38,2.38
GT,Learning,Graph Neural Network (Gnn),11,1.25,10.38,2.86
GT,Theory of Mind,Generative,11,1.25,1.27,16.67
GT,Problem Solving,Kernel,10,1.14,13.89,1.41
GT,Memory,RNN,9,1.03,12.86,2.9
GT,Social Reasoning,CNN,9,1.03,5.66,2.14
GT,Emotion,Probabilistic,9,1.03,3.8,3.04
GT,Cognitive Load,Transformer,9,1.03,0.3,60.0
GT,Empathy,Linear,9,1.03,2.53,9.78
GT,Perception,RNN,9,1.03,12.86,1.95
GT,Problem Solving,RNN,8,0.91,11.43,1.13
GT,Emotion,CNN,8,0.91,5.03,2.7
GT,Perception,Kernel,8,0.91,11.11,1.73
GT,Attention,Graph Neural Network (Gnn),7,0.8,6.6,1.81
GT,Emotion,Tree-Based,7,0.8,4.05,2.36
GT,Personality,Generative,7,0.8,0.81,20.59
GT,Social Reasoning,Graph Neural Network (Gnn),7,0.8,6.6,1.67
GT,Theory of Mind,Linear,7,0.8,1.97,10.61
GT,Social Reasoning,Kernel,7,0.8,9.72,1.67
GT,Attention,RNN,6,0.68,8.57,1.55
GT,Memory,CNN,6,0.68,3.77,1.94
GT,Memory,Graph Neural Network (Gnn),6,0.68,5.66,1.94
GT,Learning,RNN,6,0.68,8.57,1.56
GT,Memory,Kernel,5,0.57,6.94,1.61
GT,Memory,Tree-Based,5,0.57,2.89,1.61
GT,Learning,Kernel,5,0.57,6.94,1.3
GT,Emotion,Kernel,4,0.46,5.56,1.35
GT,Attention,Kernel,4,0.46,5.56,1.03
GT,Emotion,RNN,3,0.34,4.29,1.01
GT,Moral Cognition,Kernel,3,0.34,4.17,1.82
GT,Moral Cognition,Graph Neural Network (Gnn),3,0.34,2.83,1.82
GT,Emotion,Graph Neural Network (Gnn),3,0.34,2.83,1.01
GT,Moral Cognition,Probabilistic,3,0.34,1.27,1.82
GT,Moral Cognition,CNN,3,0.34,1.89,1.82
GT,Cognitive Load,Generative,2,0.23,0.23,13.33
GT,Empathy,Tree-Based,2,0.23,1.16,2.17
GT,Theory of Mind,Tree-Based,2,0.23,1.16,3.03
GT,Personality,Linear,2,0.23,0.56,5.88
GT,Empathy,Probabilistic,2,0.23,0.84,2.17
GT,Moral Cognition,Tree-Based,1,0.11,0.58,0.61
GT,Theory of Mind,CNN,1,0.11,0.63,1.52
GT,Cognitive Load,Linear,1,0.11,0.28,6.67
GT,Personality,Tree-Based,1,0.11,0.58,2.94
GT,Social Reasoning,RNN,1,0.11,1.43,0.24
GT,Empathy,CNN,1,0.11,0.63,1.09
GT,Personality,CNN,1,0.11,0.63,2.94
GT,Theory of Mind,Probabilistic,1,0.11,0.42,1.52
GT,Cognitive Load,RNN,1,0.11,1.43,6.67
GT,Cognitive Load,CNN,1,0.11,0.63,6.67
GT,Theory of Mind,Kernel,1,0.11,1.39,1.52
GT,Cognitive Load,Tree-Based,1,0.11,0.58,6.67
