source,dataset_subcategory,model_subcategory,paper_count,paper_percent,model_column_percent,dataset_row_percent
GT,Medium,Transformer,638,70.03,42.2,57.63
GT,Large,Transformer,487,53.46,32.21,53.69
GT,Small,Transformer,387,42.48,25.6,58.99
GT,Medium,Generative,184,20.2,42.11,16.62
GT,Large,Generative,147,16.14,33.64,16.21
GT,Small,Generative,106,11.64,24.26,16.16
GT,Medium,Linear,76,8.34,38.58,6.87
GT,Large,Linear,74,8.12,37.56,8.16
GT,Medium,Probabilistic,58,6.37,40.85,5.24
GT,Large,Probabilistic,51,5.6,35.92,5.62
GT,Medium,CNN,48,5.27,47.06,4.34
GT,Small,Linear,47,5.16,23.86,7.16
GT,Medium,Tree-Based,43,4.72,42.57,3.88
GT,Large,Tree-Based,38,4.17,37.62,4.19
GT,Large,Graph Neural Network (Gnn),34,3.73,40.96,3.75
GT,Large,CNN,33,3.62,32.35,3.64
GT,Small,Probabilistic,33,3.62,23.24,5.03
GT,Medium,Graph Neural Network (Gnn),27,2.96,32.53,2.44
GT,Large,RNN,24,2.63,48.0,2.65
GT,Small,Graph Neural Network (Gnn),22,2.41,26.51,3.35
GT,Small,CNN,21,2.31,20.59,3.2
GT,Small,Tree-Based,20,2.2,19.8,3.05
GT,Large,Kernel,19,2.09,41.3,2.09
GT,Medium,Kernel,18,1.98,39.13,1.63
GT,Medium,RNN,15,1.65,30.0,1.36
GT,Small,RNN,11,1.21,22.0,1.68
GT,Small,Kernel,9,0.99,19.57,1.37
