source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
DeepSeek,Accuracy,Transformer,833,83.72,47.46,69.13
DeepSeek,Accuracy,Generative,252,25.33,46.93,20.91
DeepSeek,Efficiency / Latency,Transformer,196,19.7,11.17,64.47
DeepSeek,Continuous Prediction,Transformer,178,17.89,10.14,66.42
DeepSeek,Ranking,Transformer,132,13.27,7.52,59.46
DeepSeek,Probability,Transformer,89,8.94,5.07,77.39
DeepSeek,Safety,Transformer,79,7.94,4.5,72.48
DeepSeek,Regression,Transformer,69,6.93,3.93,54.76
DeepSeek,User Experience,Transformer,66,6.63,3.76,75.0
DeepSeek,Efficiency / Latency,Generative,61,6.13,11.36,20.07
DeepSeek,Continuous Prediction,Generative,57,5.73,10.61,21.27
DeepSeek,Robustness,Transformer,45,4.52,2.56,71.43
DeepSeek,Ranking,Generative,37,3.72,6.89,16.67
DeepSeek,Fairness,Transformer,36,3.62,2.05,73.47
DeepSeek,Regression,Generative,28,2.81,5.21,22.22
DeepSeek,Accuracy,CNN,27,2.71,47.37,2.24
DeepSeek,Safety,Generative,27,2.71,5.03,24.77
DeepSeek,Accuracy,Tree-Based,26,2.61,38.81,2.16
DeepSeek,Probability,Generative,20,2.01,3.72,17.39
DeepSeek,Accuracy,Graph Neural Network (Gnn),19,1.91,43.18,1.58
DeepSeek,Uncertainty,Transformer,18,1.81,1.03,64.29
DeepSeek,Robustness,Generative,16,1.61,2.98,25.4
DeepSeek,User Experience,Generative,15,1.51,2.79,17.05
DeepSeek,Explainability,Transformer,14,1.41,0.8,56.0
DeepSeek,Efficiency / Latency,Reinforcement Learning (Rl),14,1.41,29.17,4.61
DeepSeek,Ranking,Graph Neural Network (Gnn),13,1.31,29.55,5.86
DeepSeek,Regression,Tree-Based,13,1.31,19.4,10.32
DeepSeek,Accuracy,Reinforcement Learning (Rl),13,1.31,27.08,1.08
DeepSeek,Accuracy,Linear,13,1.31,37.14,1.08
DeepSeek,Fairness,Generative,12,1.21,2.23,24.49
DeepSeek,Continuous Prediction,Reinforcement Learning (Rl),11,1.11,22.92,4.1
DeepSeek,Accuracy,RNN,10,1.01,41.67,0.83
DeepSeek,Ranking,CNN,10,1.01,17.54,4.5
DeepSeek,Efficiency / Latency,CNN,9,0.9,15.79,2.96
DeepSeek,Accuracy,Probabilistic,9,0.9,30.0,0.75
DeepSeek,Continuous Prediction,Tree-Based,8,0.8,11.94,2.99
