source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
DeepSeek,Accuracy,Open,808,81.21,47.28,59.76
DeepSeek,Accuracy,Closed,544,54.67,47.3,40.24
DeepSeek,Efficiency / Latency,Open,195,19.6,11.41,61.32
DeepSeek,Continuous Prediction,Open,171,17.19,10.01,57.0
DeepSeek,Ranking,Open,131,13.17,7.67,64.85
DeepSeek,Continuous Prediction,Closed,129,12.96,11.22,43.0
DeepSeek,Efficiency / Latency,Closed,123,12.36,10.7,38.68
DeepSeek,Probability,Open,90,9.05,5.27,71.43
DeepSeek,Safety,Open,75,7.54,4.39,56.82
DeepSeek,Ranking,Closed,71,7.14,6.17,35.15
DeepSeek,Regression,Open,69,6.93,4.04,57.5
DeepSeek,User Experience,Open,62,6.23,3.63,51.67
DeepSeek,User Experience,Closed,58,5.83,5.04,48.33
DeepSeek,Safety,Closed,57,5.73,4.96,43.18
DeepSeek,Regression,Closed,51,5.13,4.43,42.5
DeepSeek,Robustness,Open,44,4.42,2.57,58.67
DeepSeek,Probability,Closed,36,3.62,3.13,28.57
DeepSeek,Fairness,Open,34,3.42,1.99,54.84
DeepSeek,Robustness,Closed,31,3.12,2.7,41.33
DeepSeek,Fairness,Closed,28,2.81,2.43,45.16
DeepSeek,Uncertainty,Open,16,1.61,0.94,57.14
DeepSeek,Explainability,Open,14,1.41,0.82,58.33
DeepSeek,Uncertainty,Closed,12,1.21,1.04,42.86
DeepSeek,Explainability,Closed,10,1.01,0.87,41.67
