source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
DeepSeek,Accuracy,OpenAI,588,59.1,46.45,31.28
DeepSeek,Accuracy,Meta AI,527,52.96,47.05,28.03
DeepSeek,Accuracy,Other / Academic,347,34.87,47.02,18.46
DeepSeek,Accuracy,Google DeepMind,180,18.09,50.7,9.57
DeepSeek,Efficiency / Latency,OpenAI,142,14.27,11.22,31.77
DeepSeek,Continuous Prediction,OpenAI,134,13.47,10.58,33.0
DeepSeek,Efficiency / Latency,Meta AI,126,12.66,11.25,28.19
DeepSeek,Continuous Prediction,Meta AI,116,11.66,10.36,28.57
DeepSeek,Accuracy,Anthropic,108,10.85,48.0,5.74
DeepSeek,Efficiency / Latency,Other / Academic,82,8.24,11.11,18.34
DeepSeek,Ranking,Other / Academic,81,8.14,10.98,28.42
DeepSeek,Ranking,OpenAI,80,8.04,6.32,28.07
DeepSeek,Continuous Prediction,Other / Academic,78,7.84,10.57,19.21
DeepSeek,Probability,OpenAI,68,6.83,5.37,36.17
DeepSeek,Ranking,Meta AI,66,6.63,5.89,23.16
DeepSeek,Probability,Meta AI,65,6.53,5.8,34.57
DeepSeek,Safety,OpenAI,58,5.83,4.58,31.35
DeepSeek,Safety,Meta AI,57,5.73,5.09,30.81
DeepSeek,User Experience,OpenAI,57,5.73,4.5,38.0
DeepSeek,Accuracy,Mistral AI,57,5.73,45.24,3.03
DeepSeek,Regression,OpenAI,52,5.23,4.11,32.1
DeepSeek,Regression,Other / Academic,42,4.22,5.69,25.93
DeepSeek,User Experience,Meta AI,42,4.22,3.75,28.0
DeepSeek,Regression,Meta AI,39,3.92,3.48,24.07
DeepSeek,Robustness,OpenAI,36,3.62,2.84,33.03
DeepSeek,Robustness,Meta AI,35,3.52,3.12,32.11
DeepSeek,Efficiency / Latency,Google DeepMind,33,3.32,9.3,7.38
DeepSeek,Accuracy,Microsoft Research,32,3.22,56.14,1.7
DeepSeek,Continuous Prediction,Google DeepMind,31,3.12,8.73,7.64
DeepSeek,Ranking,Google DeepMind,30,3.02,8.45,10.53
DeepSeek,Fairness,OpenAI,29,2.91,2.29,35.37
DeepSeek,Safety,Other / Academic,28,2.81,3.79,15.14
DeepSeek,Fairness,Meta AI,27,2.71,2.41,32.93
DeepSeek,Continuous Prediction,Anthropic,26,2.61,11.56,6.4
DeepSeek,Efficiency / Latency,Anthropic,26,2.61,11.56,5.82
DeepSeek,Efficiency / Latency,Mistral AI,22,2.21,17.46,4.92
DeepSeek,Probability,Other / Academic,22,2.21,2.98,11.7
DeepSeek,Accuracy,Hugging Face,21,2.11,50.0,1.12
DeepSeek,Safety,Google DeepMind,20,2.01,5.63,10.81
DeepSeek,User Experience,Other / Academic,18,1.81,2.44,12.0
DeepSeek,Robustness,Other / Academic,17,1.71,2.3,15.6
DeepSeek,Safety,Anthropic,16,1.61,7.11,8.65
DeepSeek,Regression,Google DeepMind,14,1.41,3.94,8.64
DeepSeek,User Experience,Google DeepMind,14,1.41,3.94,9.33
DeepSeek,Uncertainty,Meta AI,13,1.31,1.16,30.95
DeepSeek,Uncertainty,OpenAI,12,1.21,0.95,28.57
DeepSeek,Probability,Google DeepMind,11,1.11,3.1,5.85
DeepSeek,Accuracy,DeepSeek,11,1.11,52.38,0.59
DeepSeek,Robustness,Google DeepMind,11,1.11,3.1,10.09
DeepSeek,Continuous Prediction,Mistral AI,11,1.11,8.73,2.71
DeepSeek,Fairness,Other / Academic,11,1.11,1.49,13.41
DeepSeek,Explainability,OpenAI,10,1.01,0.79,33.33
DeepSeek,Ranking,Anthropic,9,0.9,4.0,3.16
DeepSeek,User Experience,Anthropic,9,0.9,4.0,6.0
DeepSeek,Probability,Mistral AI,9,0.9,7.14,4.79
DeepSeek,Ranking,Hugging Face,8,0.8,19.05,2.81
DeepSeek,Accuracy,Alibaba / Qwen team,8,0.8,57.14,0.43
DeepSeek,Explainability,Other / Academic,8,0.8,1.08,26.67
DeepSeek,Ranking,Microsoft Research,8,0.8,14.04,2.81
DeepSeek,Probability,Anthropic,7,0.7,3.11,3.72
DeepSeek,Fairness,Anthropic,7,0.7,3.11,8.54
DeepSeek,Regression,Anthropic,7,0.7,3.11,4.32
DeepSeek,Explainability,Meta AI,7,0.7,0.62,23.33
DeepSeek,Efficiency / Latency,Microsoft Research,6,0.6,10.53,1.34
DeepSeek,User Experience,Mistral AI,5,0.5,3.97,3.33
DeepSeek,Uncertainty,Google DeepMind,5,0.5,1.41,11.9
DeepSeek,Efficiency / Latency,DeepSeek,5,0.5,23.81,1.12
DeepSeek,Safety,Mistral AI,5,0.5,3.97,2.7
DeepSeek,Robustness,Mistral AI,5,0.5,3.97,4.59
DeepSeek,Continuous Prediction,Hugging Face,5,0.5,11.9,1.23
DeepSeek,Uncertainty,Mistral AI,4,0.4,3.17,9.52
DeepSeek,Fairness,Google DeepMind,4,0.4,1.13,4.88
DeepSeek,Uncertainty,Anthropic,4,0.4,1.78,9.52
DeepSeek,Uncertainty,Other / Academic,4,0.4,0.54,9.52
DeepSeek,Continuous Prediction,Microsoft Research,4,0.4,7.02,0.99
DeepSeek,Robustness,Anthropic,3,0.3,1.33,2.75
DeepSeek,Efficiency / Latency,Hugging Face,3,0.3,7.14,0.67
DeepSeek,Probability,Alibaba / Qwen team,3,0.3,21.43,1.6
DeepSeek,Regression,Microsoft Research,3,0.3,5.26,1.85
DeepSeek,Explainability,Anthropic,3,0.3,1.33,10.0
DeepSeek,Regression,Mistral AI,3,0.3,2.38,1.85
DeepSeek,Ranking,Mistral AI,3,0.3,2.38,1.05
DeepSeek,User Experience,DeepSeek,2,0.2,9.52,1.33
DeepSeek,Fairness,Hugging Face,2,0.2,4.76,2.44
DeepSeek,Explainability,Google DeepMind,2,0.2,0.56,6.67
DeepSeek,User Experience,Microsoft Research,2,0.2,3.51,1.33
DeepSeek,Fairness,Mistral AI,2,0.2,1.59,2.44
DeepSeek,Regression,Hugging Face,2,0.2,4.76,1.23
DeepSeek,Continuous Prediction,DeepSeek,1,0.1,4.76,0.25
DeepSeek,Safety,Alibaba / Qwen team,1,0.1,7.14,0.54
DeepSeek,Probability,Hugging Face,1,0.1,2.38,0.53
DeepSeek,Probability,Microsoft Research,1,0.1,1.75,0.53
DeepSeek,Probability,DeepSeek,1,0.1,4.76,0.53
DeepSeek,Robustness,Microsoft Research,1,0.1,1.75,0.92
DeepSeek,Accuracy,Stability AI,1,0.1,50.0,0.05
DeepSeek,Efficiency / Latency,Stability AI,1,0.1,50.0,0.22
DeepSeek,User Experience,Alibaba / Qwen team,1,0.1,7.14,0.67
DeepSeek,Robustness,DeepSeek,1,0.1,4.76,0.92
DeepSeek,Efficiency / Latency,Alibaba / Qwen team,1,0.1,7.14,0.22
