source,metric_subcategory,model_subcategory,paper_count,paper_percent,metric_given_model_percent,model_given_metric_percent
GT,Accuracy,Other / Academic,555,58.85,33.8,20.73
GT,Accuracy,OpenAI,457,48.46,33.93,17.07
GT,Accuracy,Alibaba / Qwen team,364,38.6,34.7,13.6
GT,Accuracy,Meta AI,360,38.18,32.85,13.45
GT,Accuracy,Google DeepMind,283,30.01,34.1,10.57
GT,Accuracy,DeepSeek,219,23.22,34.22,8.18
GT,Efficiency / Latency,Other / Academic,200,21.21,12.18,22.27
GT,Continuous Prediction,Other / Academic,199,21.1,12.12,21.08
GT,Continuous Prediction,OpenAI,169,17.92,12.55,17.9
GT,Ranking,Other / Academic,161,17.07,9.81,22.55
GT,Accuracy,Anthropic,157,16.65,33.33,5.86
GT,Regression,Other / Academic,146,15.48,8.89,21.86
GT,Efficiency / Latency,Alibaba / Qwen team,136,14.42,12.96,15.14
GT,Efficiency / Latency,OpenAI,132,14.0,9.8,14.7
GT,Efficiency / Latency,Meta AI,130,13.79,11.86,14.48
GT,Accuracy,Mistral AI,124,13.15,31.71,4.63
GT,Continuous Prediction,Meta AI,121,12.83,11.04,12.82
GT,Continuous Prediction,Alibaba / Qwen team,115,12.2,10.96,12.18
GT,Ranking,OpenAI,114,12.09,8.46,15.97
GT,Regression,OpenAI,111,11.77,8.24,16.62
GT,Continuous Prediction,Google DeepMind,106,11.24,12.77,11.23
GT,User Experience,OpenAI,103,10.92,7.65,21.19
GT,Ranking,Meta AI,99,10.5,9.03,13.87
GT,User Experience,Other / Academic,94,9.97,5.72,19.34
GT,Regression,Meta AI,94,9.97,8.58,14.07
GT,Accuracy,Microsoft Research,93,9.86,31.31,3.47
GT,Ranking,Alibaba / Qwen team,89,9.44,8.48,12.46
GT,Probability,Other / Academic,87,9.23,5.3,20.0
GT,Efficiency / Latency,DeepSeek,81,8.59,12.66,9.02
GT,Ranking,Google DeepMind,80,8.48,9.64,11.2
GT,Safety,OpenAI,78,8.27,5.79,17.81
GT,Probability,Meta AI,78,8.27,7.12,17.93
GT,Safety,Other / Academic,76,8.06,4.63,17.35
GT,Efficiency / Latency,Google DeepMind,74,7.85,8.92,8.24
GT,Regression,Google DeepMind,74,7.85,8.92,11.08
GT,Regression,Alibaba / Qwen team,73,7.74,6.96,10.93
GT,Continuous Prediction,DeepSeek,67,7.1,10.47,7.1
GT,Probability,OpenAI,66,7.0,4.9,15.17
GT,Probability,Alibaba / Qwen team,63,6.68,6.01,14.48
GT,Safety,Meta AI,62,6.57,5.66,14.16
GT,Safety,Alibaba / Qwen team,62,6.57,5.91,14.16
GT,Continuous Prediction,Anthropic,61,6.47,12.95,6.46
GT,User Experience,Alibaba / Qwen team,58,6.15,5.53,11.93
GT,User Experience,Meta AI,56,5.94,5.11,11.52
GT,Ranking,DeepSeek,52,5.51,8.12,7.28
GT,User Experience,DeepSeek,51,5.41,7.97,10.49
GT,User Experience,Google DeepMind,50,5.3,6.02,10.29
GT,Efficiency / Latency,Anthropic,49,5.2,10.4,5.46
GT,Continuous Prediction,Mistral AI,45,4.77,11.51,4.77
GT,Robustness,Other / Academic,44,4.67,2.68,17.74
GT,Regression,DeepSeek,44,4.67,6.88,6.59
GT,Robustness,OpenAI,44,4.67,3.27,17.74
