Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
Modalities,Audio,69,75,1.6227657572906868,1.70261066969353,6,8.695652173913043,0.07984491240284308
Modalities,Graph,189,204,4.444967074317968,4.631101021566402,15,7.936507936507936,0.18613394724843424
Modalities,Image,323,309,7.596425211665099,7.014755959137344,-14,-4.3343653250774,-0.5816692525277549
Modalities,"Image, Multimodal",0,2,0.0,0.04540295119182747,2,inf,0.04540295119182747
Modalities,"Image, Text",0,5,0.0,0.11350737797956867,5,inf,0.11350737797956867
Modalities,Multimodal,362,364,8.513640639698965,8.263337116912599,2,0.5524861878453038,-0.2503035227863659
Modalities,Spatial,190,180,4.468485418626528,4.0862656072644725,-10,-5.263157894736842,-0.38221981136205585
Modalities,Text,2523,2690,59.33678269049859,61.06696935300795,167,6.619104240982956,1.730186662509361
Modalities,"Text, Multimodal",0,3,0.0,0.0681044267877412,3,inf,0.0681044267877412
Modalities,Time series,462,443,10.865475070555034,10.056753688989785,-19,-4.112554112554113,-0.808721381565249
Modalities,Video,134,130,3.151458137347131,2.9511918274687856,-4,-2.9850746268656714,-0.20026630987834526
TaskTypes,Alignment,243,234,3.3614607829575323,3.2667876588021776,-9,-3.7037037037037033,-0.09467312415535467
TaskTypes,Classification,1496,1500,20.69442523170563,20.94094653078319,4,0.267379679144385,0.24652129907756049
TaskTypes,"Classification, Generation",0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Clustering,50,43,0.6916585973163646,0.6003071338824515,-7,-14.000000000000002,-0.0913514634339131
TaskTypes,Decision Making,4,6,0.05533268778530917,0.08376378612313277,2,50.0,0.028431098337823604
TaskTypes,Decision making,0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Dialogue,266,230,3.67962373772306,3.210945134720089,-36,-13.533834586466165,-0.4686786030029708
TaskTypes,"Dialogue, Alignment",2,0,0.027666343892654585,0.0,-2,-100.0,-0.027666343892654585
TaskTypes,"Dialogue, Classification",1,0,0.013833171946327293,0.0,-1,-100.0,-0.013833171946327293
TaskTypes,Forecasting,303,206,4.1914510997371695,2.875889990227558,-97,-32.01320132013201,-1.3155611095096114
TaskTypes,Generation,841,1093,11.633697606861253,15.258969705430687,252,29.964328180737215,3.625272098569434
TaskTypes,"Generation, Reasoning",0,2,0.0,0.027921262041044257,2,inf,0.027921262041044257
TaskTypes,Multimodal integration,192,207,2.65596901369484,2.8898506212480806,15,7.8125,0.2338816075532404
TaskTypes,Object detection,146,101,2.0196431041637846,1.4100237330727348,-45,-30.82191780821918,-0.6096193710910498
TaskTypes,Problem Solving,1,0,0.013833171946327293,0.0,-1,-100.0,-0.013833171946327293
TaskTypes,Question answering,1099,1024,15.202655969013696,14.29568616501466,-75,-6.824385805277525,-0.9069698039990364
TaskTypes,"Question answering, Generation",1,0,0.013833171946327293,0.0,-1,-100.0,-0.013833171946327293
TaskTypes,"Question answering, Reasoning",0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Ranking,15,15,0.20749757919490938,0.20940946530783192,0,0.0,0.001911886112922534
TaskTypes,Reasoning,1298,1351,17.955457186332826,18.860812508725395,53,4.083204930662557,0.9053553223925697
TaskTypes,"Reasoning, Generation",0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Recommendation,0,3,0.0,0.04188189306156639,3,inf,0.04188189306156639
TaskTypes,Regression,302,237,4.177617927790842,3.3086695518637446,-65,-21.52317880794702,-0.8689483759270975
TaskTypes,Reinforcement learning,153,192,2.116475307788076,2.680441155940249,39,25.49019607843137,0.563965848152173
TaskTypes,Retrieval,376,363,5.201272651819062,5.067709060449532,-13,-3.4574468085106385,-0.1335635913695299
TaskTypes,"Retrieval, Reasoning",0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Segmentation,1,0,0.013833171946327293,0.0,-1,-100.0,-0.013833171946327293
TaskTypes,Sequence labeling,142,147,1.9643104163784755,2.0522127600167526,5,3.5211267605633805,0.08790234363827709
TaskTypes,Summarization,229,140,3.16779637570895,1.954488342873098,-89,-38.864628820960704,-1.2133080328358519
TaskTypes,"Summarization, Reasoning",0,1,0.0,0.013960631020522129,1,inf,0.013960631020522129
TaskTypes,Translation,68,63,0.9406556923502559,0.8795197542928941,-5,-7.352941176470589,-0.06113593805736184
Domains,Biology,67,59,1.2579797221179123,1.0756608933454876,-8,-11.940298507462686,-0.18231882877242467
Domains,Chemistry,40,41,0.7510326699211416,0.7474931631722881,1,2.5,-0.003539506748853505
Domains,Economics,183,181,3.435974464889223,3.2999088422971745,-2,-1.092896174863388,-0.13606562259204846
Domains,Education,444,484,8.33646263612467,8.824065633546034,40,9.00900900900901,0.48760299742136404
Domains,Entertainment,173,176,3.2482162974089372,3.208751139471285,3,1.7341040462427744,-0.03946515793765215
Domains,Environmental,58,52,1.0889973713856553,0.9480401093892433,-6,-10.344827586206897,-0.140957261996412
Domains,General,1324,1432,24.859181374389784,26.10756608933455,108,8.157099697885197,1.2483847149447662
Domains,Geospatial,88,74,1.6522718738265114,1.3491340018231541,-14,-15.909090909090908,-0.3031378720033573
Domains,Healthcare,277,277,5.200901239203906,5.050136736554238,0,0.0,-0.15076450264966734
Domains,Infrastructure,424,451,7.9609463011641015,8.222424794895169,27,6.367924528301887,0.261478493731067
Domains,Legal,63,57,1.182876455125798,1.0391978122151322,-6,-9.523809523809524,-0.1436786429106658
Domains,Media,257,268,4.825384904243334,4.886052871467639,11,4.280155642023346,0.060667967224304675
Domains,Ontology,41,62,0.7698084866691701,1.130355515041021,21,51.21951219512195,0.3605470283718508
Domains,Robotics,160,147,3.0041306796845664,2.68003646308113,-13,-8.125,-0.3240942166034362
Domains,Scientific / academic,707,673,13.274502440856178,12.26982680036463,-34,-4.809052333804809,-1.0046756404915484
Domains,Social,577,591,10.833646263612467,10.774840474020055,14,2.4263431542461005,-0.05880578959241234
Domains,Spatial,0,3,0.0,0.05469462169553327,3,inf,0.05469462169553327
Domains,Vision,443,457,8.317686819376643,8.331814038286236,14,3.160270880361174,0.014127218909592898
Annotation,Crowdsourced,1044,1032,19.980861244019138,18.648355619804843,-12,-1.1494252873563218,-1.3325056242142956
Annotation,Curated,3,3,0.05741626794258373,0.054210336104083844,0,0.0,-0.0032059318384998897
Annotation,Expert Annotations,1313,1539,25.129186602870814,27.809902421395012,226,17.212490479817212,2.680715818524199
Annotation,Fully Supervised,2132,2255,40.80382775119617,40.748102638236354,123,5.769230769230769,-0.05572511295981286
Annotation,Reinforcement Feedback,137,127,2.6220095693779903,2.294904228406216,-10,-7.2992700729927,-0.32710534097177435
Annotation,Self-Supervised,396,396,7.578947368421053,7.155764365739067,0,0.0,-0.42318300268198605
Annotation,Semi-Supervised,1,1,0.019138755980861243,0.018070112034694615,0,0.0,-0.0010686439461666287
Annotation,Weakly Supervised,199,181,3.8086124401913874,3.2706902782797256,-18,-9.045226130653267,-0.5379221619116619
Size,Large,1596,1555,48.95705521472393,47.86088027085257,-41,-2.568922305764411,-1.096174943871361
Size,Medium,951,923,29.17177914110429,28.408741151123422,-28,-2.9442691903259726,-0.7630379899808695
Size,Small,713,771,21.87116564417178,23.73037857802401,58,8.134642356241233,1.8592129338522305
Granularity,Document-level,1499,1594,43.61361652604015,46.84102262709374,95,6.337558372248166,3.227406101053596
Granularity,Frame-level,258,247,7.506546406750073,7.258301498677637,-11,-4.263565891472868,-0.2482449080724356
Granularity,Object-level,430,379,12.510910677916787,11.137231854246252,-51,-11.86046511627907,-1.3736788236705344
Granularity,Pixel-level,54,36,1.5711376200174572,1.0578900969732588,-18,-33.33333333333333,-0.5132475230441984
Granularity,Sentence-level,942,880,27.407622926971197,25.85953570379077,-62,-6.581740976645436,-1.5480872231804277
Granularity,Token-level,254,267,7.390165842304334,7.846018219218337,13,5.118110236220472,0.4558523769140024
Linguistic,cross-lingual,13,16,0.39877300613496935,0.49245921822099104,3,23.076923076923077,0.09368621208602168
Linguistic,monolingual,3005,3003,92.17791411042946,92.42843951985226,-2,-0.06655574043261231,0.25052540942280643
Linguistic,multilingual,242,230,7.423312883435583,7.0791012619267475,-12,-4.958677685950414,-0.3442116215088351
CognitiveAffective,Attention,459,393,6.588201521458304,5.478115416782827,-66,-14.37908496732026,-1.110086104675477
CognitiveAffective,Cognitive Load,14,20,0.20094732309458876,0.2787844995818232,6,42.857142857142854,0.07783717648723446
CognitiveAffective,Decision Making,821,930,11.784125161475528,12.96347923055478,109,13.276492082825822,1.1793540690792526
CognitiveAffective,Emotion,341,306,4.894502655375341,4.265402843601896,-35,-10.263929618768328,-0.629099811773445
CognitiveAffective,Empathy,104,87,1.4927515429883738,1.2127125731809312,-17,-16.346153846153847,-0.2800389698074426
CognitiveAffective,Learning,530,536,7.60729151715229,7.471424588792863,6,1.1320754716981132,-0.1358669283594267
CognitiveAffective,Memory,409,382,5.870532510406201,5.324783942012824,-27,-6.601466992665037,-0.5457485683933765
CognitiveAffective,Moral Cognition,249,295,3.5739916750394713,4.112071368831893,46,18.473895582329316,0.5380796937924219
CognitiveAffective,"Moral Cognition, Emotion",0,1,0.0,0.013939224979091162,1,inf,0.013939224979091162
CognitiveAffective,Perception,628,583,9.013922778814411,8.126568162810148,-45,-7.165605095541401,-0.8873546160042629
CognitiveAffective,Personality,54,47,0.775082531936271,0.6551435740172846,-7,-12.962962962962962,-0.11993895791898634
CognitiveAffective,Problem Solving,983,1021,14.10937275728434,14.231948703652078,38,3.8657171922685656,0.12257594636773739
CognitiveAffective,Reasoning,1784,1993,25.60643031433903,27.780875383328684,209,11.715246636771301,2.1744450689896553
CognitiveAffective,Social Reasoning,553,552,7.937419262236256,7.694452188458321,-1,-0.18083182640144665,-0.24296707377793503
CognitiveAffective,Theory of Mind,38,28,0.545428448399598,0.3902982994145526,-10,-26.31578947368421,-0.15513014898504546
DataQuality,Curated,2715,2771,83.28220858895705,85.20910209102091,56,2.0626151012891345,1.9268935020638622
DataQuality,Noisy,545,481,16.717791411042946,14.790897908979089,-64,-11.743119266055047,-1.926893502063857
