Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
Architecture,Convolutional (CNN),59,47,1.4507007622326038,1.081205429031516,-12,-20.33898305084746,-0.36949533320108774
Architecture,Generative,750,1033,18.441111384312762,23.763515067862894,283,37.733333333333334,5.322403683550132
Architecture,Graph Neural Network (GNN),58,58,1.426112613720187,1.3342535081665516,0,0.0,-0.0918591055536353
Architecture,Kernel,3,0,0.07376444553725103,0.0,-3,-100.0,-0.07376444553725103
Architecture,Kernel Models,0,3,0.0,0.06901311249137336,3,inf,0.06901311249137336
Architecture,Linear,39,35,0.9589377919842635,0.8051529790660225,-4,-10.256410256410255,-0.1537848129182411
Architecture,Probabilistic,53,23,1.3031718711581017,0.5291005291005291,-30,-56.60377358490566,-0.7740713420575727
Architecture,Recurrent (RNN / LSTM),17,16,0.4179985247110892,0.36806993328732457,-1,-5.88235294117647,-0.04992859142376466
Architecture,Reinforcement Learning (RL),0,51,0.0,1.173222912353347,51,inf,1.173222912353347
Architecture,Transformer_all,3033,3024,74.5758544381608,69.56521739130434,-9,-0.2967359050445104,-5.010637046856459
Architecture,Tree-based,55,57,1.352348168182936,1.3112491373360937,2,3.6363636363636362,-0.04109903084684219
TrainingParadigm,Few-shot Learning,2055,2063,14.375655823714586,14.270890979524072,8,0.38929440389294406,-0.10476484419051424
TrainingParadigm,Fine-tuning,2894,2845,20.24484085344526,19.680409518539015,-49,-1.6931582584657914,-0.5644313349062458
TrainingParadigm,Multi-task Learning,1053,780,7.366211962224554,5.39568345323741,-273,-25.925925925925924,-1.9705285089871438
TrainingParadigm,Reinforcement Learning,1170,1333,8.184679958027283,9.22108467072496,163,13.931623931623932,1.036404712697676
TrainingParadigm,Reinforcement Learning (RL),0,3,0.0,0.02075262866629773,3,inf,0.02075262866629773
TrainingParadigm,"Reinforcement Learning, Fine-tuning",3,0,0.02098635886673662,0.0,-3,-100.0,-0.02098635886673662
TrainingParadigm,Retrieval-Augmented Generation (RAG),9,58,0.06295907660020986,0.4012174875484228,49,544.4444444444445,0.33825841094821296
TrainingParadigm,"Retrieval-Augmented Generation (RAG), Multi-task Learning",0,1,0.0,0.00691754288876591,1,inf,0.00691754288876591
TrainingParadigm,Self-supervised Learning,2850,2876,19.937040923399792,19.894853348090756,26,0.9122807017543859,-0.04218757530903616
TrainingParadigm,Semi-supervised Learning,0,3,0.0,0.02075262866629773,3,inf,0.02075262866629773
TrainingParadigm,Supervised Learning,2158,2334,15.096187478139209,16.145545102379636,176,8.155699721964782,1.049357624240427
TrainingParadigm,"Supervised Learning, Fine-tuning",1,0,0.006995452955578873,0.0,-1,-100.0,-0.006995452955578873
TrainingParadigm,Unsupervised Learning,25,26,0.17488632388947184,0.1798561151079137,1,4.0,0.004969791218441849
TrainingParadigm,Zero-shot Learning,2077,2134,14.52955578873732,14.762036524626454,57,2.74434280211844,0.2324807358891352
Provider,Alibaba / Qwen team,114,115,3.4193161367726455,3.462812405901837,1,0.8771929824561403,0.04349626912919158
Provider,Anthropic,122,121,3.659268146370726,3.643480879253237,-1,-0.819672131147541,-0.015787267117489012
Provider,DeepSeek,50,50,1.4997000599880024,1.5055706112616682,0,0.0,0.005870551273665869
Provider,Google DeepMind,135,136,4.049190161967607,4.095152062631737,1,0.7407407407407408,0.045961900664130084
Provider,Hugging Face,47,48,1.4097180563887222,1.4453477868112015,1,2.127659574468085,0.0356297304224793
Provider,Meta AI,984,983,29.514097180563887,29.5995182174044,-1,-0.10162601626016261,0.08542103684051128
Provider,Microsoft Research,80,80,2.399520095980804,2.408912978018669,0,0.0,0.009392882037865036
Provider,Mistral AI,278,277,8.338332333533295,8.340861186389642,-1,-0.3597122302158274,0.0025288528563471857
Provider,NVIDIA / NeMo,1,2,0.029994001199760045,0.06022282445046673,1,100.0,0.030228823250706683
Provider,OpenAI,786,782,23.575284943011397,23.54712436013249,-4,-0.5089058524173028,-0.028160582878907547
Provider,Other / Academic,733,723,21.985602879424114,21.77055103884372,-10,-1.364256480218281,-0.21505184058039362
Provider,Stability AI,4,4,0.11997600479904018,0.12044564890093346,0,0.0,0.00046964410189327677
Openness,Closed,960,960,28.794241151769643,28.906955736224027,0,0.0,0.11271458445438398
Openness,Open,2374,2361,71.20575884823035,71.09304426377598,-13,-0.5475989890480202,-0.11271458445436622
Size,Large,1971,1929,59.11817636472706,58.015037593984964,-42,-2.13089802130898,-1.103138770742099
Size,Medium,727,747,21.805638872225554,22.466165413533833,20,2.7510316368638237,0.660526541308279
Size,Small,636,649,19.07618476304739,19.518796992481203,13,2.044025157232704,0.44261222943381284
