Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
Modalities,Audio,46,43,1.620859760394644,1.4751286449399656,-3,-6.521739130434782,-0.14573111545467832
Modalities,"Audio, Text",1,0,0.035236081747709654,0.0,-1,-100.0,-0.035236081747709654
Modalities,"Audio, Video",2,0,0.07047216349541931,0.0,-2,-100.0,-0.07047216349541931
Modalities,Graph,121,118,4.263565891472868,4.048027444253859,-3,-2.479338842975207,-0.21553844721900894
Modalities,"Graph, Multimodal",0,1,0.0,0.03430531732418524,1,inf,0.03430531732418524
Modalities,Image,196,200,6.906272022551092,6.86106346483705,4,2.0408163265306123,-0.04520855771404175
Modalities,"Image, Text",0,1,0.0,0.03430531732418524,1,inf,0.03430531732418524
Modalities,Multimodal,205,214,7.223396758280479,7.341337907375643,9,4.390243902439024,0.11794114909516473
Modalities,Spatial,130,112,4.580690627202255,3.842195540308748,-18,-13.846153846153847,-0.738495086893507
Modalities,Text,1738,1826,61.240310077519375,62.64150943396226,88,5.063291139240507,1.4011993564428877
Modalities,Time series,312,316,10.993657505285412,10.84048027444254,4,1.282051282051282,-0.15317723084287316
Modalities,"Time series, Spatial",0,2,0.0,0.06861063464837049,2,inf,0.06861063464837049
Modalities,Video,87,82,3.06553911205074,2.8130360205831906,-5,-5.747126436781609,-0.25250309146754946
TaskTypes,Alignment,124,163,2.557755775577558,3.517479499352611,39,31.451612903225808,0.9597237237750531
TaskTypes,Classification,1105,996,22.792904290429043,21.49331031506258,-109,-9.864253393665159,-1.299593975366463
TaskTypes,"Classification, Sequence labeling, Generation",1,0,0.020627062706270627,0.0,-1,-100.0,-0.020627062706270627
TaskTypes,Clustering,47,25,0.9694719471947194,0.539490720759603,-22,-46.808510638297875,-0.4299812264351164
TaskTypes,Decision Making,7,6,0.1443894389438944,0.1294777729823047,-1,-14.285714285714285,-0.014911665961589687
TaskTypes,Dialogue,140,127,2.8877887788778875,2.740612861458783,-13,-9.285714285714286,-0.14717591741910452
TaskTypes,Forecasting,195,99,4.022277227722772,2.1363832542080274,-96,-49.23076923076923,-1.8858939735147446
TaskTypes,"Forecasting, Generation",0,1,0.0,0.02157962883038412,1,inf,0.02157962883038412
TaskTypes,Generation,568,706,11.716171617161717,15.235217954251187,138,24.295774647887324,3.5190463370894705
TaskTypes,Multimodal integration,98,135,2.0214521452145213,2.913249892101856,37,37.755102040816325,0.8917977468873346
TaskTypes,Object detection,103,69,2.1245874587458746,1.488994389296504,-34,-33.00970873786408,-0.6355930694493706
TaskTypes,Optimization,0,3,0.0,0.06473888649115235,3,inf,0.06473888649115235
TaskTypes,Problem Solving,0,2,0.0,0.04315925766076824,2,inf,0.04315925766076824
TaskTypes,Question answering,679,643,14.005775577557756,13.875701337936988,-36,-5.3019145802650955,-0.13007423962076814
TaskTypes,"Question answering, Reasoning",2,0,0.041254125412541254,0.0,-2,-100.0,-0.041254125412541254
TaskTypes,Ranking,8,14,0.16501650165016502,0.3021148036253776,6,75.0,0.1370983019752126
TaskTypes,Reasoning,898,918,18.523102310231025,19.810099266292617,20,2.2271714922048997,1.2869969560615928
TaskTypes,"Reasoning, Classification",0,2,0.0,0.04315925766076824,2,inf,0.04315925766076824
TaskTypes,"Reasoning, Generation",0,2,0.0,0.04315925766076824,2,inf,0.04315925766076824
TaskTypes,Regression,239,178,4.92986798679868,3.8411739318083726,-61,-25.523012552301257,-1.0886940549903072
TaskTypes,Reinforcement learning,106,123,2.186468646864687,2.6542943461372466,17,16.037735849056602,0.4678256992725598
TaskTypes,Retrieval,250,214,5.156765676567657,4.618040569702201,-36,-14.399999999999999,-0.5387251068654564
TaskTypes,Safety,0,1,0.0,0.02157962883038412,1,inf,0.02157962883038412
TaskTypes,Sequence labeling,78,87,1.608910891089109,1.8774277082434183,9,11.538461538461538,0.2685168171543093
TaskTypes,Summarization,166,83,3.4240924092409237,1.7911091929218816,-83,-50.0,-1.632983216319042
TaskTypes,Translation,34,37,0.7013201320132013,0.7984462667242124,3,8.823529411764707,0.09712613471101106
Domains,Biology,44,42,1.2205270457697643,1.140994295028525,-2,-4.545454545454546,-0.07953275074123933
Domains,Chemistry,32,30,0.8876560332871012,0.8149959250203749,-2,-6.25,-0.07266010826672631
Domains,Economics,139,123,3.855755894590846,3.341483292583537,-16,-11.510791366906476,-0.514272602007309
Domains,Education,299,299,8.294036061026352,8.122792719369738,0,0.0,-0.1712433416566146
Domains,Entertainment,103,124,2.857142857142857,3.3686498234175493,21,20.388349514563107,0.511506966274692
Domains,Environmental,44,39,1.2205270457697643,1.0594947025264874,-5,-11.363636363636363,-0.16103234324327698
Domains,General,960,942,26.629680998613036,25.590872045639774,-18,-1.875,-1.0388089529732625
Domains,Geospatial,54,41,1.4979195561719834,1.1138277641945125,-13,-24.074074074074073,-0.3840917919774709
Domains,Healthcare,171,181,4.743411927877948,4.917142080956262,10,5.847953216374268,0.1737301530783144
Domains,Infrastructure,261,305,7.239944521497919,8.285791904373811,44,16.85823754789272,1.045847382875892
Domains,Legal,43,44,1.1927877947295422,1.1953273566965499,1,2.3255813953488373,0.002539561967007664
Domains,Media,210,209,5.825242718446602,5.677804944308612,-1,-0.4761904761904762,-0.1474377741379902
Domains,Ontology,24,27,0.665742024965326,0.7334963325183375,3,12.5,0.06775430755301148
Domains,Robotics,118,104,3.2732316227461857,2.8253192067372996,-14,-11.864406779661017,-0.4479124160088861
Domains,Safety,1,0,0.027739251040221912,0.0,-1,-100.0,-0.027739251040221912
Domains,Scientific / academic,502,516,13.9251040221914,14.01792991035045,14,2.788844621513944,0.0928258881590498
Domains,Social,350,383,9.70873786407767,10.404781309426786,33,9.428571428571429,0.6960434453491171
Domains,Vision,250,272,6.934812760055478,7.389296386851399,22,8.799999999999999,0.4544836267959207
Annotation,Crowdsourced,779,734,21.365880416895227,19.448860625331214,-45,-5.7766367137355585,-1.9170197915640124
Annotation,Curated,6,2,0.16456390565002743,0.052994170641229466,-4,-66.66666666666666,-0.11156973500879797
Annotation,Expert Annotations,888,982,24.35545803620406,26.020137784843666,94,10.585585585585585,1.6646797486396068
Annotation,Fully Supervised,1498,1607,41.08612177729018,42.58081611022788,109,7.2763684913217626,1.4946943329376978
Annotation,Reinforcement Feedback,77,69,2.1119034558420187,1.8282988871224166,-8,-10.38961038961039,-0.28360456871960205
Annotation,Self-Supervised,294,268,8.063631376851344,7.101218865924748,-26,-8.843537414965986,-0.9624125109265957
Annotation,Semi-Supervised,1,1,0.027427317608337907,0.026497085320614733,0,0.0,-0.0009302322877231747
Annotation,Weakly Supervised,103,111,2.8250137136588043,2.941176470588235,8,7.766990291262135,0.11616275692943079
Size,Large,1020,1044,46.1121157323689,47.261204164780445,24,2.3529411764705883,1.1490884324115456
Size,Medium,760,707,34.35804701627486,32.00543232231779,-53,-6.973684210526315,-2.3526146939570722
Size,Small,432,458,19.529837251356238,20.733363512901764,26,6.018518518518518,1.2035262615455267
Granularity,Document-level,1050,1077,44.62388440288993,47.23684210526316,27,2.571428571428571,2.6129577023732296
Granularity,Frame-level,158,146,6.71483212919677,6.403508771929825,-12,-7.59493670886076,-0.3113233572669447
Granularity,Image-level,1,0,0.042498937526561836,0.0,-1,-100.0,-0.042498937526561836
Granularity,Object-level,260,255,11.049723756906078,11.18421052631579,-5,-1.9230769230769231,0.13448676940971183
Granularity,Pixel-level,43,24,1.827454313642159,1.0526315789473684,-19,-44.18604651162791,-0.7748227346947907
Granularity,Sentence-level,635,579,26.986825329366766,25.394736842105264,-56,-8.818897637795276,-1.5920884872615026
