Dimension,Subcategory,Without Pipeline Context,With Pipeline Context,Without Pipeline Context_Pct,With Pipeline Context_Pct,Difference,Pct_Change,Pct_Point_Diff
Modalities,Audio,43,42,1.0809451985922574,1.016702977487291,-1,-2.3255813953488373,-0.06424222110496625
Modalities,"Audio, Video, Multimodal",1,0,0.025138260432378077,0.0,-1,-100.0,-0.025138260432378077
Modalities,Graph,176,165,4.424333836098542,3.994190268700073,-11,-6.25,-0.43014356739846926
Modalities,Image,283,295,7.114127702362996,7.141128056160737,12,4.240282685512367,0.027000353797740573
Modalities,Multimodal,337,336,8.471593765711413,8.133623819898329,-1,-0.2967359050445104,-0.33796994581308404
Modalities,Spatial,185,186,4.650578179989945,4.502541757443718,1,0.5405405405405406,-0.14803642254622673
Modalities,Text,2434,2587,61.18652589240825,62.6240619704672,153,6.285949055053409,1.4375360780589546
Modalities,"Text, Image",2,0,0.050276520864756154,0.0,-2,-100.0,-0.050276520864756154
Modalities,Time series,376,386,9.451985922574158,9.343984507383201,10,2.6595744680851063,-0.10800141519095696
Modalities,Video,141,132,3.544494720965309,3.195352214960058,-9,-6.382978723404255,-0.3491425060052511
Modalities,"Video, Multimodal",0,2,0.0,0.04841442749939482,2,inf,0.04841442749939482
TaskTypes,Alignment,266,293,3.858987378499928,4.228604416221677,27,10.150375939849624,0.3696170377217496
TaskTypes,Classification,1365,1263,19.80269838967068,18.227738490402658,-102,-7.472527472527473,-1.5749598992680234
TaskTypes,Clustering,45,45,0.652836210648484,0.6494443642661278,0,0.0,-0.003391846382356123
TaskTypes,Decision Making,6,10,0.08704482808646452,0.1443209698369173,4,66.66666666666666,0.057276141750452786
TaskTypes,Dialogue,254,252,3.6848977223269985,3.6368884398903156,-2,-0.7874015748031495,-0.0480092824366829
TaskTypes,"Dialogue,",0,1,0.0,0.014432096983691729,1,inf,0.014432096983691729
TaskTypes,"Dialogue, Alignment",1,0,0.01450747134774409,0.0,-1,-100.0,-0.01450747134774409
TaskTypes,Efficiency / Latency Analysis,0,1,0.0,0.014432096983691729,1,inf,0.014432096983691729
TaskTypes,Evaluation,1,0,0.01450747134774409,0.0,-1,-100.0,-0.01450747134774409
TaskTypes,Forecasting,231,171,3.351225881328884,2.467888584211286,-60,-25.97402597402597,-0.8833372971175981
TaskTypes,Generation,838,1054,12.157260989409547,15.211430220811085,216,25.775656324582343,3.054169231401538
TaskTypes,"Generation, Reasoning",3,0,0.04352241404323226,0.0,-3,-100.0,-0.04352241404323226
TaskTypes,Multimodal integration,192,212,2.7854344987668647,3.0596045605426467,20,10.416666666666668,0.27417006177578207
TaskTypes,"Multimodal integration, Alignment",0,1,0.0,0.014432096983691729,1,inf,0.014432096983691729
TaskTypes,Object detection,117,91,1.6973741476860582,1.3133208255159476,-26,-22.22222222222222,-0.38405332217011057
TaskTypes,Problem Solving,1,0,0.01450747134774409,0.0,-1,-100.0,-0.01450747134774409
TaskTypes,Question answering,1046,1009,15.174815029740316,14.561985856544958,-37,-3.5372848948374758,-0.6128291731953581
TaskTypes,Ranking,10,22,0.1450747134774409,0.31750613364121805,12,120.0,0.17243142016377716
TaskTypes,Reasoning,1339,1396,19.425504134629335,20.147207389233657,57,4.256908140403286,0.7217032546043214
TaskTypes,"Reasoning, Alignment",1,1,0.01450747134774409,0.014432096983691729,0,0.0,-7.537436405236075e-05
TaskTypes,"Reasoning, Multimodal integration",3,0,0.04352241404323226,0.0,-3,-100.0,-0.04352241404323226
TaskTypes,Regression,262,195,3.800957493108951,2.8142589118198873,-67,-25.572519083969464,-0.9866985812890636
TaskTypes,Reinforcement learning,141,173,2.0455534600319165,2.4967527781786694,32,22.69503546099291,0.45119931814675285
TaskTypes,Retrieval,386,382,5.599883940229218,5.513061047770241,-4,-1.0362694300518136,-0.08682289245897756
TaskTypes,Safety,3,0,0.04352241404323226,0.0,-3,-100.0,-0.04352241404323226
TaskTypes,Sequence labeling,116,118,1.6828666763383144,1.702987444075624,2,1.7241379310344827,0.02012076773730964
TaskTypes,Summarization,223,170,3.2351661105469316,2.453456487227594,-53,-23.766816143497756,-0.7817096233193377
TaskTypes,Translation,43,69,0.6238212679529959,0.9958146918747295,26,60.46511627906976,0.3719934239217336
Domains,Biology,59,52,1.1509949278189622,0.9912314144109797,-7,-11.864406779661017,-0.15976351340798245
Domains,Chemistry,35,28,0.6827936012485368,0.533739992375143,-7,-20.0,-0.1490536088733938
Domains,Economics,210,204,4.096761607491222,3.888677087304613,-6,-2.857142857142857,-0.20808452018660883
Domains,Education,428,444,8.349590323839251,8.46359130766298,16,3.7383177570093453,0.11400098382372903
Domains,Entertainment,160,156,3.1213421771361682,2.973694243232939,-4,-2.5,-0.14764793390322906
Domains,Environmental,60,49,1.1705033164260632,0.9340449866565003,-11,-18.333333333333332,-0.23645832976956294
Domains,"Environmental, Social",2,0,0.03901677721420211,0.0,-2,-100.0,-0.03901677721420211
Domains,General,1355,1337,26.433866562621926,25.486084635913077,-18,-1.3284132841328413,-0.9477819267088492
Domains,Geospatial,79,69,1.541162699960983,1.3152878383530309,-10,-12.658227848101266,-0.22587486160795223
Domains,Healthcare,253,254,4.935622317596566,4.84178421654594,1,0.3952569169960474,-0.0938381010506264
Domains,Infrastructure,398,476,7.764338665626219,9.073579870377431,78,19.597989949748744,1.3092412047512116
Domains,Legal,58,50,1.1314865392118612,0.9531071292413268,-8,-13.793103448275861,-0.17837940997053436
Domains,Media,193,219,3.7651190011705036,4.174609226077012,26,13.471502590673575,0.409490224906508
Domains,Ontology,41,54,0.7998439328911432,1.0293556995806328,13,31.70731707317073,0.22951176668948958
Domains,Robotics,139,139,2.7116660163870465,2.6496378192908883,0,0.0,-0.062028197096158255
Domains,Scientific / academic,701,732,13.67538041357784,13.953488372093023,31,4.42225392296719,0.278107958515184
Domains,Social,551,576,10.74912212251268,10.979794128860084,25,4.537205081669692,0.2306720063474028
Domains,Transportation,1,0,0.019508388607101055,0.0,-1,-100.0,-0.019508388607101055
Domains,Vision,403,407,7.861880608661724,7.7582920320244,4,0.9925558312655087,-0.1035885766373239
Annotation,Crowdsourced,1030,921,20.67442794058611,17.984768599882837,-109,-10.58252427184466,-2.6896593407032725
Annotation,Curated,6,0,0.12043356081894822,0.0,-6,-100.0,-0.12043356081894822
Annotation,Expert Annotations,1264,1491,25.37133681252509,29.115407147041594,227,17.95886075949367,3.744070334516504
Annotation,Fully Supervised,1931,2025,38.75953432356483,39.54305799648506,94,4.867944070429829,0.7835236729202322
Annotation,Reinforcement Feedback,123,93,2.4688879967884385,1.8160515524311658,-30,-24.390243902439025,-0.6528364443572727
Annotation,Self-Supervised,396,377,7.948615014050582,7.361843389962898,-19,-4.797979797979798,-0.5867716240876844
Annotation,Semi-Supervised,2,9,0.04014452027298274,0.17574692442882248,7,350.0,0.13560240415583974
Annotation,Weakly Supervised,230,205,4.616619831393015,4.003124389767623,-25,-10.869565217391305,-0.6134954416253917
Size,Large,1315,1284,43.342122610415295,42.33432245301682,-31,-2.3574144486692017,-1.0078001573984778
Size,Medium,1004,1001,33.09162821357943,33.003626772172765,-3,-0.29880478087649404,-0.08800144140666788
Size,Small,715,748,23.566249176005275,24.662050774810417,33,4.615384615384616,1.0958015988051422
Granularity,Document-level,1518,1590,47.69085768143261,50.30053780449225,72,4.743083003952568,2.60968012305964
Granularity,Frame-level,219,206,6.8803016022620165,6.516925023726669,-13,-5.93607305936073,-0.3633765785353473
Granularity,Image-level,2,0,0.06283380458686773,0.0,-2,-100.0,-0.06283380458686773
Granularity,Object-level,297,289,9.330819981149858,9.142676368237899,-8,-2.6936026936026933,-0.18814361291195958
Granularity,Pixel-level,59,31,1.853597235312598,0.9807023093957609,-28,-47.45762711864407,-0.8728949259168371
Granularity,Sentence-level,851,815,26.73578385171222,25.782980069598228,-36,-4.230317273795535,-0.9528037821139925
Granularity,Token-level,237,230,7.445805843543826,7.276178424549193,-7,-2.9535864978902953,-0.16962741899463296
Linguistic,cross-lingual,12,12,0.3955174686882004,0.3956478733926805,0,0.0,0.00013040470448005825
Linguistic,monolingual,2773,2801,91.39749505603164,92.35080778107483,28,1.009736747205193,0.9533127250431903
Linguistic,multilingual,249,220,8.206987475280158,7.253544345532475,-29,-11.646586345381527,-0.9534431297476829
CognitiveAffective,Attention,399,489,6.158357771260997,6.965811965811966,90,22.55639097744361,0.807454194550969
CognitiveAffective,Cognitive Load,18,27,0.2778206513350826,0.38461538461538464,9,50.0,0.10679473328030203
CognitiveAffective,Decision Making,729,857,11.251736379070843,12.207977207977208,128,17.55829903978052,0.9562408289063651
CognitiveAffective,Emotion,338,290,5.216854452847661,4.131054131054131,-48,-14.201183431952662,-1.0858003217935304
CognitiveAffective,Empathy,87,90,1.3427998147862326,1.282051282051282,3,3.4482758620689653,-0.06074853273495062
CognitiveAffective,Learning,492,539,7.593764469825591,7.678062678062678,47,9.552845528455284,0.08429820823708667
CognitiveAffective,Memory,378,382,5.8342336780367345,5.4415954415954415,4,1.0582010582010581,-0.39263823644129303
CognitiveAffective,Moral Cognition,239,258,3.6888408705047073,3.6752136752136755,19,7.949790794979079,-0.013627195291031846
CognitiveAffective,Perception,516,528,7.964192004939035,7.521367521367521,12,2.3255813953488373,-0.4428244835715134
CognitiveAffective,Personality,49,46,0.7562895508566138,0.6552706552706553,-3,-6.122448979591836,-0.10101889558595845
CognitiveAffective,Problem Solving,990,1020,15.280135823429541,14.529914529914532,30,3.0303030303030303,-0.7502212935150094
CognitiveAffective,Reason Making,0,1,0.0,0.014245014245014244,1,inf,0.014245014245014244
CognitiveAffective,Reasoning,1692,1943,26.115141225497762,27.678062678062677,251,14.83451536643026,1.5629214525649147
CognitiveAffective,"Reasoning, Learning",1,0,0.01543448062972681,0.0,-1,-100.0,-0.01543448062972681
CognitiveAffective,Social Reasoning,494,511,7.624633431085044,7.279202279202279,17,3.4412955465587043,-0.3454311518827655
CognitiveAffective,Theory of Mind,57,39,0.8797653958944283,0.5555555555555556,-18,-31.57894736842105,-0.3242098403388727
DataQuality,Curated,2494,2564,82.14756258234519,84.5367622815694,70,2.8067361668003206,2.389199699224207
DataQuality,Noisy,542,469,17.85243741765481,15.463237718430598,-73,-13.468634686346864,-2.3891996992242106
