threshold,entity_type,gt_vocab,llm_vocab_min,llm_vocab_max,gt_eff_n,llm_eff_n_min,llm_eff_n_max,gt_gini,llm_gini_min,llm_gini_max,zero_coverage_pct,GPT-5.1_vocab,GPT-5.1_eff_n,GPT-5.1_gini,Gemini_vocab,Gemini_eff_n,Gemini_gini,DeepSeek_vocab,DeepSeek_eff_n,DeepSeek_gini
80,datasets,2399,1142,1535,1496.1,604.5,818.2,0.365,0.441,0.481,78.9,1472,720.5,0.481,1535,818.2,0.442,1142,604.5,0.441
80,models,2931,347,528,839.0,47.8,81.8,0.6,0.769,0.802,92.3,413,63.1,0.793,528,81.8,0.769,347,47.8,0.802
80,metrics,2020,646,833,642.4,107.4,241.0,0.556,0.665,0.736,82.7,750,147.8,0.736,833,241.0,0.665,646,107.4,0.715
85,datasets,2553,1201,1613,1618.5,646.2,881.1,0.337,0.422,0.469,78.2,1524,766.4,0.469,1613,881.1,0.425,1201,646.2,0.422
85,models,3260,373,568,1039.0,56.7,92.1,0.568,0.758,0.791,90.9,450,78.1,0.78,568,92.1,0.758,373,56.7,0.791
85,metrics,2294,716,927,729.8,113.8,269.2,0.523,0.649,0.725,81.0,837,163.0,0.725,927,269.2,0.649,716,113.8,0.704
90,datasets,2656,1211,1659,1726.9,650.4,910.4,0.316,0.415,0.463,78.3,1547,780.1,0.463,1659,910.4,0.415,1211,650.4,0.42
90,models,3546,387,594,1232.1,59.3,96.3,0.54,0.754,0.786,90.2,472,81.1,0.775,594,96.3,0.754,387,59.3,0.786
90,metrics,2453,761,990,783.3,118.9,286.3,0.502,0.639,0.718,79.7,887,170.5,0.718,990,286.3,0.639,761,118.9,0.694
95,datasets,2691,1222,1677,1753.0,656.5,922.3,0.31,0.411,0.46,78.4,1561,789.2,0.46,1677,922.3,0.411,1222,656.5,0.416
95,models,3797,403,617,1453.7,60.9,103.4,0.512,0.746,0.783,89.6,494,87.6,0.766,617,103.4,0.746,403,60.9,0.783
95,metrics,2503,771,1007,799.7,120.5,293.8,0.495,0.635,0.715,79.2,905,174.0,0.715,1007,293.8,0.635,771,120.5,0.691
100,datasets,2696,1224,1678,1757.8,657.5,923.2,0.308,0.41,0.46,78.3,1561,789.2,0.46,1678,923.2,0.41,1224,657.5,0.416
100,models,3874,404,622,1524.3,61.0,104.4,0.503,0.745,0.783,89.5,497,89.2,0.764,622,104.4,0.745,404,61.0,0.783
100,metrics,2515,773,1009,804.4,120.9,294.7,0.493,0.634,0.715,79.1,906,174.2,0.715,1009,294.7,0.634,773,120.9,0.691
